name,proj fpts,rank,last rank
travis-kelce,214.52259999999973,1,1
chigoziem-okonkwo,123.20860000000005,2,23
jelani-woods,121.43160000000007,3,30
dallas-goedert,115.96260000000002,4,12
david-njoku,115.4434,5,13
mark-andrews,115.02540000000008,6,4
kyle-pitts,113.68100000000001,7,31
isaiah-likely,110.79139999999992,8,25
juwan-johnson,110.74100000000001,9,11
tj-hockenson,110.23620000000008,10,2
greg-dulcich,109.39640000000001,11,29
pat-freiermuth,107.31860000000002,12,8
colby-parkinson,106.80080000000007,13,34
tyler-conklin,106.25159999999994,14,16
dawson-knox,104.61539999999995,15,14
noah-fant,104.16899999999998,16,17
cole-kmet,101.3142,17,7
dalton-schultz,100.6238,18,10
evan-engram,100.53980000000004,19,6
gerald-everett,98.33019999999998,20,15
george-kittle,97.024,21,3
hayden-hurst,96.71279999999997,22,21
darren-waller,96.43079999999998,23,27
hunter-henry,95.71879999999999,24,20
zach-ertz,95.71239999999997,25,18
austin-hooper,91.12839999999997,26,24
robert-tonyan,90.90179999999995,27,19
daniel-bellinger,90.3986,28,32
mike-gesicki,88.07019999999996,29,22
jake-ferguson,85.9364,30,38
noah-gray,83.30480000000003,31,35
logan-thomas,82.99699999999993,32,33
irv-smith-jr,81.10719999999993,33,37
cade-otton,78.42020000000004,34,26
will-dissly,78.34379999999999,35,28
trey-mcbride,78.3126,36,36
taysom-hill,77.34539999999994,37,5
tyler-higbee,75.22079999999997,38,9
