name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
travis-kelce,13.650200000000002,11.433175659179687,11.229237633824413,10.566929218437252,11.901750303591564,1,1
taysom-hill,5.185199999999999,19.607888793945317,6.83934477192029,7.435057559318258,11.786577179320853,2,5
mark-andrews,9.146599999999998,9.756591796875,9.435040551451769,9.58993099320518,9.523704355094514,3,4
tj-hockenson,8.799000000000001,8.871578979492188,9.02990897988029,9.207549793012356,9.018601374348522,4,2
dallas-goedert,8.375200000000001,9.503926849365234,9.020889549043758,8.401867864392077,8.860767602667552,5,12
george-kittle,8.111400000000003,9.010752105712893,8.724129122686643,8.708128708768264,8.748948885632304,6,3
evan-engram,8.033,8.085521697998047,8.179898143678441,8.680270199348687,8.373070953980474,7,6
pat-freiermuth,8.0454,8.279335021972656,8.1874124244036,8.213270197731017,8.083340513302053,8,8
kyle-pitts,7.956,8.282128143310548,7.57886366492976,7.803483476080165,8.009508725273825,9,31
david-njoku,7.951400000000004,7.6321258544921875,8.032664286430293,8.136544880000422,7.99552410740818,10,13
chigoziem-okonkwo,7.676,7.616458129882813,7.398374000992474,7.858975956984463,7.927089472315681,11,23
darren-waller,7.755399999999999,8.03643341064453,8.102756370528947,7.713799816237585,7.926164211285433,12,27
greg-dulcich,6.969999999999999,7.298435974121094,7.324392720769355,7.694978029615657,7.32856062744204,13,29
cole-kmet,7.040799999999999,6.943416595458984,7.013625398661162,7.696272264503709,7.286583236330553,14,7
dalton-schultz,7.038600000000001,6.987415313720703,7.209874633922776,7.269333878040628,7.1931553165980775,15,10
tyler-higbee,6.960199999999995,6.585181427001953,6.996015400529325,7.250038202404302,7.053238148992666,16,9
juwan-johnson,7.297199999999997,6.706099700927735,6.609618699603854,7.012047833294387,6.9928352552355655,17,11
gerald-everett,6.6606,6.376332473754883,6.9251086373984,6.982882781970649,6.751423682680442,18,15
jelani-woods,7.503199999999998,5.1935882568359375,5.703896326731803,6.518008899794614,6.563990450212391,19,30
zach-ertz,7.096799999999997,5.225578689575196,6.327836727956055,6.748580569551125,6.435831457486402,20,18
dawson-knox,6.865399999999997,5.891109085083008,6.4474055928012834,6.7733695949732295,6.386822465624117,21,14
tyler-conklin,6.343999999999999,5.373188018798828,6.205863823471017,6.906231768545263,6.3640245980457495,22,16
daniel-bellinger,5.879799999999995,7.043046569824218,5.51349304186656,6.02299523034714,6.328782944636586,23,32
hunter-henry,6.575799999999998,5.691346740722656,6.050708621986704,6.531847848192887,6.245624822889714,24,20
hayden-hurst,6.216599999999998,5.629899978637695,5.947867254123255,6.308751608359638,6.120742793737667,25,21
isaiah-likely,6.773199999999996,4.77989501953125,5.622436435046502,6.368784207763672,6.0309434226697975,26,25
noah-fant,6.204799999999998,5.165585327148437,5.778610043860228,6.246237350866696,5.829705464801509,27,17
mike-gesicki,5.860999999999999,5.326152801513672,5.769542791471965,6.021126162937317,5.770131592609562,28,22
noah-gray,5.794599999999998,5.60640869140625,4.615884068637942,5.257473938759612,5.596127604664996,29,35
colby-parkinson,6.791199999999998,3.913648223876953,4.697497522204482,5.669537313458672,5.593708421342733,30,34
irv-smith-jr,5.488399999999997,5.176306533813476,5.797049229918679,5.906682801121332,5.494553905748564,31,37
robert-tonyan,5.858799999999998,3.93271484375,4.697892545254748,5.622242327955607,5.2843938784457904,32,19
austin-hooper,5.6898,4.35949821472168,4.897414155682627,5.557497991507822,5.194714650704533,33,24
logan-thomas,5.619199999999999,4.251002502441406,5.095461137522074,5.583045639863367,5.182578918230323,34,33
cade-otton,5.685599999999996,4.22056655883789,5.149341299830763,5.822546886956354,5.181019492450183,35,26
jake-ferguson,5.639599999999994,3.8158313751220714,4.7809206959256985,5.2993293702510345,4.937747427661831,36,38
trey-mcbride,5.595399999999996,3.77798080444336,5.297672478229195,5.641274901273628,4.909092717738914,37,36
will-dissly,5.323599999999998,3.971514129638672,4.515119536708965,5.3113256204763575,4.854598593017438,38,28
