name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
travis-kelce,214.52259999999973,150.68544921875,147.38862678889458,189.25922844639825,187.37840402466733,1,1
kyle-pitts,113.681,111.55885009765623,108.0634107011958,152.20245778628475,123.94225304717678,2,31
george-kittle,97.024,127.38411865234374,123.52758784454382,115.01120248162763,123.92578053850924,3,3
tj-hockenson,110.23620000000008,132.96976318359376,123.67085535217294,91.48902506683112,122.66544277747477,4,2
greg-dulcich,109.3964,106.857177734375,105.485815301458,152.94532384150548,121.67648899790969,5,29
mark-andrews,115.02540000000008,117.9198974609375,124.62861245649444,89.89720347342343,118.34734294175855,6,4
dallas-goedert,115.96260000000002,124.47110595703126,119.3805837510153,93.8460018320689,117.71291808421826,7,12
pat-freiermuth,107.31860000000002,117.30750732421876,113.22815194095622,109.37393555566284,117.3850020843066,8,8
chigoziem-okonkwo,123.20860000000005,79.98174438476562,97.16099257083155,148.64795780489672,116.54612585325214,9,23
daniel-bellinger,90.3986,132.359423828125,102.9777178505121,99.76463398272334,111.4551941663948,10,32
david-njoku,115.4434,93.9309326171875,110.3275802314848,105.50977575771478,110.18983297743964,11,13
evan-engram,100.53980000000004,105.200244140625,109.48679857030534,105.38056051681625,109.31560301301992,12,6
jelani-woods,121.43160000000007,77.02122802734375,88.47045831603336,140.16205635603168,108.49363435999926,13,30
dalton-schultz,100.6238,101.43424072265626,103.9475927196078,116.30177661200015,108.26399144359944,14,10
juwan-johnson,110.741,94.43937377929689,99.55021042478369,101.8748186597031,105.93732003957206,15,11
cole-kmet,101.3142,88.82308349609374,100.4897427378579,109.53875469799269,105.0350458239873,16,7
gerald-everett,98.33019999999998,88.94951782226562,100.30382420165994,116.96344415288787,103.10025241397408,17,15
taysom-hill,77.34539999999994,-24.82688598632813,151.64069520217654,114.4399385570177,101.7003676643262,19,5
dawson-knox,104.61539999999997,91.05531616210938,96.6558897843773,100.80942217564436,101.35156482296964,20,14
isaiah-likely,110.79139999999992,78.10530395507813,88.0147211963564,116.23267190775432,99.9274201253343,21,25
tyler-conklin,106.25159999999994,74.11935424804688,93.2402304696805,115.95815950577182,99.89611464850964,22,16
zach-ertz,95.71239999999996,92.31437377929689,103.33257769451328,106.6003936716376,99.21049719455505,23,18
darren-waller,96.43079999999998,107.565966796875,107.91257803432264,82.79234052319231,98.85162086525776,24,27
hayden-hurst,96.71279999999996,84.138525390625,92.80573059808312,120.46965967236,98.3314332865794,25,21
tyler-higbee,75.22079999999997,97.86320190429689,104.11823419134848,108.1437332643009,97.79238164137158,27,9
noah-gray,83.30480000000003,94.2100830078125,86.071809736076,101.4639259698868,95.4629376945125,28,35
noah-fant,104.16899999999998,79.1860595703125,88.49854348652549,83.64180073213811,91.23625751789496,29,17
colby-parkinson,106.80080000000008,62.0953125,80.44409730072542,110.04777757265651,90.52804207096358,30,34
hunter-henry,95.7188,79.6783935546875,92.4068092417285,82.3135029878307,89.20528742060006,31,20
irv-smith-jr,81.10719999999993,80.20721435546875,85.2024932923676,113.3389707431705,86.39745878680351,32,37
cade-otton,78.42020000000004,71.11393432617187,82.12303417247047,89.32428850239731,81.327959445101,33,26
logan-thomas,82.99699999999993,64.017529296875,82.47612341994272,106.26066512566156,80.150480684801,34,33
robert-tonyan,90.90179999999997,63.66907348632813,83.84132119882638,77.10224041819902,79.76611320601603,35,19
jake-ferguson,85.9364,60.11729736328125,73.39664960905964,102.97271249431772,77.60444411329696,36,38
trey-mcbride,78.3126,66.6421630859375,75.66318999053485,99.81358860099776,77.08547144844152,37,36
austin-hooper,91.12839999999996,63.2884033203125,83.99252024343461,62.47192772552713,74.89230401935748,38,24
mike-gesicki,88.07019999999996,74.17621459960938,84.5920065414892,42.20585874943667,72.86515058650404,39,22
will-dissly,78.34379999999999,60.755804443359374,79.97797994115514,68.32532961531062,71.47634109180387,40,28
