name,proj fpts,rank,last rank
travis-kelce,10.566929218437252,1,1
mark-andrews,9.58993099320518,2,4
tj-hockenson,9.207549793012355,3,2
george-kittle,8.708128708768264,4,3
evan-engram,8.680270199348687,5,6
dallas-goedert,8.401867864392077,6,12
pat-freiermuth,8.213270197731017,7,8
david-njoku,8.136544880000422,8,13
chigoziem-okonkwo,7.858975956984463,9,23
kyle-pitts,7.8034834760801655,10,31
darren-waller,7.713799816237585,11,27
cole-kmet,7.696272264503709,12,7
greg-dulcich,7.694978029615657,13,29
taysom-hill,7.435057559318258,14,5
dalton-schultz,7.269333878040628,15,10
tyler-higbee,7.250038202404302,16,9
juwan-johnson,7.012047833294387,17,11
gerald-everett,6.982882781970649,18,15
tyler-conklin,6.906231768545263,19,16
dawson-knox,6.7733695949732295,20,14
zach-ertz,6.748580569551125,21,18
hunter-henry,6.531847848192887,22,20
jelani-woods,6.518008899794614,23,30
isaiah-likely,6.368784207763672,24,25
hayden-hurst,6.308751608359638,25,21
noah-fant,6.2462373508666955,26,17
daniel-bellinger,6.0229952303471395,27,32
mike-gesicki,6.021126162937317,28,22
irv-smith-jr,5.906682801121332,29,37
cade-otton,5.822546886956354,30,26
colby-parkinson,5.6695373134586715,31,34
trey-mcbride,5.641274901273628,32,36
robert-tonyan,5.622242327955607,33,19
logan-thomas,5.583045639863367,34,33
austin-hooper,5.557497991507822,35,24
will-dissly,5.3113256204763575,36,28
jake-ferguson,5.2993293702510345,37,38
noah-gray,5.257473938759612,38,35
