name,proj fpts,rank,last rank
travis-kelce,189.25922844639825,1,1
greg-dulcich,152.94532384150548,2,29
kyle-pitts,152.20245778628475,3,31
chigoziem-okonkwo,148.64795780489672,4,23
jelani-woods,140.16205635603168,5,30
hayden-hurst,120.46965967236001,6,21
gerald-everett,116.96344415288789,7,15
dalton-schultz,116.30177661200017,8,10
isaiah-likely,116.23267190775432,9,25
tyler-conklin,115.95815950577182,10,16
george-kittle,115.01120248162763,11,3
taysom-hill,114.4399385570177,12,5
irv-smith-jr,113.3389707431705,13,37
colby-parkinson,110.04777757265651,14,34
cole-kmet,109.53875469799269,15,7
pat-freiermuth,109.37393555566283,16,8
tyler-higbee,108.1437332643009,17,9
zach-ertz,106.60039367163759,18,18
logan-thomas,106.26066512566156,19,33
david-njoku,105.50977575771478,20,13
evan-engram,105.38056051681625,21,6
jake-ferguson,102.97271249431773,22,38
juwan-johnson,101.8748186597031,23,11
noah-gray,101.46392596988679,24,35
dawson-knox,100.80942217564436,25,14
trey-mcbride,99.81358860099775,26,36
daniel-bellinger,99.76463398272334,27,32
dallas-goedert,93.8460018320689,28,12
tj-hockenson,91.48902506683113,29,2
mark-andrews,89.89720347342343,30,4
cade-otton,89.32428850239731,31,26
noah-fant,83.64180073213811,32,17
darren-waller,82.79234052319231,33,27
hunter-henry,82.3135029878307,34,20
robert-tonyan,77.10224041819902,35,19
will-dissly,68.32532961531062,36,28
austin-hooper,62.47192772552713,37,24
mike-gesicki,42.20585874943667,38,22
