name,proj fpts,rank,last rank
travis-kelce,11.153118896484376,1,1
tj-hockenson,9.466909027099609,2,2
george-kittle,9.066897583007812,3,3
mark-andrews,9.002268218994141,4,4
dallas-goedert,8.860348510742188,5,12
pat-freiermuth,8.464950561523438,6,8
evan-engram,7.925220489501953,7,6
kyle-pitts,7.893828582763672,8,31
greg-dulcich,7.551019287109375,9,29
darren-waller,7.535246276855469,10,27
daniel-bellinger,7.339222717285156,11,32
dalton-schultz,7.045433807373047,12,10
david-njoku,6.929410552978515,13,13
tyler-higbee,6.888764953613281,14,9
cole-kmet,6.7856193542480465,15,7
juwan-johnson,6.759153747558594,16,11
taysom-hill,6.614306640625,17,5
chigoziem-okonkwo,6.45394287109375,18,23
dawson-knox,6.36845703125,19,14
gerald-everett,6.368194580078125,20,15
zach-ertz,6.242662811279297,21,18
hunter-henry,5.9588275909423825,22,20
hayden-hurst,5.888541793823242,23,21
noah-fant,5.647995376586914,24,17
tyler-conklin,5.638995361328125,25,16
noah-gray,5.608035278320313,26,35
jelani-woods,5.512121963500976,27,30
isaiah-likely,5.486565399169922,28,25
mike-gesicki,5.233892440795898,29,22
irv-smith-jr,5.085620498657226,30,37
cade-otton,4.985562515258789,31,26
austin-hooper,4.743091583251953,32,24
robert-tonyan,4.705432891845703,33,19
colby-parkinson,4.6424720764160154,34,34
logan-thomas,4.450710678100586,35,33
will-dissly,4.433416748046875,36,28
trey-mcbride,4.365206146240235,37,36
jake-ferguson,4.007906341552735,38,38
