name,proj fpts,rank,last rank
travis-kelce,150.68544921875,1,1
tj-hockenson,132.96976318359376,2,2
daniel-bellinger,132.359423828125,3,32
george-kittle,127.38411865234374,4,3
dallas-goedert,124.47110595703126,5,12
mark-andrews,117.9198974609375,6,4
pat-freiermuth,117.30750732421875,7,8
kyle-pitts,111.55885009765625,8,31
darren-waller,107.565966796875,9,27
greg-dulcich,106.857177734375,10,29
evan-engram,105.200244140625,11,6
dalton-schultz,101.43424072265626,12,10
tyler-higbee,97.86320190429687,13,9
juwan-johnson,94.43937377929687,14,11
noah-gray,94.2100830078125,15,35
david-njoku,93.9309326171875,16,13
zach-ertz,92.31437377929687,17,18
dawson-knox,91.05531616210938,18,14
gerald-everett,88.94951782226562,19,15
cole-kmet,88.82308349609374,20,7
hayden-hurst,84.138525390625,21,21
irv-smith-jr,80.20721435546875,22,37
chigoziem-okonkwo,79.98174438476562,23,23
hunter-henry,79.6783935546875,24,20
noah-fant,79.1860595703125,25,17
isaiah-likely,78.10530395507813,26,25
jelani-woods,77.02122802734375,27,30
mike-gesicki,74.17621459960938,28,22
tyler-conklin,74.11935424804688,29,16
cade-otton,71.11393432617187,30,26
trey-mcbride,66.6421630859375,31,36
logan-thomas,64.017529296875,32,33
robert-tonyan,63.669073486328124,33,19
austin-hooper,63.2884033203125,34,24
colby-parkinson,62.0953125,35,34
will-dissly,60.755804443359374,36,28
jake-ferguson,60.11729736328125,37,38
taysom-hill,-24.826885986328126,38,5
