name,proj fpts,rank,last rank
travis-kelce,14.056982948244624,1,1
taysom-hill,12.941211107297175,2,9
mark-andrews,11.092736549892972,3,4
tj-hockenson,11.061815282359753,4,2
george-kittle,10.763124826963171,5,3
evan-engram,9.790293777395359,6,5
dallas-goedert,9.766331216817804,7,12
pat-freiermuth,9.623467831706893,8,7
david-njoku,9.501467817170667,9,11
chigoziem-okonkwo,8.998798285046435,10,25
cole-kmet,8.819090777413296,11,8
greg-dulcich,8.310858669602087,12,29
kyle-pitts,8.283299500742487,13,33
juwan-johnson,7.925880280329058,14,15
dalton-schultz,7.845901260981923,15,10
gerald-everett,7.814208564129553,16,13
darren-waller,7.799838510500287,17,31
tyler-higbee,7.690636283213527,18,6
tyler-conklin,7.66992580564847,19,16
foster-moreau,7.408059533857374,20,30
dawson-knox,7.381914476294585,21,14
daniel-bellinger,7.208900874075016,22,34
hunter-henry,7.181914963385216,23,22
jordan-akins,6.987670173055713,24,18
zach-ertz,6.955979596085799,25,19
jelani-woods,6.922081804613811,26,35
noah-fant,6.729353568002237,27,17
isaiah-likely,6.593343791283763,28,27
noah-gray,6.548713363241424,29,36
hayden-hurst,6.294528854740486,30,21
robert-tonyan,6.136553748835933,31,20
mike-gesicki,5.98835172373088,32,23
colby-parkinson,5.95274922600592,33,37
cade-otton,5.928932877696448,34,26
austin-hooper,5.831595755359408,35,24
will-dissly,5.335864074130896,36,28
brock-wright,4.830274955545597,37,38
logan-thomas,4.74439823549266,38,32
jonnu-smith,4.584271580776841,39,44
irv-smith-jr,4.5663513569688945,40,42
harrison-bryant,4.538487682356887,41,39
cj-uzomah,4.458547145811169,42,41
trey-mcbride,4.309006773279226,43,40
jake-ferguson,4.089853292863248,44,45
adam-trautman,4.063844807522494,45,46
mo-alie-cox,3.0743597519867647,46,43
