name,proj fpts,rank,last rank
taysom-hill,239.8430180866153,1,9
travis-kelce,195.04633843352138,2,1
george-kittle,156.28380102006554,3,3
tj-hockenson,155.96678285947405,4,2
mark-andrews,150.54687083267325,5,4
dallas-goedert,136.57196454777286,6,12
pat-freiermuth,135.53996545734478,7,7
evan-engram,126.14180739463832,8,5
david-njoku,125.87522353485629,9,11
daniel-bellinger,123.2981188547308,10,34
cole-kmet,120.46414510186278,11,8
kyle-pitts,118.3267043047661,12,33
greg-dulcich,117.50705441575818,13,29
juwan-johnson,116.69408771928825,14,15
dalton-schultz,114.69614843974132,15,10
chigoziem-okonkwo,114.34620122334613,16,25
tyler-higbee,109.94179139688856,17,6
dawson-knox,108.92612095412487,18,14
darren-waller,108.61737614096378,19,31
gerald-everett,108.1578476807429,20,13
tyler-conklin,103.25534484021996,21,16
noah-gray,102.87294180035073,22,36
zach-ertz,102.21482132728569,23,19
foster-moreau,101.98273628214494,24,30
hunter-henry,99.11045313988205,25,22
noah-fant,97.94816976912928,26,17
jordan-akins,97.94252955997841,27,18
jelani-woods,95.35965305662154,28,35
isaiah-likely,94.58030463850478,29,27
hayden-hurst,92.00474808333267,30,21
robert-tonyan,87.39133891953699,31,20
mike-gesicki,87.00832899697016,32,23
cade-otton,86.45341495183477,33,26
colby-parkinson,83.16827821119773,34,37
austin-hooper,82.68048503159031,35,24
will-dissly,78.4804303085455,36,28
irv-smith-jr,70.93645004857487,37,42
brock-wright,67.90945784045775,38,38
logan-thomas,67.3267283166675,39,32
trey-mcbride,63.57353410683088,40,40
harrison-bryant,61.613175020940716,41,39
jake-ferguson,61.39136659558888,42,45
cj-uzomah,60.36876709174766,43,41
adam-trautman,59.55262223686823,44,46
jonnu-smith,56.65914321326852,45,44
mo-alie-cox,46.87028734024415,46,43
