name,proj fpts,rank
taysom-hill,16.891330917678374,1
travis-kelce,14.952229510569964,2
mark-andrews,12.097364342221454,3
tj-hockenson,11.167038588975492,4
george-kittle,10.674463856726682,5
dallas-goedert,10.089922357155425,6
pat-freiermuth,9.900571081802308,7
chigoziem-okonkwo,9.68265671754712,8
evan-engram,9.649232781042343,9
david-njoku,9.371980172834853,10
greg-dulcich,9.109835896347725,11
cole-kmet,9.002327959641539,12
kyle-pitts,8.9243160486564,13
juwan-johnson,8.33144996586585,14
darren-waller,8.018399126320169,15
dalton-schultz,7.839997319092261,16
gerald-everett,7.738802691906956,17
dawson-knox,7.687908493476173,18
tyler-conklin,7.535430402080731,19
jelani-woods,7.234023048685948,20
tyler-higbee,7.172679152896939,21
foster-moreau,7.0421983484338355,22
hunter-henry,6.985931573730694,23
daniel-bellinger,6.858164496652699,24
noah-fant,6.846182056418357,25
isaiah-likely,6.7431790062218315,26
jordan-akins,6.563799771266247,27
hayden-hurst,6.343047733310707,28
mike-gesicki,6.206352469863221,29
noah-gray,6.137216581499392,30
zach-ertz,6.132438647144629,31
colby-parkinson,6.0549818378599305,32
cade-otton,5.666341578937747,33
robert-tonyan,5.480060663749379,34
will-dissly,5.257793501765889,35
austin-hooper,5.21438952913999,36
irv-smith-jr,4.97270727544824,37
trey-mcbride,4.769343033327206,38
jake-ferguson,4.558790006064888,39
jonnu-smith,4.136206831938017,40
brock-wright,3.947106778148106,41
cj-uzomah,3.898360586374395,42
adam-trautman,3.8848584575423795,43
harrison-bryant,3.833070390138471,44
logan-thomas,3.7406850487348695,45
mo-alie-cox,2.382984611486534,46
