name,proj fpts,rank
taysom-hill,208.8961334397071,1
travis-kelce,208.40285174223587,2
mark-andrews,157.175283923157,3
george-kittle,151.9133146092533,4
tj-hockenson,148.3875050839564,5
pat-freiermuth,135.06040777210941,6
dallas-goedert,135.04224206697748,7
david-njoku,134.03737759186146,8
chigoziem-okonkwo,131.21106403021687,9
greg-dulcich,129.34790400542437,10
kyle-pitts,126.19764011013602,11
cole-kmet,123.94280420450805,12
evan-engram,121.74212974826817,13
juwan-johnson,121.73428967540326,14
dalton-schultz,115.82238937396674,15
dawson-knox,112.51807748930474,16
daniel-bellinger,112.28879624593401,17
darren-waller,111.32749009418961,18
gerald-everett,109.85883386668844,19
tyler-conklin,103.73102215853328,20
tyler-higbee,97.41727239277702,21
noah-fant,96.8356337051228,22
noah-gray,96.04794761507796,23
jelani-woods,95.94892155675132,24
isaiah-likely,94.72438011052195,25
mike-gesicki,92.17133928716629,26
hunter-henry,91.77440873553938,27
foster-moreau,89.75641779536711,28
hayden-hurst,88.16536313300512,29
jordan-akins,87.3428861419485,30
zach-ertz,84.93682561857301,31
cade-otton,83.3214061313187,32
colby-parkinson,78.0996306726616,33
irv-smith-jr,78.04692499569498,34
robert-tonyan,76.51961765225076,35
will-dissly,72.09123922251219,36
austin-hooper,71.68526765037139,37
trey-mcbride,68.7815590794809,38
jake-ferguson,63.75816061262174,39
brock-wright,58.28874919468991,40
adam-trautman,51.93816286715358,41
logan-thomas,51.755741765374324,42
jonnu-smith,50.95065492948322,43
harrison-bryant,48.49881282746825,44
cj-uzomah,47.79239467290145,45
mo-alie-cox,38.38070607839009,46
