name,proj fpts,rank,last rank
travis-kelce,15.430600000000013,1,1
mark-andrews,13.5294,2,4
tj-hockenson,10.7774,3,2
chigoziem-okonkwo,10.752199999999997,4,25
greg-dulcich,10.5686,5,29
dallas-goedert,10.357599999999996,6,12
david-njoku,9.932599999999999,7,11
pat-freiermuth,9.777800000000003,8,7
evan-engram,9.734800000000002,9,5
kyle-pitts,9.729400000000002,10,33
george-kittle,9.1836,11,3
cole-kmet,8.7756,12,8
juwan-johnson,8.450399999999998,13,15
darren-waller,8.428799999999997,14,31
gerald-everett,8.260600000000002,15,13
dawson-knox,8.1386,16,14
jelani-woods,7.9186,17,35
dalton-schultz,7.857600000000001,18,10
tyler-conklin,7.588199999999999,19,16
isaiah-likely,7.116000000000001,20,27
mike-gesicki,6.989400000000001,21,23
irv-smith-jr,6.788200000000002,22,42
noah-fant,6.728799999999998,23,17
hayden-hurst,6.546599999999998,24,21
tyler-higbee,6.376400000000001,25,6
trey-mcbride,6.3098,26,40
hunter-henry,6.160799999999998,27,22
taysom-hill,5.9886,28,9
jake-ferguson,5.4246,29,45
colby-parkinson,5.420199999999997,30,37
jordan-akins,5.184599999999998,31,18
foster-moreau,5.110999999999998,32,30
will-dissly,4.619399999999996,33,28
daniel-bellinger,4.485199999999999,34,34
cade-otton,4.4243999999999994,35,26
zach-ertz,4.4046,36,19
jonnu-smith,4.277,37,44
austin-hooper,3.9987999999999984,38,24
robert-tonyan,3.9792,39,20
noah-gray,3.2029999999999994,40,36
cj-uzomah,3.1713999999999984,41,41
adam-trautman,2.536399999999999,42,46
logan-thomas,2.4484000000000004,43,32
harrison-bryant,2.201999999999999,44,39
brock-wright,1.855399999999999,45,38
mo-alie-cox,1.7968000000000004,46,43
