name,proj fpts,rank,last rank
travis-kelce,238.74199999999973,1,1
mark-andrews,180.12540000000004,2,4
chigoziem-okonkwo,157.5876,3,25
greg-dulcich,155.91040000000004,4,29
david-njoku,141.55259999999998,5,11
kyle-pitts,140.0114,6,33
pat-freiermuth,130.6244,7,7
dallas-goedert,128.9346,8,12
cole-kmet,126.1668,9,8
evan-engram,125.48160000000004,10,5
juwan-johnson,124.88299999999997,11,15
dalton-schultz,123.7816,12,10
gerald-everett,123.09380000000002,13,13
george-kittle,120.7864,14,3
tj-hockenson,119.4702,15,2
dawson-knox,118.01479999999992,16,14
darren-waller,116.55179999999999,17,31
tyler-conklin,113.95799999999993,18,16
mike-gesicki,105.66659999999993,19,23
irv-smith-jr,105.56379999999999,20,42
taysom-hill,93.38619999999996,21,9
noah-fant,90.42199999999994,22,17
hayden-hurst,90.34659999999994,23,21
isaiah-likely,90.01259999999995,24,27
jelani-woods,86.70199999999997,25,35
trey-mcbride,82.7718,26,40
tyler-higbee,78.79760000000003,27,6
hunter-henry,75.99859999999997,28,22
cade-otton,70.43159999999997,29,26
jake-ferguson,62.38119999999999,30,45
will-dissly,61.25599999999997,31,28
daniel-bellinger,60.79499999999996,32,34
robert-tonyan,60.15299999999994,33,20
austin-hooper,59.83499999999998,34,24
jonnu-smith,59.4618,35,44
jordan-akins,58.98159999999998,36,18
colby-parkinson,58.44279999999998,37,37
foster-moreau,54.304999999999964,38,30
zach-ertz,50.916,39,19
noah-gray,46.67539999999999,40,36
logan-thomas,34.4842,41,32
adam-trautman,29.200199999999995,42,46
mo-alie-cox,28.7712,43,43
cj-uzomah,28.2606,44,41
harrison-bryant,27.688999999999982,45,39
brock-wright,24.46139999999999,46,38
