name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
travis-kelce,16.681600000000014,14.842742919921877,14.056982948244624,13.79321793896704,15.037936462534944,1,1
mark-andrews,13.367400000000009,11.289537048339843,11.092736549892972,11.865702786746134,12.137358745309228,2,4
tj-hockenson,11.090600000000006,11.229773712158202,11.061815282359753,10.816973399544937,10.825596987214611,3,2
george-kittle,9.6348,11.372277069091798,10.763124826963171,10.460062134830595,10.45206386574227,4,3
taysom-hill,6.461799999999999,20.12645568847656,12.941211107297176,7.135190424166955,10.032137664453789,5,9
evan-engram,9.764600000000003,9.786648559570311,9.79029377739536,10.436932006465266,9.891737541494496,6,5
pat-freiermuth,10.022200000000002,10.089359283447266,9.623467831706892,9.159852692175832,9.861604669348,7,7
dallas-goedert,10.091799999999996,10.034439086914062,9.766331216817804,9.115364224560366,9.684889589510025,8,12
david-njoku,9.5052,9.471817016601562,9.501467817170669,9.58141050547266,9.55405446704986,9,11
chigoziem-okonkwo,9.973399999999993,9.815657043457032,8.998798285046435,8.720437249708162,9.364293093863497,10,25
cole-kmet,8.513,9.473167419433594,8.819090777413296,9.637728804621329,9.250681667248813,11,8
greg-dulcich,10.172,8.52335205078125,8.310858669602087,8.299578984669509,9.09631053154836,12,29
kyle-pitts,9.9496,8.653866577148438,8.283299500742487,8.189552001142594,9.00837824770325,13,33
juwan-johnson,8.342999999999998,8.821525573730469,7.925880280329058,7.823258120170683,8.416004312721991,14,15
darren-waller,9.028999999999996,7.707035827636719,7.799838510500287,7.485246141305875,8.123848625007481,15,31
dalton-schultz,7.7194,7.945873260498047,7.845901260981923,7.931077547568398,7.773619604078003,16,10
gerald-everett,7.706800000000003,7.663276672363281,7.814208564129553,7.676168799108635,7.598761202186169,17,13
dawson-knox,8.020199999999999,7.404001617431641,7.381914476294585,7.414323806797869,7.592630133338413,18,14
tyler-conklin,6.944799999999999,7.720858001708985,7.66992580564847,8.108813782292021,7.453911430658337,19,16
tyler-higbee,6.667000000000003,7.579315948486328,7.690636283213527,7.758122007088818,7.2216419365956765,20,6
jelani-woods,8.072599999999998,7.133674621582031,6.922081804613811,6.656586689810075,7.192668308180527,21,35
hunter-henry,6.1069999999999975,7.658092498779297,7.181914963385216,6.659642297892883,6.820274804418848,22,22
noah-fant,6.976400000000001,6.779651641845703,6.729353568002237,6.569329586922537,6.725017421104945,23,17
foster-moreau,5.205199999999999,8.399688720703125,7.408059533857374,6.637854845778615,6.696815607948708,24,30
daniel-bellinger,4.213600000000001,7.869491577148437,7.208900874075016,7.793475069114185,6.68420112014103,25,34
isaiah-likely,7.130000000000001,6.53551025390625,6.593343791283763,6.700693953430945,6.640841800491312,26,27
jordan-akins,5.703399999999999,7.400075531005859,6.987670173055713,6.825161177100926,6.55409341583465,27,18
mike-gesicki,7.3802,6.309238433837891,5.98835172373088,5.742076891445948,6.446145799528125,28,23
hayden-hurst,6.696600000000001,6.346214675903321,6.294528854740486,6.326050227277229,6.251645275785758,29,21
zach-ertz,4.563800000000001,6.355479049682617,6.955979596085799,7.175424465524307,5.992028911271947,30,19
colby-parkinson,5.2034,6.4211181640625,5.95274922600592,5.583731336810524,5.946372896142827,31,37
noah-gray,2.7941999999999987,7.478168487548828,6.548713363241424,6.39130586439908,5.74525376330724,32,36
robert-tonyan,4.233600000000001,6.4581855773925785,6.136553748835933,5.969194157438509,5.38090510259325,33,20
cade-otton,4.168799999999999,6.109344100952148,5.928932877696448,5.918738318917868,5.372268721048102,34,26
will-dissly,3.9356,5.714932632446289,5.335864074130896,5.204673358597968,5.2282059979201705,35,28
irv-smith-jr,6.625200000000002,3.601584625244141,4.566351356968895,5.05593753604096,5.165932703763937,36,42
austin-hooper,4.3026,6.291905212402344,5.831595755359408,5.552721137254642,5.147309405010264,37,24
trey-mcbride,6.3142,3.5107711791992187,4.309006773279226,4.8533694384926696,4.940765713050418,38,40
jake-ferguson,5.787000000000002,3.693614196777344,4.089853292863248,4.446113044007665,4.6959850186803065,39,45
jonnu-smith,4.6336,3.30583610534668,4.584271580776841,4.885330069758909,4.237634673461731,40,44
cj-uzomah,3.3975999999999997,4.666710662841797,4.458547145811169,4.08539007244534,4.171864658500375,41,41
brock-wright,3.284999999999998,4.548735809326172,4.830274955545597,4.44150937134454,4.129994275464362,42,38
harrison-bryant,2.224399999999999,4.330448913574219,4.538487682356887,5.433305633267854,4.076396478423079,43,39
logan-thomas,2.9395999999999995,3.910968780517578,4.74439823549266,4.794632613518314,3.692580863942048,44,32
adam-trautman,2.0965999999999987,4.1997833251953125,4.063844807522494,4.0664804307482525,3.5526559635758868,45,46
mo-alie-cox,2.230200000000001,2.325165176391601,3.0743597519867647,3.626870929731669,2.768771078057862,46,43
