name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
taysom-hill,93.38619999999996,379.6900390625,239.8430180866153,122.66527660971326,208.8961334397071,1,9
travis-kelce,238.7419999999997,208.032470703125,195.04633843352136,191.79059783229732,208.40285174223587,2,1
mark-andrews,180.12540000000004,154.07147216796875,150.54687083267325,143.95739269198594,157.175283923157,3,4
george-kittle,120.7864,172.18944091796874,156.28380102006554,158.39361649897884,151.9133146092533,4,3
tj-hockenson,119.4702,162.980126953125,155.96678285947405,155.1329105232265,148.3875050839564,5,2
pat-freiermuth,130.6244,136.4962890625,135.53996545734478,137.58097656859283,135.0604077721094,6,7
dallas-goedert,128.9346,134.2472900390625,136.57196454777286,140.4151136810746,135.04224206697748,7,12
david-njoku,141.55259999999998,130.80738525390626,125.87522353485627,137.9143015786833,134.03737759186146,8,11
chigoziem-okonkwo,157.5876,126.4748291015625,114.34620122334611,126.43562579595884,131.21106403021687,9,25
greg-dulcich,155.91040000000004,115.2855712890625,117.50705441575818,128.6885903168768,129.34790400542437,10,29
kyle-pitts,140.0114,115.9922119140625,118.3267043047661,130.46024422171547,126.19764011013602,11,33
cole-kmet,126.1668,132.4501220703125,120.46414510186278,116.69014964585692,123.94280420450804,12,8
evan-engram,125.48160000000004,125.770654296875,126.14180739463832,109.5744573015593,121.74212974826816,13,5
juwan-johnson,124.88299999999995,126.7342529296875,116.69408771928823,118.62581805263736,121.73428967540326,14,15
dalton-schultz,123.7816,114.476611328125,114.69614843974132,110.33519772800068,115.82238937396674,15,10
dawson-knox,118.01479999999992,114.52239990234376,108.92612095412488,108.60898910075043,112.51807748930474,16,14
daniel-bellinger,60.79499999999996,139.63958740234375,123.2981188547308,125.42247872666157,112.288796245934,17,34
darren-waller,116.5518,104.1349609375,108.61737614096378,116.0058232982947,111.3274900941896,18,31
gerald-everett,123.09380000000002,106.52545166015624,108.1578476807429,101.6582361258546,109.85883386668844,19,13
tyler-conklin,113.95799999999991,103.87584228515624,103.25534484021996,93.83490150875696,103.73102215853328,20,16
tyler-higbee,78.79760000000003,103.451416015625,109.94179139688856,97.47828215859448,97.41727239277702,21,6
noah-fant,90.42199999999994,102.13668212890624,97.94816976912928,96.83568292245576,96.8356337051228,22,17
noah-gray,46.67539999999999,118.39677734375,102.87294180035072,116.24667131621116,96.04794761507796,23,36
jelani-woods,86.70199999999997,96.39598999023436,95.35965305662154,105.33804318014936,95.94892155675132,24,35
isaiah-likely,90.01259999999995,94.81356811523438,94.58030463850478,99.49104768834869,94.72438011052196,25,27
mike-gesicki,105.66659999999992,91.88209228515623,87.00832899697016,84.12833586653883,92.17133928716628,26,23
hunter-henry,75.99859999999997,98.9314208984375,99.11045313988204,93.05716090383802,91.77440873553938,27,22
foster-moreau,54.30499999999997,100.4927978515625,101.98273628214494,102.24513704776103,89.75641779536711,28,30
hayden-hurst,90.34659999999994,85.786279296875,92.00474808333269,84.52382515181287,88.16536313300512,29,21
jordan-akins,58.98159999999998,101.14381713867188,97.9425295599784,91.3035978691437,87.3428861419485,30,18
zach-ertz,50.916,89.66331787109375,102.21482132728568,96.95316327591262,84.93682561857301,31,19
cade-otton,70.43159999999997,86.00631103515624,86.45341495183477,90.3942985382838,83.3214061313187,32,26
colby-parkinson,58.44279999999998,82.5775146484375,83.16827821119773,88.20992983101121,78.0996306726616,33,37
irv-smith-jr,105.5638,59.3067138671875,70.93645004857487,76.38073606701755,78.04692499569498,34,42
robert-tonyan,60.15299999999994,84.22357788085938,87.39133891953699,74.31055380860674,76.51961765225076,35,20
will-dissly,61.25599999999997,76.841064453125,78.4804303085455,71.7874621283783,72.09123922251219,36,28
austin-hooper,59.83499999999998,77.9326904296875,82.68048503159031,66.29289514020775,71.68526765037139,37,24
trey-mcbride,82.7718,56.119866943359376,63.57353410683088,72.66103526773338,68.7815590794809,38,40
jake-ferguson,62.38119999999999,57.47127685546875,61.39136659558888,73.78879899942932,63.75816061262174,39,45
brock-wright,24.46139999999999,68.85655517578125,67.90945784045775,71.92758376252067,58.28874919468991,40,38
adam-trautman,29.200199999999995,54.0881591796875,59.55262223686823,64.91167005205858,51.93816286715358,41,46
logan-thomas,34.4842,54.036859130859376,67.3267283166675,51.175179613970414,51.75574176537432,42,32
jonnu-smith,59.4618,43.87540588378906,56.65914321326852,43.806270620875296,50.95065492948322,43,44
harrison-bryant,27.688999999999982,53.52960205078125,61.61317502094072,51.16347423815105,48.49881282746825,44,39
cj-uzomah,28.2606,53.5013671875,60.36876709174766,49.03884441235815,47.79239467290145,45,41
mo-alie-cox,28.7712,40.75342712402344,46.87028734024415,37.12790984929276,38.38070607839009,46,43
