name,proj fpts,rank,last rank
travis-kelce,13.793217938967041,1,1
mark-andrews,11.865702786746134,2,4
tj-hockenson,10.816973399544935,3,2
george-kittle,10.460062134830597,4,3
evan-engram,10.436932006465266,5,5
cole-kmet,9.637728804621329,6,8
david-njoku,9.581410505472661,7,11
pat-freiermuth,9.159852692175832,8,7
dallas-goedert,9.115364224560366,9,12
chigoziem-okonkwo,8.720437249708162,10,25
greg-dulcich,8.299578984669509,11,29
kyle-pitts,8.189552001142594,12,33
tyler-conklin,8.108813782292021,13,16
dalton-schultz,7.931077547568398,14,10
juwan-johnson,7.823258120170683,15,15
daniel-bellinger,7.793475069114185,16,34
tyler-higbee,7.758122007088818,17,6
gerald-everett,7.676168799108635,18,13
darren-waller,7.485246141305875,19,31
dawson-knox,7.414323806797869,20,14
zach-ertz,7.175424465524307,21,19
taysom-hill,7.135190424166955,22,9
jordan-akins,6.825161177100926,23,18
isaiah-likely,6.700693953430945,24,27
hunter-henry,6.659642297892883,25,22
jelani-woods,6.656586689810075,26,35
foster-moreau,6.637854845778615,27,30
noah-fant,6.569329586922537,28,17
noah-gray,6.39130586439908,29,36
hayden-hurst,6.326050227277229,30,21
robert-tonyan,5.969194157438509,31,20
cade-otton,5.918738318917868,32,26
mike-gesicki,5.742076891445948,33,23
colby-parkinson,5.583731336810524,34,37
austin-hooper,5.552721137254642,35,24
harrison-bryant,5.433305633267854,36,39
will-dissly,5.204673358597968,37,28
irv-smith-jr,5.05593753604096,38,42
jonnu-smith,4.885330069758909,39,44
trey-mcbride,4.8533694384926696,40,40
logan-thomas,4.794632613518314,41,32
jake-ferguson,4.446113044007665,42,45
brock-wright,4.44150937134454,43,38
cj-uzomah,4.08539007244534,44,41
adam-trautman,4.0664804307482525,45,46
mo-alie-cox,3.626870929731669,46,43
