name,proj fpts,rank,last rank
travis-kelce,191.79059783229735,1,1
george-kittle,158.39361649897884,2,3
tj-hockenson,155.1329105232265,3,2
mark-andrews,143.95739269198594,4,4
dallas-goedert,140.4151136810746,5,12
david-njoku,137.9143015786833,6,11
pat-freiermuth,137.58097656859283,7,7
kyle-pitts,130.46024422171547,8,33
greg-dulcich,128.6885903168768,9,29
chigoziem-okonkwo,126.43562579595883,10,25
daniel-bellinger,125.42247872666155,11,34
taysom-hill,122.66527660971326,12,9
juwan-johnson,118.62581805263736,13,15
cole-kmet,116.69014964585692,14,8
noah-gray,116.24667131621115,15,36
darren-waller,116.0058232982947,16,31
dalton-schultz,110.33519772800067,17,10
evan-engram,109.5744573015593,18,5
dawson-knox,108.60898910075043,19,14
jelani-woods,105.33804318014936,20,35
foster-moreau,102.24513704776103,21,30
gerald-everett,101.65823612585461,22,13
isaiah-likely,99.49104768834867,23,27
tyler-higbee,97.47828215859448,24,6
zach-ertz,96.95316327591262,25,19
noah-fant,96.83568292245577,26,17
tyler-conklin,93.83490150875696,27,16
hunter-henry,93.05716090383802,28,22
jordan-akins,91.3035978691437,29,18
cade-otton,90.3942985382838,30,26
colby-parkinson,88.20992983101121,31,37
hayden-hurst,84.52382515181287,32,21
mike-gesicki,84.12833586653883,33,23
irv-smith-jr,76.38073606701755,34,42
robert-tonyan,74.31055380860674,35,20
jake-ferguson,73.78879899942932,36,45
trey-mcbride,72.66103526773338,37,40
brock-wright,71.92758376252067,38,38
will-dissly,71.7874621283783,39,28
austin-hooper,66.29289514020775,40,24
adam-trautman,64.91167005205858,41,46
logan-thomas,51.175179613970414,42,32
harrison-bryant,51.16347423815105,43,39
cj-uzomah,49.038844412358145,44,41
jonnu-smith,43.806270620875296,45,44
mo-alie-cox,37.12790984929276,46,43
