name,proj fpts,rank,last rank
taysom-hill,20.12645568847656,1,9
travis-kelce,14.842742919921875,2,1
george-kittle,11.372277069091798,3,3
mark-andrews,11.289537048339843,4,4
tj-hockenson,11.229773712158202,5,2
pat-freiermuth,10.089359283447266,6,7
dallas-goedert,10.034439086914062,7,12
chigoziem-okonkwo,9.815657043457032,8,25
evan-engram,9.786648559570313,9,5
cole-kmet,9.473167419433594,10,8
david-njoku,9.471817016601562,11,11
juwan-johnson,8.821525573730469,12,15
kyle-pitts,8.653866577148438,13,33
greg-dulcich,8.52335205078125,14,29
foster-moreau,8.399688720703125,15,30
dalton-schultz,7.945873260498047,16,10
daniel-bellinger,7.8694915771484375,17,34
tyler-conklin,7.720858001708985,18,16
darren-waller,7.707035827636719,19,31
gerald-everett,7.663276672363281,20,13
hunter-henry,7.658092498779297,21,22
tyler-higbee,7.579315948486328,22,6
noah-gray,7.478168487548828,23,36
dawson-knox,7.404001617431641,24,14
jordan-akins,7.400075531005859,25,18
jelani-woods,7.133674621582031,26,35
noah-fant,6.779651641845703,27,17
isaiah-likely,6.53551025390625,28,27
robert-tonyan,6.4581855773925785,29,20
colby-parkinson,6.4211181640625,30,37
zach-ertz,6.355479049682617,31,19
hayden-hurst,6.346214675903321,32,21
mike-gesicki,6.309238433837891,33,23
austin-hooper,6.291905212402344,34,24
cade-otton,6.109344100952148,35,26
will-dissly,5.714932632446289,36,28
cj-uzomah,4.666710662841797,37,41
brock-wright,4.548735809326172,38,38
harrison-bryant,4.330448913574219,39,39
adam-trautman,4.1997833251953125,40,46
logan-thomas,3.910968780517578,41,32
jake-ferguson,3.693614196777344,42,45
irv-smith-jr,3.601584625244141,43,42
trey-mcbride,3.5107711791992187,44,40
jonnu-smith,3.3058361053466796,45,44
mo-alie-cox,2.3251651763916015,46,43
