name,proj fpts,rank,last rank
taysom-hill,379.6900390625,1,9
travis-kelce,208.032470703125,2,1
george-kittle,172.18944091796874,3,3
tj-hockenson,162.980126953125,4,2
mark-andrews,154.07147216796875,5,4
daniel-bellinger,139.63958740234375,6,34
pat-freiermuth,136.4962890625,7,7
dallas-goedert,134.2472900390625,8,12
cole-kmet,132.4501220703125,9,8
david-njoku,130.80738525390626,10,11
juwan-johnson,126.7342529296875,11,15
chigoziem-okonkwo,126.4748291015625,12,25
evan-engram,125.770654296875,13,5
noah-gray,118.39677734375,14,36
kyle-pitts,115.9922119140625,15,33
greg-dulcich,115.2855712890625,16,29
dawson-knox,114.52239990234375,17,14
dalton-schultz,114.476611328125,18,10
gerald-everett,106.52545166015625,19,13
darren-waller,104.1349609375,20,31
tyler-conklin,103.87584228515625,21,16
tyler-higbee,103.451416015625,22,6
noah-fant,102.13668212890624,23,17
jordan-akins,101.14381713867188,24,18
foster-moreau,100.4927978515625,25,30
hunter-henry,98.9314208984375,26,22
jelani-woods,96.39598999023437,27,35
isaiah-likely,94.81356811523438,28,27
mike-gesicki,91.88209228515625,29,23
zach-ertz,89.66331787109375,30,19
cade-otton,86.00631103515624,31,26
hayden-hurst,85.786279296875,32,21
robert-tonyan,84.22357788085938,33,20
colby-parkinson,82.5775146484375,34,37
austin-hooper,77.9326904296875,35,24
will-dissly,76.841064453125,36,28
brock-wright,68.85655517578125,37,38
irv-smith-jr,59.3067138671875,38,42
jake-ferguson,57.47127685546875,39,45
trey-mcbride,56.119866943359376,40,40
adam-trautman,54.0881591796875,41,46
logan-thomas,54.036859130859376,42,32
harrison-bryant,53.52960205078125,43,39
cj-uzomah,53.5013671875,44,41
jonnu-smith,43.875405883789064,45,44
mo-alie-cox,40.75342712402344,46,43
