name,proj fpts,rank,last rank
justin-jefferson,13.958498791150166,1,1
davante-adams,13.768118550767397,2,2
jamarr-chase,13.746082348903736,3,12
stefon-diggs,13.643828846319948,4,4
cooper-kupp,13.586912618843238,5,24
tyreek-hill,13.559251751308546,6,3
aj-brown,13.521694569755692,7,5
ceedee-lamb,13.454595154280792,8,6
jaylen-waddle,13.053015881573852,9,7
amonra-stbrown,12.957994628685588,10,8
devonta-smith,12.600364298848048,11,10
tee-higgins,12.401990404204334,12,17
keenan-allen,12.334209530610696,13,42
garrett-wilson,12.285698602838128,14,19
chris-olave,12.06955024638231,15,25
jerry-jeudy,12.006222697919856,16,21
amari-cooper,11.986691575034385,17,9
deandre-hopkins,11.885222062839647,18,47
dk-metcalf,11.870870660954145,19,18
christian-kirk,11.740032883456573,20,11
tyler-lockett,11.59900039494279,21,13
terry-mclaurin,11.505813025450625,22,14
mike-williams-wr,11.432602697803532,23,31
dj-moore-wr,11.324761005685353,24,22
brandon-aiyuk,11.292989921471522,25,15
chris-godwin,11.258086552821753,26,20
michael-pittman,11.14298462301103,27,23
mike-evans,11.063253844000917,28,16
drake-london,11.001838391940366,29,36
marquise-brown,10.997269158258916,30,46
deebo-samuel,10.75746619946359,31,38
christian-watson,10.604458365826002,32,35
jahan-dotson,10.497750235321101,33,50
diontae-johnson,10.350209669841929,34,39
gabriel-davis,10.191746151879158,35,27
treylon-burks,10.073379731764282,36,70
george-pickens,9.838637309752702,37,37
juju-smith-schuster,9.799931118416762,38,29
courtland-sutton,9.762922979030416,39,43
brandin-cooks,9.737622960728965,40,49
jakobi-meyers,9.453954134347917,41,28
allen-lazard,9.327483973666562,42,33
rondale-moore,9.14597530938848,43,78
zay-jones,9.111124962658785,44,26
tyler-boyd,8.85786644726258,45,30
elijah-moore,8.837014471780101,46,73
darnell-mooney,8.835208733494367,47,67
kj-osborn,8.81367690964876,48,45
adam-thielen,8.567670166462412,49,32
romeo-doubs,8.520186551623977,50,68
nico-collins,8.37371489047042,51,69
donovan-peoples-jones,8.16870684691685,52,40
parris-campbell,7.369933824358367,53,48
michael-gallup,7.283695726047943,54,61
curtis-samuel,7.201346710282212,55,34
dj-chark,7.180083988441405,56,63
isaiah-hodgins,7.134419693329448,57,65
alec-pierce,7.071826046993965,58,56
josh-palmer,6.950204307563578,59,41
hunter-renfrow,6.88953009012689,60,80
marquez-valdesscantling,6.72079017110962,61,53
greg-dortch,6.059565021207163,62,60
chase-claypool,6.04553163942522,63,64
darius-slayton,5.990027710125704,64,51
richie-james,5.986636929600696,65,52
allen-robinson,5.717583698249924,66,76
tyquan-thornton,5.700144269563373,67,82
robert-woods,5.583597656949437,68,58
kendrick-bourne,5.360336480257903,69,71
josh-reynolds,5.3094490245646755,70,62
russell-gage,5.157878451410183,71,54
terrace-marshall,5.132050764541435,72,74
devante-parker,5.084190444772195,73,59
corey-davis,5.009082443787128,74,66
mack-hollins,4.9873535573434555,75,44
trent-sherfield,4.903882937567346,76,75
olamide-zaccheaus,4.878372315781774,77,57
marvin-jones,4.832660644209963,78,55
nelson-agholor,4.7923029230635965,79,81
nick-westbrook,4.663943966222487,80,72
quez-watkins,4.129448189678682,81,77
randall-cobb,3.4619798410930755,82,79
