name,proj fpts,rank,last rank
justin-jefferson,188.93161815120712,1,1
jamarr-chase,187.4232578521979,2,12
cooper-kupp,187.12096311369953,3,24
tyreek-hill,186.7704420144243,4,3
stefon-diggs,183.9966323022804,5,4
ceedee-lamb,183.7238071048452,6,6
aj-brown,182.7508292498545,7,5
davante-adams,182.18597726477282,8,2
amonra-stbrown,181.63094846004554,9,8
garrett-wilson,179.83056137338986,10,19
jaylen-waddle,179.40189960177705,11,7
devonta-smith,177.3188641373318,12,10
tee-higgins,175.60599613287053,13,17
chris-olave,175.58634977216178,14,25
dk-metcalf,172.7540457483891,15,18
deebo-samuel,172.43165987868446,16,38
keenan-allen,171.2635527280986,17,42
amari-cooper,169.27874906719717,18,9
deandre-hopkins,166.7670518311391,19,47
terry-mclaurin,165.579743090342,20,14
jerry-jeudy,165.5592071886382,21,21
dj-moore-wr,163.84678395467446,22,22
christian-kirk,162.63938408267109,23,11
christian-watson,162.37682683608776,24,35
drake-london,161.9780793760356,25,36
mike-williams-wr,161.7539253098748,26,31
chris-godwin,161.39358103024517,27,20
michael-pittman,159.18417853268545,28,23
tyler-lockett,157.20741897014835,29,13
diontae-johnson,156.5461142635129,30,39
brandon-aiyuk,156.39027768933528,31,15
mike-evans,154.5215731106964,32,16
marquise-brown,154.01477066674605,33,46
treylon-burks,152.08757177647837,34,70
george-pickens,151.4749382011173,35,37
jahan-dotson,147.63929724029578,36,50
gabriel-davis,144.71902936383114,37,27
brandin-cooks,144.22249487073265,38,49
courtland-sutton,143.46340313105085,39,43
elijah-moore,137.340219000332,40,73
juju-smith-schuster,134.3516336318842,41,29
allen-lazard,129.83548637421592,42,33
jakobi-meyers,126.3503665126696,43,28
tyler-boyd,124.96837324677486,44,30
darnell-mooney,123.4198306853531,45,67
rondale-moore,123.20549979954669,46,78
adam-thielen,121.22069613864525,47,32
romeo-doubs,120.43169008740281,48,68
kj-osborn,120.37319577577401,49,45
zay-jones,119.53596336375465,50,26
nico-collins,119.40021792078328,51,69
donovan-peoples-jones,115.93518919044327,52,40
michael-gallup,106.06477272209233,53,61
alec-pierce,105.87053296749221,54,56
dj-chark,101.41199048045769,55,63
marquez-valdesscantling,98.1407567342203,56,53
curtis-samuel,97.4879408964467,57,34
parris-campbell,97.34192750262346,58,48
hunter-renfrow,94.65563687267402,59,80
isaiah-hodgins,90.35337573031464,60,65
tyquan-thornton,88.03636301935418,61,82
josh-palmer,85.95288278441141,62,41
chase-claypool,84.2208131897389,63,64
allen-robinson,80.34721381899234,64,76
robert-woods,77.56269138549906,65,58
darius-slayton,75.34346570758497,66,51
richie-james,74.34995195089047,67,52
kendrick-bourne,73.50289635851672,68,71
terrace-marshall,70.32051600596627,69,74
greg-dortch,69.4819492824544,70,60
trent-sherfield,69.41496610196374,71,75
devante-parker,69.24081747856988,72,59
marvin-jones,66.86531045598063,73,55
corey-davis,66.16426825743012,74,66
josh-reynolds,64.65501841742591,75,62
nick-westbrook,64.21742300645371,76,72
nelson-agholor,60.71221201370115,77,81
olamide-zaccheaus,58.76536676272474,78,57
mack-hollins,55.777226164774426,79,44
russell-gage,53.65489797891162,80,54
quez-watkins,50.52029921664058,81,77
randall-cobb,39.72557602457336,82,79
