name,proj fpts,rank
travis-kelce,12.405334898970274,1
taysom-hill,11.272367758694873,2
mark-andrews,9.870729140108034,3
tj-hockenson,9.559691735761973,4
george-kittle,9.148532881613523,5
dallas-goedert,9.010641019386943,6
evan-engram,8.680195478744118,7
pat-freiermuth,8.588824747837993,8
david-njoku,8.357606000220507,9
kyle-pitts,8.051735409427831,10
chigoziem-okonkwo,8.039806376364659,11
darren-waller,7.834366408466694,12
cole-kmet,7.619661694011966,13
greg-dulcich,7.583379803161369,14
foster-moreau,7.408059533857374,15
dalton-schultz,7.2552603243674545,16
juwan-johnson,7.234569732873634,17
tyler-higbee,7.129649482305336,18
jordan-akins,6.987670173055713,19
gerald-everett,6.948862249214259,20
dawson-knox,6.687249147394589,21
jelani-woods,6.637912683121148,22
tyler-conklin,6.5537349677366645,23
hunter-henry,6.537118805006342,24
daniel-bellinger,6.535287603376046,25
zach-ertz,6.500747397671438,26
isaiah-likely,6.141442212469378,27
hayden-hurst,6.105291391104621,28
noah-fant,6.064633189617135,29
noah-gray,5.807950933166274,30
mike-gesicki,5.805386977312801,31
colby-parkinson,5.601934167672543,32
cade-otton,5.4302989923716956,33
robert-tonyan,5.394318860964242,34
austin-hooper,5.368791314677012,35
irv-smith-jr,5.27571629022446,36
logan-thomas,5.075227739011126,37
will-dissly,5.012677863410113,38
trey-mcbride,4.830778712553007,39
brock-wright,4.830274955545597,40
jake-ferguson,4.74382985843604,41
jonnu-smith,4.584271580776841,42
harrison-bryant,4.538487682356887,43
cj-uzomah,4.458547145811169,44
adam-trautman,4.063844807522494,45
mo-alie-cox,3.0743597519867647,46
