name,proj fpts,rank
amonra-stbrown,234.9454390014153,1
ceedee-lamb,232.69153714781598,2
jamarr-chase,227.87806501158155,3
justin-jefferson,223.30441044262963,4
stefon-diggs,215.51918091498254,5
aj-brown,211.20465036497103,6
tyreek-hill,210.57504686343916,7
cooper-kupp,208.41457594808497,8
devonta-smith,199.43014284846504,9
chris-godwin,197.65625368176555,10
davante-adams,197.49628974235446,11
jaylen-waddle,195.85165002773908,12
tee-higgins,192.26771255907147,13
dk-metcalf,192.11608518817047,14
garrett-wilson,190.1331738544549,15
drake-london,185.3366669037661,16
chris-olave,183.8436829602329,17
michael-pittman,183.2811546655335,18
christian-kirk,182.81241945738125,19
brandon-aiyuk,181.315499171174,20
jerry-jeudy,177.9215145505813,21
dj-moore-wr,177.89570455685865,22
amari-cooper,176.48638515333084,23
terry-mclaurin,173.25412529853125,24
tyler-lockett,172.70263538993783,25
deebo-samuel,164.0958696254172,26
diontae-johnson,159.62719461236503,27
keenan-allen,159.48872438983435,28
deandre-hopkins,158.17659244971432,29
christian-watson,158.08620602557107,30
marquise-brown,157.96877419305616,31
mike-williams-wr,157.68466963947185,32
mike-evans,156.54989248354823,33
gabriel-davis,152.31179313327357,34
jahan-dotson,148.71987202274093,35
george-pickens,148.56163834714164,36
treylon-burks,147.09838038832254,37
courtland-sutton,142.27048407527934,38
zay-jones,137.7673973628132,39
jakobi-meyers,137.31368631886198,40
brandin-cooks,136.7573411950865,41
allen-lazard,130.98199118785556,42
juju-smith-schuster,128.83224075915228,43
donovan-peoples-jones,127.84523523625454,44
tyler-boyd,122.89745828368905,45
adam-thielen,122.22746993109534,46
elijah-moore,121.92772018372611,47
kj-osborn,120.81813541016788,48
darnell-mooney,119.92602402908811,49
romeo-doubs,118.76780631012572,50
josh-palmer,117.15107191524821,51
alec-pierce,117.05156108368827,52
parris-campbell,114.19619017823415,53
devin-duvernay,110.0134982473136,54
nico-collins,108.77545114032803,55
isaiah-hodgins,108.33281395014603,56
chase-claypool,104.61024557479624,57
michael-gallup,104.35567853461907,58
rondale-moore,104.29526322745956,59
isaiah-mckenzie,104.03197891226291,60
curtis-samuel,103.7105993633684,61
noah-brown,103.33624859633503,62
kalif-raymond,101.17070967221183,63
demarcus-robinson,99.4018673332507,64
marquez-valdesscantling,98.86357559178421,65
jauan-jennings,98.38416302350917,66
dj-chark,95.74697219673851,67
robert-woods,94.90799280142502,68
richie-james,94.49963624257043,69
darius-slayton,92.80732555333807,70
mack-hollins,90.02604236671436,71
greg-dortch,89.00147252882901,72
kendrick-bourne,86.53764478486741,73
hunter-renfrow,85.90346597829809,74
olamide-zaccheaus,85.827434871729,75
josh-reynolds,80.97551924564462,76
ben-skowronek,80.74273857203958,77
russell-gage,80.37586378305657,78
allen-robinson,78.658837344743,79
corey-davis,77.88477452193457,80
terrace-marshall,76.3910301387145,81
marvin-jones,75.98357994512519,82
tyquan-thornton,75.28947998103507,83
nick-westbrook,74.24794203760652,84
devante-parker,71.33486596649283,85
quez-watkins,70.63978987978285,86
trent-sherfield,69.44098503578084,87
nelson-agholor,64.59948069897204,88
randall-cobb,46.81232920066733,89
