name,proj fpts,rank,last rank
cooper-kupp,17.903600000000004,1,24
jamarr-chase,17.298399999999997,2,12
amonra-stbrown,17.136199999999985,3,8
deebo-samuel,16.867399999999993,4,38
tyreek-hill,16.151600000000006,5,3
justin-jefferson,15.8612,6,1
stefon-diggs,15.606199999999992,7,4
ceedee-lamb,15.449399999999997,8,6
aj-brown,15.400199999999995,9,5
chris-godwin,15.208799999999993,10,20
davante-adams,12.821799999999996,11,2
jaylen-waddle,12.716399999999998,12,7
christian-watson,12.596400000000001,13,35
devonta-smith,12.371399999999998,14,10
tee-higgins,12.301400000000001,15,17
garrett-wilson,12.1998,16,19
michael-pittman,12.149,17,23
jerry-jeudy,12.1084,18,21
dj-moore-wr,12.066999999999997,19,22
christian-kirk,11.9706,20,11
drake-london,11.944400000000002,21,36
amari-cooper,11.814800000000002,22,9
tyler-lockett,11.812000000000001,23,13
dk-metcalf,11.777000000000003,24,18
mike-williams-wr,11.676399999999997,25,31
keenan-allen,11.591599999999998,26,42
deandre-hopkins,11.114999999999998,27,47
chris-olave,11.061599999999999,28,25
terry-mclaurin,11.060400000000001,29,14
brandon-aiyuk,10.717000000000002,30,15
mike-evans,10.375800000000002,31,16
gabriel-davis,10.316200000000006,32,27
george-pickens,10.126200000000003,33,37
marquise-brown,10.100400000000002,34,46
brandin-cooks,9.9816,35,49
diontae-johnson,9.981400000000002,36,39
jakobi-meyers,9.814999999999998,37,28
courtland-sutton,9.666,38,43
allen-lazard,9.511599999999998,39,33
jahan-dotson,9.378800000000002,40,50
adam-thielen,9.026600000000002,41,32
greg-dortch,8.977599999999999,42,60
zay-jones,8.953600000000003,43,26
juju-smith-schuster,8.832600000000001,44,29
treylon-burks,8.8226,45,70
elijah-moore,8.660599999999999,46,73
tyler-boyd,8.6268,47,30
josh-palmer,8.609200000000001,48,41
darnell-mooney,8.582600000000003,49,67
donovan-peoples-jones,8.420400000000003,50,40
chase-claypool,8.289999999999997,51,64
marquez-valdesscantling,8.2094,52,53
mack-hollins,8.151800000000003,53,44
nico-collins,8.097600000000003,54,69
quez-watkins,8.0552,55,77
tyquan-thornton,7.9959999999999996,56,82
olamide-zaccheaus,7.973000000000002,57,57
romeo-doubs,7.931400000000001,58,68
josh-reynolds,7.876600000000001,59,62
isaiah-hodgins,7.786400000000002,60,65
parris-campbell,7.693000000000003,61,48
rondale-moore,7.689,62,78
darius-slayton,7.643800000000004,63,51
richie-james,7.642399999999999,64,52
allen-robinson,7.576000000000002,65,76
terrace-marshall,7.547800000000002,66,74
kendrick-bourne,7.513000000000003,67,71
dj-chark,7.466600000000002,68,63
michael-gallup,7.408399999999998,69,61
robert-woods,7.393799999999999,70,58
alec-pierce,7.386800000000001,71,56
russell-gage,7.2196,72,54
corey-davis,7.1868000000000025,73,66
hunter-renfrow,7.1362,74,80
nick-westbrook,7.128,75,72
marvin-jones,7.011599999999999,76,55
kj-osborn,6.934800000000001,77,45
devante-parker,6.856399999999999,78,59
randall-cobb,6.8164,79,79
curtis-samuel,6.753,80,34
nelson-agholor,6.7052000000000005,81,81
trent-sherfield,6.264800000000003,82,75
