name,proj fpts,rank,last rank
deebo-samuel,283.9658,1,38
amonra-stbrown,281.4042,2,8
chris-godwin,277.25660000000005,3,20
ceedee-lamb,263.7016,4,6
cooper-kupp,245.13739999999999,5,24
jamarr-chase,242.67379999999994,6,12
stefon-diggs,240.8136,7,4
justin-jefferson,234.14459999999994,8,1
tyreek-hill,231.25559999999996,9,3
aj-brown,215.314,10,5
devonta-smith,192.16200000000003,11,10
tee-higgins,191.87040000000002,12,17
jaylen-waddle,190.31619999999998,13,7
michael-pittman,186.21699999999996,14,23
christian-kirk,185.26679999999993,15,11
jerry-jeudy,183.914,16,21
garrett-wilson,180.09660000000002,17,19
dk-metcalf,176.5196,18,18
brandon-aiyuk,174.56219999999993,19,15
mike-williams-wr,173.79399999999998,20,31
drake-london,168.77519999999998,21,36
terry-mclaurin,167.76659999999995,22,14
christian-watson,166.85779999999994,23,35
diontae-johnson,166.29979999999995,24,39
tyler-lockett,163.17139999999998,25,13
amari-cooper,156.76119999999997,26,9
davante-adams,153.68100000000004,27,2
keenan-allen,151.95300000000003,28,42
george-pickens,150.19119999999998,29,37
marquise-brown,149.293,30,46
chris-olave,148.0546,31,25
jahan-dotson,143.78440000000003,32,50
gabriel-davis,139.76780000000002,33,27
mike-evans,134.18839999999994,34,16
courtland-sutton,133.49219999999997,35,43
dj-moore-wr,131.7778000000001,36,22
deandre-hopkins,130.39739999999998,37,47
treylon-burks,129.36420000000004,38,70
brandin-cooks,129.17619999999994,39,49
zay-jones,122.44579999999999,40,26
jakobi-meyers,121.72079999999997,41,28
donovan-peoples-jones,120.54319999999998,42,40
josh-palmer,119.30139999999999,43,41
adam-thielen,117.92559999999999,44,32
chase-claypool,117.92180000000003,45,64
darnell-mooney,117.09080000000002,46,67
marquez-valdesscantling,115.88760000000005,47,53
allen-lazard,114.72219999999997,48,33
tyler-boyd,113.61659999999998,49,30
alec-pierce,110.97660000000003,50,56
mack-hollins,110.58940000000003,51,44
elijah-moore,109.62379999999999,52,73
robert-woods,106.76580000000001,53,58
olamide-zaccheaus,106.64080000000001,54,57
kendrick-bourne,104.98980000000003,55,71
juju-smith-schuster,100.49879999999999,56,29
kj-osborn,100.42599999999996,57,45
romeo-doubs,97.92780000000002,58,68
corey-davis,96.89480000000003,59,66
terrace-marshall,95.83700000000002,60,74
darius-slayton,95.80340000000002,61,51
devante-parker,95.30499999999998,62,59
quez-watkins,93.70340000000004,63,77
isaiah-hodgins,93.06260000000003,64,65
marvin-jones,92.83900000000003,65,55
dj-chark,92.66999999999999,66,63
nick-westbrook,90.73640000000002,67,72
josh-reynolds,90.64580000000004,68,62
parris-campbell,90.63780000000001,69,48
richie-james,90.61120000000004,70,52
greg-dortch,89.09500000000006,71,60
allen-robinson,87.4164,72,76
nico-collins,86.69919999999999,73,69
michael-gallup,86.09080000000003,74,61
tyquan-thornton,86.02040000000008,75,82
curtis-samuel,84.45540000000003,76,34
hunter-renfrow,82.11640000000003,77,80
randall-cobb,81.94800000000001,78,79
nelson-agholor,81.74720000000002,79,81
russell-gage,80.29640000000003,80,54
trent-sherfield,74.60520000000004,81,75
rondale-moore,70.18880000000003,82,78
