name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
jamarr-chase,17.532399999999996,14.518728637695313,13.983133588995056,14.303932092808909,15.909291464645804,1,12
amonra-stbrown,17.678199999999983,13.960267639160156,13.039862156381933,14.278699927477774,15.428478645144557,2,8
justin-jefferson,15.792200000000005,13.746701049804688,14.058288975205404,14.052964399474376,15.389043357287152,3,1
cooper-kupp,17.769400000000008,13.688932800292967,13.42699730892692,13.840500243483548,15.329530304018416,4,24
ceedee-lamb,16.282599999999995,13.990306091308591,13.64272715600797,14.13342739050475,15.321616069802342,5,6
stefon-diggs,15.953399999999998,13.544416809082032,13.617756902010624,13.399484475397458,14.901902538351605,6,4
aj-brown,15.405399999999997,14.076638793945312,13.650639486481134,12.874446526038298,14.863092310901871,7,5
tyreek-hill,16.523200000000006,12.975787353515624,13.547277887096737,13.424387518314632,14.862701536043083,8,3
davante-adams,12.380400000000002,13.893185424804688,13.862542400076451,13.66986740340056,14.430371381776414,9,2
jaylen-waddle,13.096,13.557138061523435,13.299470876401434,12.252507505994842,13.666144303995504,10,7
chris-godwin,17.21319999999998,11.380287170410156,11.247824638013498,11.291199336008418,13.26136826838058,11,20
devonta-smith,12.603199999999998,12.90697021484375,12.561628145761144,12.858291686333246,13.24830858587556,12,10
tee-higgins,12.563199999999998,12.492301940917969,12.325720306196311,12.337847833916925,12.90086646300421,13,17
garrett-wilson,12.231999999999996,12.309342956542968,12.228339323475156,12.238146080575447,12.6333262662544,14,19
dk-metcalf,11.629,12.132896423339844,11.747374349212718,12.955880805928956,12.57339078158517,15,18
chris-olave,11.2146,12.19173812866211,12.077917746935867,13.029139788821055,12.475658347642964,16,25
jerry-jeudy,12.4564,11.842786407470705,12.15830437058925,11.299130654871917,12.44775865219379,17,21
amari-cooper,11.8828,11.931521606445312,11.957698444477806,11.524375179288398,12.412548141821102,18,9
dj-moore-wr,11.8266,11.717721557617187,11.378042521605485,12.31694888688807,12.407134885357817,19,22
christian-kirk,11.6642,11.715962219238282,11.732309345962946,11.745126657461457,12.308483604653915,20,11
tyler-lockett,11.738799999999996,11.497457885742188,11.54717002773989,11.92924739748338,12.17674978852716,21,13
brandon-aiyuk,11.3852,11.780989074707032,11.32077529820475,11.61329699725222,12.16262404794816,22,15
michael-pittman,12.409800000000002,11.387124633789062,10.929467356561602,12.082997643142988,12.149326191824583,23,23
drake-london,11.4038,11.536156463623048,10.93873388896422,12.327612261331597,11.987572430887733,24,36
keenan-allen,11.420799999999998,11.268818664550782,12.099587236631573,11.459094024564225,11.9108389110693,25,42
deandre-hopkins,10.646599999999998,11.357027435302737,11.648913744011612,11.834662977787133,11.819919964102684,26,47
terry-mclaurin,11.140000000000004,11.519112396240237,11.44792613191228,11.017808141473424,11.741008781364496,27,14
deebo-samuel,17.38659999999998,8.90252227783203,10.307199242502756,10.292700595216246,11.637640328907075,28,38
mike-evans,10.267600000000003,10.638164520263672,11.045870766429813,10.705698601641444,11.339093935797605,29,16
mike-williams-wr,11.624999999999996,10.508657836914065,11.137567196082149,9.75899156402565,11.107284234549574,30,31
christian-watson,11.5836,10.878359985351562,10.358535109268868,10.02883163394486,10.931020471488464,31,35
marquise-brown,9.781000000000002,10.4470947265625,10.81714065490227,10.910496709325372,10.854394302396592,32,46
gabriel-davis,10.0378,10.110565185546877,10.591362104619336,10.323744393924642,10.751561266261511,33,27
jahan-dotson,9.6324,10.354779052734376,10.495728654283742,10.060997410450582,10.412000958209708,34,50
diontae-johnson,10.6524,9.411317443847656,10.257835907770591,10.606493816648836,10.404658105250316,35,39
jakobi-meyers,9.729599999999998,9.192694091796875,9.399820038959508,9.530560433406109,10.139247953143888,36,28
treylon-burks,8.877199999999998,10.489241790771484,10.022117479438098,10.33269539015103,10.056201543783398,37,70
zay-jones,9.026600000000004,8.967279052734375,9.140653195457434,9.431076194514588,9.856583406886704,38,26
brandin-cooks,9.504,9.372456359863282,9.57781081795313,9.335958540319638,9.812690099118695,39,49
juju-smith-schuster,9.0334,9.412012481689452,9.846821858581617,8.634325712616615,9.809487832271891,40,29
courtland-sutton,9.561000000000002,8.9566162109375,9.61361613531218,9.981089973710825,9.792666261153684,41,43
george-pickens,9.430200000000006,9.164129638671875,9.835901391568418,9.899461211556911,9.743249515494602,42,37
allen-lazard,9.568,8.923716735839843,9.290309865329364,8.743943769254841,9.728042725887812,43,33
tyler-boyd,8.852200000000002,8.538457489013672,8.840804218436068,7.95332934309603,9.028246112915877,44,30
donovan-peoples-jones,8.586000000000002,7.856407165527344,8.079357980886352,8.82515386057149,8.890100481417507,45,40
darnell-mooney,8.782,8.133006286621093,8.924073057054084,8.181809111520792,8.857527997277733,46,67
adam-thielen,8.7636,7.989140319824219,8.267089989681953,8.723210598350917,8.728313660478921,47,32
josh-palmer,9.0722,6.900443267822266,7.224808028255673,8.045975402902457,8.690833179113753,48,41
rondale-moore,7.076600000000002,8.511449432373047,9.198380320741492,8.184168639267568,8.687103344849199,49,78
kj-osborn,7.2936,8.568742370605468,8.766064632593096,8.442060225406195,8.607114389084288,50,45
romeo-doubs,7.598200000000001,8.337889862060546,8.405632669759605,8.603425874866574,8.544561963995935,51,68
elijah-moore,8.695400000000001,7.899345397949219,8.732248226063765,8.92511502084524,8.467979380807689,52,73
nico-collins,7.834799999999999,7.926626586914063,8.451600600171242,8.07120324163256,8.461669345420308,53,69
parris-campbell,7.612800000000003,7.825156402587891,7.480961072801806,8.190735336260403,8.454792234036038,54,48
isaiah-hodgins,7.648800000000001,7.614686584472656,7.32428356793776,8.14332393802161,8.453676894446824,55,65
alec-pierce,7.384399999999998,7.280722045898438,6.944778662073992,8.572930325971853,7.950896595042751,56,56
curtis-samuel,6.6534,6.796254730224609,7.372672782232061,7.2558283429624595,7.85991077247003,57,34
michael-gallup,6.410799999999999,7.179537963867188,7.157512443189937,7.721423578049496,7.48999460055245,60,61
darius-slayton,7.422600000000003,6.26574935913086,6.131477108003078,5.929824167840721,7.475009761234838,61,51
chase-claypool,8.4544,5.696440124511719,6.1098673833144685,6.937582045205858,7.449583920488369,62,64
dj-chark,6.777200000000003,6.783638763427734,7.082265253669549,6.488491897992418,7.386236478383795,64,63
richie-james,7.846000000000001,5.801090240478516,5.914737058055615,6.732345666251561,7.310627580481148,65,52
greg-dortch,7.722400000000002,5.917057800292969,6.118245444782185,6.266220322683665,7.205385834952939,68,60
mack-hollins,8.326400000000001,4.994916534423828,5.188263953305613,5.841440339486184,7.075567140909452,69,44
marquez-valdesscantling,7.681800000000001,5.860880661010742,6.576616383434375,6.80378386324044,7.065551012754762,70,53
