name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
amonra-stbrown,281.4042,214.9206787109375,181.63094846004557,212.5084333277552,234.9454390014153,1,8
ceedee-lamb,263.7016,206.045751953125,183.7238071048452,218.02841840658732,232.691537147816,2,6
jamarr-chase,242.67379999999997,209.2703369140625,187.4232578521979,214.19326236285147,227.87806501158155,3,12
justin-jefferson,234.14459999999997,191.62803955078124,188.93161815120712,212.4980696765348,223.30441044262963,4,1
stefon-diggs,240.8136,187.845703125,183.9966323022804,203.10381772306235,215.5191809149825,5,4
aj-brown,215.314,195.5361572265625,182.7508292498545,196.3328038882924,211.20465036497103,6,5
tyreek-hill,231.2556,177.8320556640625,186.7704420144243,201.36009629218225,210.5750468634392,7,3
cooper-kupp,245.1374,186.3654052734375,187.12096311369956,180.40067288199603,208.41457594808497,8,24
devonta-smith,192.16200000000003,190.795068359375,177.3188641373318,203.91271630139863,199.43014284846504,9,10
chris-godwin,277.25660000000005,161.05626220703124,161.39358103024517,168.72093419658373,197.65625368176555,10,20
davante-adams,153.68100000000004,189.82777099609376,182.1859772647728,201.9865978377001,197.4962897423545,11,2
jaylen-waddle,190.3162,193.700927734375,179.40189960177705,182.21067518559803,195.85165002773908,12,7
tee-higgins,191.8704,182.39935302734372,175.60599613287053,193.87530768155185,192.26771255907147,13,17
dk-metcalf,176.5196,181.642529296875,172.7540457483891,212.0778731405681,192.11608518817047,14,18
garrett-wilson,180.09660000000002,182.86953125,179.83056137338986,197.0173574327436,190.1331738544549,15,19
drake-london,168.77519999999998,178.65567626953126,161.9780793760356,203.54531763818105,185.3366669037661,16,36
chris-olave,148.0546,180.180810546875,175.58634977216178,208.3952396244271,183.8436829602329,17,25
michael-pittman,186.217,169.97364501953126,159.18417853268545,189.5694661068916,183.2811546655335,18,23
christian-kirk,185.26679999999996,166.9325927734375,162.63938408267109,178.7492487384624,182.81241945738125,19,11
brandon-aiyuk,174.56219999999993,171.9384765625,156.39027768933528,178.93090162140018,181.315499171174,20,15
jerry-jeudy,183.914,167.0675048828125,165.5592071886382,160.6477349962419,177.9215145505813,21,21
dj-moore-wr,131.7778000000001,177.26998291015624,163.84678395467446,196.86549147699705,177.89570455685865,22,22
amari-cooper,156.76119999999997,167.92974853515625,169.27874906719717,182.7121207056773,176.48638515333084,23,9
terry-mclaurin,167.76659999999995,164.36029052734375,165.579743090342,172.58281555616682,173.25412529853125,24,14
tyler-lockett,163.17139999999998,160.2313720703125,157.20741897014835,179.02137449919772,172.70263538993785,25,13
deebo-samuel,283.9658,125.5162353515625,172.43165987868446,108.4012818335174,164.0958696254172,26,38
diontae-johnson,166.29979999999995,138.84500732421876,156.5461142635129,169.13234943674448,159.62719461236503,27,39
keenan-allen,151.95300000000003,150.0526611328125,171.2635527280986,152.74377317350925,159.48872438983437,28,42
deandre-hopkins,130.39739999999998,153.0078369140625,166.7670518311391,166.25796552208263,158.17659244971432,29,47
