name,proj fpts,rank,last rank
ceedee-lamb,15.30547040343204,1,6
amonra-stbrown,15.27840622538777,2,8
justin-jefferson,14.549398262302432,3,1
aj-brown,14.071213218369465,4,5
jamarr-chase,14.048949984160188,5,12
stefon-diggs,13.816735981284594,6,4
devonta-smith,13.5463127896614,7,10
davante-adams,13.390849585608933,8,2
tyreek-hill,13.379322339469311,9,3
michael-pittman,13.211538263876108,10,23
dk-metcalf,13.153083903606401,11,18
chris-olave,13.060183654839605,12,25
jaylen-waddle,13.02699586054787,13,7
tee-higgins,12.97280369564676,14,17
drake-london,12.946768270768715,15,36
garrett-wilson,12.906010287219672,16,19
brandon-aiyuk,12.588285003030435,17,15
dj-moore-wr,12.364613521873096,18,22
terry-mclaurin,12.317354415334037,19,14
christian-kirk,12.29959100513959,20,11
chris-godwin,11.875680549248685,21,20
cooper-kupp,11.868968735350066,22,24
tyler-lockett,11.826879898040332,23,13
jerry-jeudy,11.721764078098161,24,21
amari-cooper,11.662785443003898,25,9
deandre-hopkins,11.602169332652196,26,47
mike-evans,11.428830835754141,27,16
marquise-brown,11.265151618495295,28,46
diontae-johnson,10.904590520773539,29,39
mike-williams-wr,10.661731094662358,30,31
christian-watson,10.596523066947228,31,35
keenan-allen,10.591530750287419,32,42
treylon-burks,10.500554778242034,33,70
zay-jones,10.275502373988346,34,26
deebo-samuel,10.155770520453828,35,38
courtland-sutton,10.070837705667444,36,43
george-pickens,10.048823940408013,37,37
jahan-dotson,10.003969181585333,38,50
juju-smith-schuster,9.784991928063462,39,29
jakobi-meyers,9.57947295475067,40,28
gabriel-davis,9.525507506130864,41,27
brandin-cooks,9.41129347012891,42,49
romeo-doubs,9.244181045387293,43,68
allen-lazard,9.173830483089162,44,33
adam-thielen,9.139668770583128,45,32
donovan-peoples-jones,9.029481840705628,46,40
parris-campbell,8.84086177340403,47,48
elijah-moore,8.790176948926003,48,73
kj-osborn,8.727897426211214,49,45
tyler-boyd,8.633837151217179,50,30
alec-pierce,8.37552808215203,51,56
rondale-moore,8.245580906818716,52,78
michael-gallup,8.228636792530622,53,61
isaiah-hodgins,8.211087964435436,54,65
josh-palmer,8.194268732343588,55,41
nico-collins,7.822061179839537,56,69
darnell-mooney,7.765742189000619,57,67
curtis-samuel,7.678254612153822,58,34
chase-claypool,7.198447054968099,59,64
richie-james,7.169111993871823,60,52
hunter-renfrow,6.993925760829555,61,80
greg-dortch,6.9515648029129835,62,60
darius-slayton,6.809909631600206,63,51
robert-woods,6.776253610122652,64,58
marquez-valdesscantling,6.677479046296028,65,53
russell-gage,6.637409749046995,66,54
dj-chark,6.614215049825091,67,63
mack-hollins,6.467987876841974,68,44
kendrick-bourne,6.425794633774061,69,71
olamide-zaccheaus,6.0955401032932315,70,57
josh-reynolds,6.073611099428561,71,62
allen-robinson,6.042989402359652,72,76
tyquan-thornton,5.590920076712976,73,82
marvin-jones,5.305410430042642,74,55
terrace-marshall,5.07417246992425,75,74
corey-davis,5.0503663523422375,76,66
nick-westbrook,4.8864229440667515,77,72
devante-parker,4.725042254624626,78,59
nelson-agholor,4.474495593119471,79,81
quez-watkins,4.410595963513586,80,77
trent-sherfield,4.187080676704525,81,75
randall-cobb,2.9770160874991944,82,79
