name,proj fpts,rank,last rank
ceedee-lamb,218.02841840658735,1,6
jamarr-chase,214.19326236285147,2,12
amonra-stbrown,212.50843332775517,3,8
justin-jefferson,212.4980696765348,4,1
dk-metcalf,212.0778731405681,5,18
chris-olave,208.3952396244271,6,25
devonta-smith,203.91271630139866,7,10
drake-london,203.54531763818105,8,36
stefon-diggs,203.10381772306235,9,4
davante-adams,201.9865978377001,10,2
tyreek-hill,201.36009629218225,11,3
garrett-wilson,197.01735743274358,12,19
dj-moore-wr,196.86549147699705,13,22
aj-brown,196.33280388829237,14,5
tee-higgins,193.87530768155185,15,17
michael-pittman,189.5694661068916,16,23
amari-cooper,182.71212070567734,17,9
jaylen-waddle,182.21067518559803,18,7
cooper-kupp,180.40067288199603,19,24
tyler-lockett,179.02137449919772,20,13
brandon-aiyuk,178.93090162140018,21,15
christian-kirk,178.7492487384624,22,11
terry-mclaurin,172.58281555616682,23,14
diontae-johnson,169.13234943674448,24,39
chris-godwin,168.72093419658373,25,20
deandre-hopkins,166.25796552208263,26,47
mike-evans,161.1948941458883,27,16
jerry-jeudy,160.6477349962419,28,21
marquise-brown,159.84154070099956,29,46
george-pickens,155.66537964783916,30,37
courtland-sutton,153.5239473459557,31,43
gabriel-davis,153.3575258632965,32,27
keenan-allen,152.74377317350925,33,42
mike-williams-wr,142.39943502457916,34,31
jahan-dotson,142.01173482251275,35,50
christian-watson,140.1928262239849,36,35
treylon-burks,139.80726888299696,37,70
brandin-cooks,135.97229560696067,38,49
zay-jones,135.31890081101292,39,26
jakobi-meyers,133.24908269778646,40,28
donovan-peoples-jones,132.3150193396971,41,40
elijah-moore,132.24524841594794,42,73
adam-thielen,131.78233740218892,43,32
allen-lazard,126.24376150816923,44,33
alec-pierce,125.75073528997476,45,56
juju-smith-schuster,122.80550629074938,46,29
kj-osborn,119.83875793271719,47,45
tyler-boyd,116.6810710942689,48,30
romeo-doubs,114.95714952507277,49,68
michael-gallup,108.93858927785541,50,61
deebo-samuel,108.4012818335174,51,38
parris-campbell,106.9566434734252,52,48
josh-palmer,106.51842002162928,53,41
darnell-mooney,106.35599620903056,54,67
nico-collins,103.16984300525112,55,69
isaiah-hodgins,97.45041802668894,56,65
marquez-valdesscantling,94.00366320376114,57,53
rondale-moore,90.83681035971497,58,78
robert-woods,89.57139742462496,59,58
chase-claypool,89.42154850000023,60,64
richie-james,87.5905646303909,61,52
curtis-samuel,83.5212746290704,62,34
dj-chark,77.28310274874744,63,63
hunter-renfrow,73.01277067005722,64,80
mack-hollins,69.7110242904611,65,44
marvin-jones,69.02996127764973,66,55
darius-slayton,67.3724711831866,67,51
greg-dortch,64.70616500692066,68,60
russell-gage,64.16450150705137,69,54
kendrick-bourne,63.59442726540808,70,71
josh-reynolds,62.72795033949969,71,62
allen-robinson,60.86765491125961,72,76
olamide-zaccheaus,60.33214092176981,73,57
tyquan-thornton,59.884037453719905,74,82
nick-westbrook,57.27829317450678,75,72
corey-davis,56.074848719278656,76,66
quez-watkins,49.57940752473192,77,77
trent-sherfield,49.50187267443633,78,75
terrace-marshall,43.33570754773396,79,74
devante-parker,41.51650703934925,80,59
nelson-agholor,39.571376231408436,81,81
randall-cobb,4.4255826619722995,82,79
