name,proj fpts,rank,last rank
ceedee-lamb,14.899642944335938,1,6
amonra-stbrown,14.502627563476562,2,8
aj-brown,14.341224670410156,3,5
jamarr-chase,14.154434204101562,4,12
stefon-diggs,14.097750854492187,5,4
davante-adams,13.899082946777344,6,2
jaylen-waddle,13.788298034667969,7,7
justin-jefferson,13.66962890625,8,1
devonta-smith,13.227864074707032,9,10
tyreek-hill,12.807638549804688,10,3
tee-higgins,12.701222229003907,11,17
garrett-wilson,12.665875244140626,12,19
chris-olave,12.507439422607423,13,25
brandon-aiyuk,12.353916931152344,14,15
jerry-jeudy,12.239348602294921,15,21
michael-pittman,12.145709228515624,16,23
christian-kirk,12.077633666992188,17,11
dk-metcalf,11.954148864746093,18,18
terry-mclaurin,11.949610900878906,19,14
drake-london,11.945056915283203,20,36
amari-cooper,11.917282867431641,21,9
cooper-kupp,11.86856460571289,22,24
tyler-lockett,11.710131072998047,23,13
keenan-allen,11.553419494628907,24,42
dj-moore-wr,11.481163787841798,25,22
deandre-hopkins,11.463040161132813,26,47
mike-williams-wr,11.234784698486328,27,31
mike-evans,11.137539672851563,28,16
chris-godwin,11.014802551269531,29,20
marquise-brown,10.985748291015625,30,46
christian-watson,10.938504028320313,31,35
jahan-dotson,10.809461212158203,32,50
treylon-burks,10.486257934570313,33,70
juju-smith-schuster,9.561302185058594,34,29
zay-jones,9.509752655029297,35,26
jakobi-meyers,9.440043640136718,36,28
deebo-samuel,9.437948608398438,37,38
diontae-johnson,9.258992004394532,38,39
courtland-sutton,9.14823226928711,39,43
allen-lazard,9.128892517089843,40,33
brandin-cooks,9.117212677001953,41,49
rondale-moore,9.104478454589843,42,78
gabriel-davis,9.027839660644531,43,27
romeo-doubs,8.826879119873047,44,68
george-pickens,8.693541717529296,45,37
kj-osborn,8.442082977294922,46,45
elijah-moore,8.171366882324218,47,73
adam-thielen,8.058647155761719,48,32
tyler-boyd,8.048951721191406,49,30
donovan-peoples-jones,7.938311767578125,50,40
darnell-mooney,7.8722892761230465,51,67
nico-collins,7.646290588378906,52,69
isaiah-hodgins,7.609768676757812,53,65
parris-campbell,7.586856842041016,54,48
michael-gallup,7.251664733886718,55,61
josh-palmer,6.702283477783203,56,41
hunter-renfrow,6.598826599121094,57,80
dj-chark,6.5944358825683596,58,63
alec-pierce,6.563131713867188,59,56
curtis-samuel,6.353915405273438,60,34
greg-dortch,6.266572189331055,61,60
darius-slayton,6.111456680297851,62,51
richie-james,5.955058670043945,63,52
russell-gage,5.837615585327148,64,54
chase-claypool,5.7102500915527346,65,64
marquez-valdesscantling,5.678376770019531,66,53
josh-reynolds,5.522624969482422,67,62
kendrick-bourne,5.31011848449707,68,71
mack-hollins,5.166786193847656,69,44
robert-woods,5.092247390747071,70,58
olamide-zaccheaus,4.944791030883789,71,57
allen-robinson,4.921834564208984,72,76
tyquan-thornton,4.576421737670898,73,82
terrace-marshall,4.558564758300781,74,74
corey-davis,4.4739021301269535,75,66
devante-parker,4.458583831787109,76,59
marvin-jones,4.027536773681641,77,55
nelson-agholor,3.9557220458984377,78,81
nick-westbrook,3.872709274291992,79,72
trent-sherfield,3.037847137451172,80,75
quez-watkins,2.9685291290283202,81,77
randall-cobb,2.6922706604003905,82,79
