name,proj fpts,rank,last rank
amonra-stbrown,214.9206787109375,1,8
jamarr-chase,209.2703369140625,2,12
ceedee-lamb,206.045751953125,3,6
aj-brown,195.5361572265625,4,5
jaylen-waddle,193.700927734375,5,7
justin-jefferson,191.62803955078124,6,1
devonta-smith,190.795068359375,7,10
davante-adams,189.82777099609376,8,2
stefon-diggs,187.845703125,9,4
cooper-kupp,186.3654052734375,10,24
garrett-wilson,182.86953125,11,19
tee-higgins,182.39935302734375,12,17
dk-metcalf,181.642529296875,13,18
chris-olave,180.180810546875,14,25
drake-london,178.65567626953126,15,36
tyreek-hill,177.8320556640625,16,3
dj-moore-wr,177.26998291015624,17,22
brandon-aiyuk,171.9384765625,18,15
michael-pittman,169.97364501953126,19,23
amari-cooper,167.92974853515625,20,9
jerry-jeudy,167.0675048828125,21,21
christian-kirk,166.9325927734375,22,11
terry-mclaurin,164.36029052734375,23,14
christian-watson,163.37705078125,24,35
treylon-burks,162.7455810546875,25,70
chris-godwin,161.05626220703124,26,20
tyler-lockett,160.2313720703125,27,13
deandre-hopkins,153.0078369140625,28,47
keenan-allen,150.0526611328125,29,42
jahan-dotson,145.8226318359375,30,50
marquise-brown,145.2926513671875,31,46
mike-williams-wr,142.5542724609375,32,31
mike-evans,142.3499755859375,33,16
gabriel-davis,140.260498046875,34,27
diontae-johnson,138.84500732421876,35,39
george-pickens,136.2246826171875,36,37
brandin-cooks,127.7108642578125,37,49
courtland-sutton,127.52630615234375,38,43
juju-smith-schuster,126.46851806640625,39,29
deebo-samuel,125.5162353515625,40,38
elijah-moore,122.18658447265625,41,73
jakobi-meyers,121.9760009765625,42,28
zay-jones,121.87481689453125,43,26
kj-osborn,120.52559814453124,44,45
romeo-doubs,120.497021484375,45,68
allen-lazard,118.38541259765626,46,33
tyler-boyd,115.99798583984375,47,30
parris-campbell,111.5424560546875,48,48
adam-thielen,109.42774658203125,49,32
donovan-peoples-jones,109.08994140625,50,40
darnell-mooney,107.0723876953125,51,67
alec-pierce,105.23079833984374,52,56
rondale-moore,104.4025634765625,53,78
nico-collins,102.51793212890625,54,69
michael-gallup,99.72169189453125,55,61
isaiah-hodgins,95.697900390625,56,65
curtis-samuel,93.49429931640626,57,34
josh-palmer,86.89462890625,58,41
dj-chark,83.19693603515626,59,63
hunter-renfrow,79.58970336914062,60,80
chase-claypool,78.40606079101562,61,64
greg-dortch,76.33788452148437,62,60
marquez-valdesscantling,73.7276611328125,63,53
richie-james,73.50094604492188,64,52
kendrick-bourne,70.78583984375,65,71
robert-woods,69.61439208984375,66,58
darius-slayton,65.86305541992188,67,51
trent-sherfield,57.7267578125,68,75
allen-robinson,57.6874267578125,69,76
olamide-zaccheaus,57.25562744140625,70,57
russell-gage,57.15308837890625,71,54
tyquan-thornton,55.94464111328125,72,82
josh-reynolds,54.27572021484375,73,62
nick-westbrook,53.82896728515625,74,72
mack-hollins,52.899468994140626,75,44
corey-davis,52.5606689453125,76,66
terrace-marshall,48.96037292480469,77,74
marvin-jones,45.34027099609375,78,55
devante-parker,43.061013793945314,79,59
nelson-agholor,41.84864501953125,80,81
quez-watkins,41.111880493164065,81,77
randall-cobb,12.742831420898437,82,79
