name,proj fpts,rank,last rank
justin-jefferson,17.727874173709647,1,1
davante-adams,17.37670694374433,2,3
aj-brown,17.26458893327276,3,6
jamarr-chase,17.004433119088485,4,11
ceedee-lamb,16.972930917675086,5,5
stefon-diggs,16.883097864067818,6,4
amonra-stbrown,16.17678040559298,7,7
tyreek-hill,16.13265420474347,8,2
jaylen-waddle,15.76776830872719,9,8
cooper-kupp,15.292659706387436,10,23
tee-higgins,14.549617233027211,11,18
devonta-smith,14.510225870532029,12,9
christian-kirk,14.200324205224785,13,12
jerry-jeudy,14.196992305336869,14,22
mike-evans,14.091023440978626,15,17
brandon-aiyuk,14.028825697746175,16,15
garrett-wilson,13.923862631428602,17,21
amari-cooper,13.888496014995383,18,10
dj-moore-wr,13.831630619706456,19,24
chris-olave,13.690216316856617,20,25
dk-metcalf,13.609855488632466,21,16
terry-mclaurin,13.52540108757895,22,14
tyler-lockett,13.500033020218215,23,13
keenan-allen,13.262309618917197,24,42
michael-pittman,13.165522483254591,25,20
deandre-hopkins,13.144223565624625,26,47
chris-godwin,12.90581349951184,27,19
mike-williams-wr,12.887466672616316,28,32
drake-london,12.829039701232123,29,31
zay-jones,12.536751701603254,30,26
marquise-brown,12.304244025092972,31,44
jakobi-meyers,12.094017973129269,32,29
jahan-dotson,12.062842753845636,33,51
juju-smith-schuster,12.042537362725815,34,27
gabriel-davis,11.96920785659597,35,36
allen-lazard,11.840449588193566,36,35
christian-watson,11.834973365008327,37,41
brandin-cooks,10.967977813936258,38,49
courtland-sutton,10.910486688915956,39,43
tyler-boyd,10.868018352901338,40,34
diontae-johnson,10.72820991246712,41,28
treylon-burks,10.723420542366233,42,77
josh-palmer,10.68631634088404,43,37
parris-campbell,10.619776774183103,44,48
kj-osborn,10.55269595658542,45,45
isaiah-hodgins,10.53438864282809,46,71
rondale-moore,10.476237200621078,47,78
donovan-peoples-jones,10.464646077323055,48,39
curtis-samuel,10.21077866570456,49,33
darius-slayton,10.203723194951312,50,52
george-pickens,10.143975129677834,51,40
deebo-samuel,9.938149963401942,52,38
romeo-doubs,9.895856270632185,53,69
darnell-mooney,9.854755330323663,54,70
nico-collins,9.765709044656694,55,74
mack-hollins,9.651330137899087,56,46
adam-thielen,9.632847665585846,57,30
dj-chark,9.395770561889812,58,72
greg-dortch,9.21069161289472,59,61
richie-james,9.173402457673303,60,50
russell-gage,9.153072455956824,61,53
michael-gallup,8.871334064681633,62,64
chase-claypool,8.721446269877415,63,65
josh-reynolds,8.643176761878781,64,66
olamide-zaccheaus,8.619042791104583,65,63
alec-pierce,8.488886929084156,66,62
allen-robinson,8.486234544263187,67,79
elijah-moore,8.364728391800176,68,76
robert-woods,8.313166511441969,69,59
devante-parker,8.275433451146414,70,68
hunter-renfrow,8.08203489038353,71,87
terrace-marshall,7.861161153629827,72,83
noah-brown,7.7744135291706415,73,60
marquez-valdesscantling,7.741480416981963,74,54
kendrick-bourne,7.712583534656938,75,75
corey-davis,7.67761801886315,76,73
demarcus-robinson,7.62948968024857,77,67
devin-duvernay,7.5225357551497805,78,58
isaiah-mckenzie,7.425837778741629,79,55
nelson-agholor,7.105385378361335,80,88
randall-cobb,7.047784526808774,81,86
jauan-jennings,7.046469413850235,82,85
marvin-jones,6.973641194065752,83,56
nick-westbrook,6.707017037695232,84,84
quez-watkins,6.558114103835848,85,80
tyquan-thornton,6.4845374327853635,86,89
kalif-raymond,6.37580853120363,87,57
trent-sherfield,5.740731658369215,88,82
ben-skowronek,5.583130280459536,89,81
