name,proj fpts,rank,last rank
justin-jefferson,254.94693254320254,1,1
jamarr-chase,245.37486076941224,2,11
davante-adams,244.489790135624,3,3
ceedee-lamb,242.99037823155157,4,5
aj-brown,237.63564034502923,5,6
tyreek-hill,231.85243549751195,6,2
amonra-stbrown,230.94844396696854,7,7
stefon-diggs,230.3136028118678,8,4
cooper-kupp,221.75482563690645,9,23
jaylen-waddle,217.1787971909833,10,8
devonta-smith,210.85078673308644,11,9
dj-moore-wr,205.66954384028116,12,24
tee-higgins,200.9257895273902,13,18
garrett-wilson,200.549206735076,14,21
christian-kirk,200.3010363176252,15,12
jerry-jeudy,200.05681832327076,16,22
brandon-aiyuk,199.83041850079582,17,15
chris-olave,198.74408166962954,18,25
amari-cooper,198.54247137248984,19,10
dk-metcalf,198.22433831523875,20,16
drake-london,190.3704737073521,21,31
mike-evans,188.46630020236717,22,17
tyler-lockett,188.38639499024112,23,13
terry-mclaurin,188.30679511061447,24,14
michael-pittman,187.36450753571117,25,20
chris-godwin,183.5912183234472,26,19
keenan-allen,183.20546325301564,27,42
deandre-hopkins,183.0431673627122,28,47
marquise-brown,177.44790470403754,29,44
gabriel-davis,175.8613486229227,30,36
jakobi-meyers,172.308861601099,31,29
mike-williams-wr,171.99097107237074,32,32
zay-jones,171.4300717457087,33,26
juju-smith-schuster,165.5561386794536,34,27
allen-lazard,164.5765906455968,35,35
diontae-johnson,164.23162168849694,36,28
jahan-dotson,163.2607214325134,37,51
christian-watson,161.9171470970494,38,41
treylon-burks,156.47647161560565,39,77
josh-palmer,155.88983873311355,40,37
courtland-sutton,154.5394828028179,41,43
brandin-cooks,154.1700049155729,42,49
curtis-samuel,153.3714235079969,43,33
george-pickens,152.16529112353996,44,40
rondale-moore,151.75287907356073,45,78
donovan-peoples-jones,149.43278019907106,46,39
darnell-mooney,149.18491221200935,47,70
parris-campbell,147.64786118482385,48,48
isaiah-hodgins,147.12033738327014,49,71
tyler-boyd,145.29417620064353,50,34
nico-collins,142.71482942715477,51,74
kj-osborn,142.48218556342317,52,45
darius-slayton,142.1903756102438,53,52
romeo-doubs,141.6892542310551,54,69
deebo-samuel,138.500161316589,55,38
chase-claypool,132.6915730081691,56,65
dj-chark,129.8378500030504,57,72
adam-thielen,129.77419574016122,58,30
mack-hollins,126.90427618225571,59,46
richie-james,126.29583429496893,60,50
alec-pierce,126.24811070493453,61,62
greg-dortch,125.86684058691097,62,61
elijah-moore,123.65524784630023,63,76
michael-gallup,122.6716329660896,64,64
russell-gage,119.88946524626863,65,53
olamide-zaccheaus,119.0811711237399,66,63
terrace-marshall,117.43104008231933,67,83
josh-reynolds,116.25260642823503,68,66
robert-woods,113.68038169123136,69,59
marquez-valdesscantling,111.83537803056319,70,54
devin-duvernay,110.0134982473136,71,58
hunter-renfrow,108.89498987399448,72,87
allen-robinson,108.66386770989993,73,79
kendrick-bourne,106.7805120303115,74,75
corey-davis,106.00878042314712,75,73
devante-parker,105.4569430326768,76,68
isaiah-mckenzie,104.03197891226291,77,55
noah-brown,103.33624859633503,78,60
kalif-raymond,101.17070967221183,79,57
demarcus-robinson,99.4018673332507,80,67
tyquan-thornton,99.30884135713903,81,89
jauan-jennings,98.38416302350917,82,85
quez-watkins,98.16447150123535,83,80
marvin-jones,96.72508750675723,84,56
trent-sherfield,95.93010965618699,85,82
nelson-agholor,95.23070154494849,86,88
nick-westbrook,95.14810769076304,87,84
randall-cobb,88.13290271979857,88,86
ben-skowronek,80.74273857203958,89,81
