name,proj fpts,rank
jalen-hurts,24.07437078106148,1
josh-allen-qb,21.74888945305319,2
justin-fields,21.08685381177793,3
joe-burrow,21.05228872575371,4
patrick-mahomes,20.841453050910822,5
trevor-lawrence,19.93944319838272,6
daniel-jones,19.7707921803015,7
lamar-jackson,19.591632626773116,8
geno-smith,18.64165553473117,9
tua-tagovailoa,18.084197892856317,10
justin-herbert,17.89209277949122,11
dak-prescott,17.41014376601739,12
kyler-murray,17.37266332739534,13
jared-goff,16.94202809300533,14
aaron-rodgers,16.812016454106775,15
kirk-cousins,16.799655018889247,16
russell-wilson,16.14097498737022,17
jimmy-garoppolo,16.082761721826113,18
marcus-mariota,15.9131662974433,19
derek-carr,15.798338230670174,20
ryan-tannehill,15.291807627666168,21
deshaun-watson,15.09104002482017,22
kenny-pickett,15.053497402001879,23
mac-jones,14.994083292123786,24
sam-darnold,14.598813487761355,25
jacoby-brissett,14.084185272186913,26
brock-purdy,13.955342331007717,27
matthew-stafford,13.765292270583398,28
mike-white,13.234879147437539,29
baker-mayfield,12.9808973122344,30
taylor-heinicke,12.758810185760979,31
desmond-ridder,12.637801263678892,32
bailey-zappe,11.752168388738735,33
jarrett-stidham,11.20813112132928,34
tyler-huntley,10.846029937814414,35
zach-wilson,10.80313880876982,36
colt-mccoy,10.26245759256911,37
gardner-minshew,7.531704667377476,38
