name,proj fpts,rank
justin-jefferson,263.2099597139917,1
jamarr-chase,262.9201831953105,2
ceedee-lamb,257.1574393497919,3
davante-adams,252.4754715435447,4
amonra-stbrown,248.77736897914667,5
aj-brown,245.37482936325122,6
stefon-diggs,242.58481391307467,7
tyreek-hill,239.28161992533276,8
cooper-kupp,232.0797410933818,9
garrett-wilson,227.15891019192475,10
jaylen-waddle,226.87140035751582,11
devonta-smith,222.43593632965676,12
tee-higgins,214.51955490686467,13
christian-kirk,210.12192169151655,14
dk-metcalf,209.0896789415311,15
brandon-aiyuk,208.94510748436545,16
jerry-jeudy,208.5939782545853,17
chris-olave,207.47679535072453,18
chris-godwin,201.29509563485095,19
terry-mclaurin,197.4215131658808,20
amari-cooper,197.30640495257768,21
dj-moore-wr,196.8494426588186,22
drake-london,193.34118323479402,23
tyler-lockett,190.72658196265985,24
michael-pittman,182.78701269534622,25
mike-evans,182.66084755971912,26
marquise-brown,181.7403996076895,27
keenan-allen,179.76339228215,28
mike-williams-wr,178.8898910636212,29
diontae-johnson,177.05830797919322,30
deandre-hopkins,173.92203419940336,31
christian-watson,173.73501280658715,32
gabriel-davis,171.82599034141958,33
zay-jones,170.31093142216258,34
deebo-samuel,166.7895762129455,35
jakobi-meyers,164.29081910644598,36
allen-lazard,160.60759127402198,37
treylon-burks,158.98809676555666,38
jahan-dotson,158.7691530049048,39
george-pickens,158.63739611074877,40
courtland-sutton,157.70423971090162,41
brandin-cooks,152.56709085473693,42
tyler-boyd,147.65136856141314,43
juju-smith-schuster,146.86177772935588,44
parris-campbell,145.85918457661995,45
donovan-peoples-jones,144.25026480897014,46
josh-palmer,144.08304912429224,47
curtis-samuel,142.92056055784042,48
adam-thielen,140.86408339262442,49
kj-osborn,140.4564933711946,50
romeo-doubs,132.0857881838308,51
darnell-mooney,129.35562715879718,52
isaiah-hodgins,128.47970493082263,53
alec-pierce,126.21883245770293,54
elijah-moore,124.73334865134213,55
chase-claypool,123.66706885104712,56
nico-collins,122.88643645856793,57
rondale-moore,119.73582783888558,58
michael-gallup,119.62740258139041,59
richie-james,118.22540926598117,60
robert-woods,116.6578652069978,61
darius-slayton,115.89895831767029,62
dj-chark,114.44759865236274,63
mack-hollins,114.25502333400223,64
marquez-valdesscantling,112.11204859489479,65
russell-gage,110.28628328375167,66
greg-dortch,108.52164268707156,67
kendrick-bourne,102.68716270522123,68
isaiah-mckenzie,100.98208728921128,69
terrace-marshall,99.44192427543723,70
hunter-renfrow,98.99945622572287,71
olamide-zaccheaus,98.69869161568504,72
allen-robinson,98.50243777340162,73
devante-parker,96.96551507775919,74
devin-duvernay,95.76037586441612,75
trent-sherfield,94.30416334422453,76
quez-watkins,93.6196238249134,77
josh-reynolds,93.45403331314122,78
marvin-jones,93.41200466332869,79
jauan-jennings,92.68195149582316,80
kalif-raymond,92.32717651590335,81
tyquan-thornton,91.41720996726933,82
demarcus-robinson,90.44687194006522,83
corey-davis,86.73359368403777,84
noah-brown,85.8030232126308,85
nelson-agholor,83.40706236995024,86
nick-westbrook,82.44703181756472,87
randall-cobb,78.14534811117211,88
ben-skowronek,72.81613969653802,89
