name,proj fpts,rank,last rank
cooper-kupp,20.232800000000008,1,23
jamarr-chase,19.703200000000006,2,11
justin-jefferson,19.034800000000004,3,1
tyreek-hill,18.9266,4,2
stefon-diggs,18.846600000000013,5,4
aj-brown,18.570800000000013,6,6
garrett-wilson,18.551600000000008,7,21
amonra-stbrown,18.177200000000006,8,7
ceedee-lamb,18.044400000000003,9,5
deebo-samuel,18.01660000000001,10,38
davante-adams,17.467200000000002,11,3
devonta-smith,17.3854,12,9
tee-higgins,17.037200000000006,13,18
chris-olave,16.531200000000013,14,25
jaylen-waddle,16.463400000000007,15,8
chris-godwin,16.342000000000013,16,19
jerry-jeudy,16.3048,17,22
christian-watson,15.100399999999997,18,41
brandon-aiyuk,14.9774,19,15
dk-metcalf,14.931599999999998,20,16
drake-london,14.651199999999998,21,31
mike-williams-wr,14.619399999999995,22,32
christian-kirk,14.537399999999996,23,12
terry-mclaurin,14.363799999999998,24,14
dj-moore-wr,14.269200000000003,25,24
deandre-hopkins,13.9492,26,47
marquise-brown,13.820200000000003,27,44
keenan-allen,13.785599999999999,28,42
amari-cooper,13.638800000000003,29,10
tyler-lockett,13.593399999999999,30,13
diontae-johnson,12.604400000000004,31,28
treylon-burks,12.381200000000003,32,77
mike-evans,12.286999999999997,33,17
brandin-cooks,12.072000000000005,34,49
gabriel-davis,12.0708,35,36
george-pickens,11.897200000000002,36,40
michael-pittman,11.841399999999997,37,20
courtland-sutton,11.639200000000002,38,43
jahan-dotson,11.635000000000002,39,51
allen-lazard,11.329200000000004,40,35
zay-jones,11.280599999999994,41,26
tyler-boyd,10.566799999999997,42,34
elijah-moore,10.4836,43,76
parris-campbell,9.9558,44,48
jakobi-meyers,9.406399999999996,45,29
adam-thielen,9.365599999999995,46,30
romeo-doubs,9.334199999999996,47,69
tyquan-thornton,9.2684,48,89
curtis-samuel,9.245600000000001,49,33
kj-osborn,9.1528,50,45
devante-parker,8.817399999999997,51,68
josh-palmer,8.791599999999999,52,37
dj-chark,8.734199999999998,53,72
isaiah-hodgins,8.490599999999997,54,71
donovan-peoples-jones,8.446599999999997,55,39
hunter-renfrow,8.392399999999993,56,87
robert-woods,8.244399999999992,57,59
juju-smith-schuster,8.168599999999998,58,27
alec-pierce,7.9602,59,62
michael-gallup,7.772199999999996,60,64
chase-claypool,7.5733999999999995,61,65
darnell-mooney,7.475,62,70
terrace-marshall,7.4744,63,83
russell-gage,7.428999999999997,64,53
richie-james,7.292999999999997,65,50
nico-collins,7.2048000000000005,66,74
greg-dortch,7.07,67,61
kendrick-bourne,7.041200000000001,68,75
marquez-valdesscantling,6.7819999999999965,69,54
quez-watkins,6.693799999999999,70,80
darius-slayton,6.647399999999999,71,52
trent-sherfield,6.497600000000003,72,82
isaiah-mckenzie,6.4122,73,55
rondale-moore,6.3716,74,78
kalif-raymond,6.090400000000001,75,57
devin-duvernay,6.074599999999999,76,58
allen-robinson,5.9046,77,79
nelson-agholor,5.811,78,88
mack-hollins,5.673800000000002,79,46
randall-cobb,5.633800000000001,80,86
jauan-jennings,5.510000000000001,81,85
ben-skowronek,5.241199999999998,82,81
demarcus-robinson,4.875399999999999,83,67
marvin-jones,4.6288,84,56
olamide-zaccheaus,4.533999999999999,85,63
josh-reynolds,4.3984000000000005,86,66
corey-davis,4.391799999999999,87,73
nick-westbrook,4.385999999999999,88,84
noah-brown,3.4338000000000006,89,60
