name,proj fpts,rank,last rank
jamarr-chase,309.7461999999999,1,11
garrett-wilson,298.19599999999997,2,21
ceedee-lamb,284.7267999999998,3,5
deebo-samuel,283.5004,4,38
justin-jefferson,282.3981999999999,5,1
amonra-stbrown,276.2747999999999,6,7
cooper-kupp,260.9253999999999,7,23
chris-godwin,260.01059999999995,8,19
stefon-diggs,259.2272,9,4
davante-adams,258.82339999999994,10,3
devonta-smith,256.77959999999996,11,9
tee-higgins,255.10179999999997,12,18
aj-brown,254.1404,13,6
tyreek-hill,251.07119999999995,14,2
jerry-jeudy,245.84419999999994,15,22
jaylen-waddle,238.87479999999996,16,8
chris-olave,235.2941999999999,17,25
dk-metcalf,228.67559999999995,18,16
christian-kirk,228.18500000000003,19,12
christian-watson,222.68319999999994,20,41
mike-williams-wr,218.69340000000003,21,32
brandon-aiyuk,218.5,22,15
marquise-brown,213.4426,23,44
drake-london,210.69859999999994,24,31
terry-mclaurin,205.894,25,14
diontae-johnson,193.899,26,28
tyler-lockett,191.249,27,13
treylon-burks,185.25200000000004,28,77
keenan-allen,185.08360000000002,29,42
amari-cooper,182.06279999999995,30,10
deandre-hopkins,175.5696000000001,31,47
george-pickens,174.09779999999995,32,40
jahan-dotson,167.99079999999998,33,51
courtland-sutton,167.9655999999999,34,43
mike-evans,167.34019999999992,35,17
brandin-cooks,166.55139999999992,36,49
zay-jones,162.97639999999996,37,26
gabriel-davis,156.5784,38,36
dj-moore-wr,154.85900000000007,39,24
michael-pittman,153.61700000000002,40,20
allen-lazard,152.65219999999994,41,35
tyler-boyd,150.18499999999992,42,34
adam-thielen,149.64599999999993,43,30
elijah-moore,147.2662,44,76
jakobi-meyers,135.72019999999998,45,29
kj-osborn,133.70279999999997,46,45
robert-woods,132.10299999999998,47,59
donovan-peoples-jones,129.53579999999994,48,39
romeo-doubs,128.78979999999996,49,69
alec-pierce,125.37520000000002,50,62
tyquan-thornton,123.11679999999997,51,89
michael-gallup,120.86399999999999,52,64
parris-campbell,119.93799999999996,53,48
curtis-samuel,116.17839999999994,54,33
josh-palmer,116.1422,55,37
marquez-valdesscantling,115.4878,56,54
dj-chark,114.24459999999995,57,72
darnell-mooney,111.76239999999996,58,70
juju-smith-schuster,109.37699999999998,59,27
devante-parker,107.25399999999998,60,68
quez-watkins,106.89599999999996,61,80
kendrick-bourne,106.47259999999994,62,75
richie-james,105.17699999999999,63,50
chase-claypool,104.9236,64,65
allen-robinson,101.75019999999999,65,79
hunter-renfrow,101.21340000000001,66,87
trent-sherfield,99.8578,67,82
isaiah-hodgins,99.78479999999998,68,71
randall-cobb,98.06559999999999,69,86
russell-gage,94.94519999999999,70,53
nico-collins,93.23719999999994,71,74
rondale-moore,92.83660000000002,72,78
isaiah-mckenzie,92.46579999999997,73,55
kalif-raymond,87.574,74,57
jauan-jennings,87.1696,75,85
nelson-agholor,86.6008,76,88
greg-dortch,85.59039999999996,77,61
devin-duvernay,84.77459999999996,78,58
demarcus-robinson,84.30499999999995,79,67
terrace-marshall,82.85700000000001,80,83
marvin-jones,82.2282,81,56
ben-skowronek,78.73899999999998,82,81
mack-hollins,69.8838,83,46
darius-slayton,67.59240000000001,84,52
nick-westbrook,65.51360000000001,85,84
olamide-zaccheaus,61.325799999999994,86,63
josh-reynolds,55.28259999999999,87,66
corey-davis,51.4002,88,73
noah-brown,45.04099999999998,89,60
