name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
justin-jefferson,19.034800000000004,17.2549072265625,17.96430797986954,18.04633835267136,18.07508838977585,1,1
jamarr-chase,19.70320000000001,17.452064514160156,17.282105128079,17.02349139198613,17.865215258556322,2,11
davante-adams,17.467200000000002,17.64537658691406,17.77803269890041,17.786354873402633,17.669241039804277,3,3
aj-brown,18.570800000000013,17.35594940185547,17.095883923623884,17.02913300924276,17.51294158368053,4,6
cooper-kupp,20.232800000000008,16.522430419921875,16.019288172297145,16.50475625856679,17.319818712696453,5,23
stefon-diggs,18.846600000000013,16.6849853515625,16.710308868926923,16.945105361352507,17.296749895460486,6,4
ceedee-lamb,18.044400000000003,16.838716125488283,16.880130797396035,17.336034266599217,17.274820297370884,7,5
tyreek-hill,18.9266,15.93547821044922,16.527431272342074,16.961803668779243,17.087828287892634,8,2
amonra-stbrown,18.177200000000006,16.43730010986328,15.796747013940305,17.23100591040431,16.910563258551974,9,7
jaylen-waddle,16.463400000000007,16.140367126464845,15.758931648463731,15.750264526064049,16.028240825248158,10,8
devonta-smith,17.3854,14.52936553955078,14.624772442325249,14.750585415099652,15.32253084924392,11,9
garrett-wilson,18.551600000000008,13.844155883789062,13.753816027899187,14.210820993640612,15.090098226332218,12,21
tee-higgins,17.037200000000006,14.011489868164062,14.210116077181944,13.967580278531631,14.806596555969412,13,18
jerry-jeudy,16.3048,13.996612548828123,14.192717546432547,13.827510956709164,14.58041026299246,14,22
brandon-aiyuk,14.9774,14.226528930664063,13.87101011983339,14.470823805374966,14.386440713968105,15,15
christian-kirk,14.537399999999996,14.144834899902344,14.10864554191592,14.586722153191676,14.344400648752485,16,12
chris-olave,16.531200000000013,13.263021850585938,13.467155473088692,13.655215076101417,14.229148099944014,17,25
amari-cooper,13.638800000000003,14.165937805175782,14.3114957815507,14.412606399972235,14.13220999667468,18,10
dj-moore-wr,14.269200000000003,13.723283386230468,13.767269096926004,14.557869576633056,14.079405514947382,19,24
dk-metcalf,14.931599999999998,13.541647338867188,13.575785897071878,14.207034737151634,14.064016993272674,20,16
chris-godwin,16.342000000000013,13.205364990234376,13.160786567103765,13.543287538240085,14.06285977389456,21,19
terry-mclaurin,14.363799999999998,13.5245849609375,13.287114587744318,13.902517735395026,13.76950432101921,22,14
tyler-lockett,13.5934,13.520242309570312,13.541493870883084,13.905775370898954,13.640227887838089,23,13
keenan-allen,13.7856,13.145640563964845,13.494642955162195,13.174907178798453,13.400197674481372,24,42
deandre-hopkins,13.9492,12.829597473144531,13.441389443320867,12.795040580752715,13.253806874304528,25,47
mike-evans,12.286999999999995,13.16776123046875,13.744912621285298,13.514154464283838,13.17845707900947,26,17
drake-london,14.651199999999998,12.334213256835938,12.682720998596286,12.794050561962552,13.115546204348693,27,31
michael-pittman,11.841399999999997,13.136170959472656,12.717382490366283,13.858854257268847,12.888451926776948,28,20
mike-williams-wr,14.619399999999995,12.040105438232422,12.53648753725859,11.807704764009504,12.750924434875127,29,32
marquise-brown,13.820200000000003,12.098405456542968,12.278985773698498,12.156691943863413,12.58857079352622,30,44
deebo-samuel,18.01660000000001,9.800155639648438,9.968738442580047,11.8089534584516,12.398611885170023,31,38
gabriel-davis,12.0708,12.335032653808591,12.534135485574527,12.148858716349896,12.272206713933254,32,36
christian-watson,15.100399999999995,11.1909912109375,11.233290266657434,11.246851030833586,12.19288312710713,33,41
zay-jones,11.280599999999994,12.086489868164062,12.001378380297847,12.596637702632863,11.991276487773693,34,26
diontae-johnson,12.604400000000004,11.070393371582032,10.948421160504774,12.338550974709978,11.740441376699197,35,28
allen-lazard,11.329200000000004,11.491316223144532,11.676510398456562,11.461225021060972,11.489562910665516,36,35
jakobi-meyers,9.406399999999996,12.17040786743164,12.104137287372566,12.268222869794972,11.487292006149794,37,29
jahan-dotson,11.635000000000002,11.45987319946289,11.599827369653871,10.493077679141852,11.296944562064654,38,51
brandin-cooks,12.072000000000005,10.614590454101563,11.038345496291864,10.892167882904475,11.154275958324478,39,49
treylon-burks,12.381200000000003,10.710470581054688,10.52566899421108,10.591308765159187,11.05216208510624,40,77
juju-smith-schuster,8.168599999999998,11.717870330810548,12.158213134781503,11.634452123644582,10.919783897309156,41,27
courtland-sutton,11.639200000000002,10.25542984008789,10.67195885996641,10.963363132986064,10.882487958260093,42,43
george-pickens,11.897200000000002,9.97887725830078,10.479207211749614,10.615015089986304,10.742574890009177,43,40
tyler-boyd,10.566799999999995,10.712258911132812,10.7689976195538,10.769159572653525,10.704304025835034,44,34
parris-campbell,9.9558,10.93603286743164,10.190477197295856,11.612365336329976,10.673668850264368,45,48
curtis-samuel,9.2456,10.462590789794922,10.734160016693052,11.9857890248277,10.60703495782892,46,33
josh-palmer,8.791599999999999,10.528196716308594,10.744714045730284,10.910209072961852,10.243679958750182,47,37
kj-osborn,9.1528,10.423448181152343,10.124054960325491,10.477361304642518,10.044416111530088,48,45
donovan-peoples-jones,8.446599999999997,9.866798400878906,10.292840899571194,10.442069144433976,9.762077111221018,49,39
adam-thielen,9.365599999999995,9.716741943359375,9.437303723740548,10.512872885097996,9.758129638049478,50,30
isaiah-hodgins,8.490599999999997,10.429010009765625,10.407897055293027,9.580119300983046,9.726906591510424,51,71
romeo-doubs,9.334199999999996,9.593779754638671,9.638732119056616,9.35985623930232,9.4816420282494,52,69
rondale-moore,6.3716,10.4188720703125,10.976195307756182,9.425922709051084,9.298147521779942,53,78
darnell-mooney,7.475,9.761512756347656,10.333296590969049,9.321870798378104,9.222920036423702,54,70
darius-slayton,6.647399999999999,9.94780044555664,10.281865517967768,9.415036766030898,9.073025682388828,55,52
nico-collins,7.2048000000000005,9.7643310546875,10.014047553134612,9.195554802115698,9.044683352484451,56,74
elijah-moore,10.4836,7.751160430908203,8.352057104436296,8.275979775956007,8.715699327825126,57,76
dj-chark,8.734199999999998,8.557021331787109,9.495615252115025,7.817354096316552,8.65104767005467,58,72
alec-pierce,7.9602,8.589029693603516,8.565534008300714,8.911018373588167,8.5064455188731,59,62
greg-dortch,7.07,8.852651977539063,8.91586521683512,9.035863170419152,8.468595091198335,60,61
richie-james,7.292999999999997,8.597095489501953,8.863074415194514,9.036442825132116,8.447403182457144,61,50
chase-claypool,7.573399999999999,8.367503356933593,8.7099135122359,9.05732512016029,8.427035497332446,62,65
russell-gage,7.428999999999997,8.869391632080077,8.708035667564015,8.632096590063743,8.409630972426958,63,53
michael-gallup,7.772199999999996,8.548009490966797,8.648216860293116,8.51106449116698,8.369872710606723,64,64
mack-hollins,5.673800000000002,9.102411651611328,9.139511689727794,9.513518332111534,8.357310418362665,65,46
robert-woods,8.244399999999992,7.948243713378906,8.238407352421486,8.538925560306343,8.242494156526682,66,59
hunter-renfrow,8.392399999999993,7.80050048828125,7.859597251218316,7.254852391658932,7.8268375327896225,67,87
terrace-marshall,7.4744,7.759661102294922,8.405371604400361,7.203787993302188,7.710805174999368,68,83
devante-parker,8.817399999999997,7.045695495605469,8.129770233739329,6.633610083002185,7.656618953086745,69,68
marquez-valdesscantling,6.7819999999999965,7.609275054931641,7.915739526767865,8.270484348444956,7.644374732536114,70,54
kendrick-bourne,7.041200000000001,7.281664276123047,7.694102851353804,7.704943820738339,7.430477737053797,71,75
olamide-zaccheaus,4.533999999999999,7.987801361083984,8.520591053949847,7.953888152114149,7.249070141786994,72,63
isaiah-mckenzie,6.4122,7.089911651611328,7.425607903676635,7.890649563056303,7.204592279586066,73,55
