name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
justin-jefferson,282.3981999999999,244.7833984375,254.9469325432025,270.7113078752642,263.2099597139917,1,1
jamarr-chase,309.7461999999999,251.849951171875,245.37486076941224,244.7097208399549,262.9201831953105,2,11
ceedee-lamb,284.7267999999998,247.090478515625,242.9903782315516,253.8221006519913,257.1574393497919,3,5
davante-adams,258.82339999999994,244.5509765625,244.489790135624,262.0377194760549,252.4754715435447,4,3
amonra-stbrown,276.2747999999999,248.35791015625,230.9484439669685,239.5283217933682,248.77736897914667,5,7
aj-brown,254.1404,242.455029296875,237.63564034502923,247.26824781110068,245.3748293632512,6,6
stefon-diggs,259.2272,232.4411865234375,230.3136028118678,248.35726631699336,242.58481391307467,7,4
tyreek-hill,251.07119999999995,220.6716796875,231.85243549751195,253.53116451631917,239.2816199253328,8,2
cooper-kupp,260.9253999999999,224.625390625,221.75482563690645,221.01334811162093,232.0797410933818,9,23
garrett-wilson,298.196,203.5199951171875,200.549206735076,206.3704389154355,227.15891019192475,10,21
jaylen-waddle,238.8748,227.5602294921875,217.1787971909833,223.8717747468926,226.87140035751585,11,8
devonta-smith,256.7796,212.1004638671875,210.85078673308644,210.01289471835312,222.4359363296568,12,9
tee-higgins,255.1018,200.5802001953125,200.9257895273902,201.470429904756,214.51955490686467,13,18
christian-kirk,228.18500000000003,202.33638916015624,200.3010363176252,209.66526128828477,210.12192169151652,14,12
dk-metcalf,228.67559999999995,199.32607421875,198.22433831523875,210.1327032321357,209.0896789415311,15,16
brandon-aiyuk,218.5,207.4021728515625,199.83041850079584,210.04783858510345,208.94510748436545,16,15
jerry-jeudy,245.84419999999997,198.15770263671877,200.0568183232708,190.3171920583517,208.5939782545853,17,22
chris-olave,235.2941999999999,193.86495361328124,198.74408166962957,202.00394611998743,207.47679535072453,18,25
chris-godwin,260.01059999999995,186.547998046875,183.5912183234472,175.0305661690816,201.29509563485092,19,19
terry-mclaurin,205.894,191.2669921875,188.30679511061447,204.21826536540885,197.4215131658808,20,14
amari-cooper,182.06279999999995,197.2516845703125,198.54247137248984,211.3686638675084,197.30640495257768,21,10
dj-moore-wr,154.8590000000001,205.347607421875,205.6695438402812,221.52161937311817,196.8494426588186,22,24
drake-london,210.69859999999997,188.55712890625,190.3704737073521,183.738530325574,193.341183234794,23,31
