name,proj fpts,rank,last rank
justin-jefferson,18.04633835267136,1,1
davante-adams,17.786354873402633,2,3
ceedee-lamb,17.336034266599217,3,5
amonra-stbrown,17.23100591040431,4,7
aj-brown,17.02913300924276,5,6
jamarr-chase,17.02349139198613,6,11
tyreek-hill,16.961803668779243,7,2
stefon-diggs,16.945105361352507,8,4
cooper-kupp,16.50475625856679,9,23
jaylen-waddle,15.750264526064047,10,8
devonta-smith,14.750585415099653,11,9
christian-kirk,14.586722153191676,12,12
dj-moore-wr,14.557869576633056,13,24
brandon-aiyuk,14.470823805374966,14,15
amari-cooper,14.412606399972237,15,10
garrett-wilson,14.210820993640613,16,21
dk-metcalf,14.207034737151634,17,16
tee-higgins,13.967580278531631,18,18
tyler-lockett,13.905775370898954,19,13
terry-mclaurin,13.902517735395026,20,14
michael-pittman,13.858854257268849,21,20
jerry-jeudy,13.827510956709165,22,22
chris-olave,13.655215076101417,23,25
chris-godwin,13.543287538240083,24,19
mike-evans,13.514154464283838,25,17
keenan-allen,13.174907178798453,26,42
deandre-hopkins,12.795040580752715,27,47
drake-london,12.794050561962553,28,31
zay-jones,12.596637702632865,29,26
diontae-johnson,12.338550974709978,30,28
jakobi-meyers,12.268222869794972,31,29
marquise-brown,12.156691943863411,32,44
gabriel-davis,12.148858716349896,33,36
curtis-samuel,11.9857890248277,34,33
deebo-samuel,11.808953458451601,35,38
mike-williams-wr,11.807704764009504,36,32
juju-smith-schuster,11.634452123644582,37,27
parris-campbell,11.612365336329976,38,48
allen-lazard,11.461225021060972,39,35
christian-watson,11.246851030833586,40,41
courtland-sutton,10.963363132986064,41,43
josh-palmer,10.910209072961852,42,37
brandin-cooks,10.892167882904477,43,49
tyler-boyd,10.769159572653525,44,34
george-pickens,10.615015089986304,45,40
treylon-burks,10.591308765159187,46,77
adam-thielen,10.512872885097995,47,30
jahan-dotson,10.493077679141852,48,51
kj-osborn,10.477361304642518,49,45
donovan-peoples-jones,10.442069144433976,50,39
isaiah-hodgins,9.580119300983046,51,71
mack-hollins,9.513518332111534,52,46
rondale-moore,9.425922709051083,53,78
darius-slayton,9.415036766030898,54,52
romeo-doubs,9.35985623930232,55,69
darnell-mooney,9.321870798378104,56,70
nico-collins,9.195554802115698,57,74
chase-claypool,9.05732512016029,58,65
richie-james,9.036442825132116,59,50
greg-dortch,9.035863170419152,60,61
alec-pierce,8.911018373588167,61,62
russell-gage,8.632096590063743,62,53
robert-woods,8.538925560306343,63,59
michael-gallup,8.51106449116698,64,64
elijah-moore,8.275979775956007,65,76
marquez-valdesscantling,8.270484348444956,66,54
olamide-zaccheaus,7.953888152114149,67,63
isaiah-mckenzie,7.890649563056303,68,55
dj-chark,7.817354096316552,69,72
kendrick-bourne,7.704943820738339,70,75
josh-reynolds,7.672555843012463,71,66
devin-duvernay,7.6034114618040745,72,58
marvin-jones,7.512498169803751,73,56
kalif-raymond,7.456485464467295,74,57
corey-davis,7.309996761237147,75,73
noah-brown,7.302535813514413,76,60
hunter-renfrow,7.254852391658932,77,87
terrace-marshall,7.203787993302188,78,83
jauan-jennings,7.056838810719472,79,85
allen-robinson,6.9963555399259745,80,79
trent-sherfield,6.9866474114915205,81,82
demarcus-robinson,6.878852391389063,82,67
quez-watkins,6.710331847650667,83,80
devante-parker,6.633610083002185,84,68
nick-westbrook,6.1179650764683124,85,84
nelson-agholor,6.07482078456157,86,88
ben-skowronek,5.6630748597905445,87,81
randall-cobb,5.64274206252664,88,86
tyquan-thornton,5.55447195112767,89,89
