name,proj fpts,rank,last rank
justin-jefferson,270.7113078752642,1,1
davante-adams,262.0377194760549,2,3
ceedee-lamb,253.8221006519913,3,5
tyreek-hill,253.53116451631914,4,2
stefon-diggs,248.35726631699336,5,4
aj-brown,247.26824781110068,6,6
jamarr-chase,244.70972083995494,7,11
amonra-stbrown,239.5283217933682,8,7
jaylen-waddle,223.8717747468926,9,8
dj-moore-wr,221.52161937311817,10,24
cooper-kupp,221.01334811162093,11,23
amari-cooper,211.36866386750836,12,10
dk-metcalf,210.1327032321357,13,16
brandon-aiyuk,210.04783858510342,14,15
devonta-smith,210.01289471835312,15,9
christian-kirk,209.66526128828474,16,12
garrett-wilson,206.3704389154355,17,21
terry-mclaurin,204.21826536540883,18,14
chris-olave,202.00394611998743,19,25
tee-higgins,201.470429904756,20,18
mike-evans,195.75825234119694,21,17
tyler-lockett,195.05497827055459,22,13
michael-pittman,194.45176053082994,23,20
jerry-jeudy,190.3171920583517,24,22
diontae-johnson,183.94102575561968,25,28
drake-london,183.73853032557398,26,31
gabriel-davis,180.6912879380682,27,36
jakobi-meyers,177.3045395317162,28,29
keenan-allen,175.48479396152177,29,42
chris-godwin,175.0305661690816,30,19
zay-jones,172.00818900153538,31,26
deandre-hopkins,165.22024248177618,32,47
allen-lazard,164.91849339580372,33,35
marquise-brown,164.39230954703297,34,44
george-pickens,162.75525552648642,35,40
mike-williams-wr,162.27914826023905,36,32
courtland-sutton,160.39775250563244,37,43
donovan-peoples-jones,154.5567222008721,38,39
christian-watson,152.8069526644555,39,41
parris-campbell,151.5565045630623,40,48
josh-palmer,150.23138334999297,41,37
juju-smith-schuster,150.17621589031367,42,27
adam-thielen,148.92256361158653,43,30
curtis-samuel,146.74001149680228,44,33
tyler-boyd,146.66035566219662,45,34
brandin-cooks,145.39805713618742,46,49
jahan-dotson,143.00680445429342,47,51
kj-osborn,134.7245816713553,48,45
treylon-burks,133.54884220443344,49,77
mack-hollins,132.19579889203445,50,46
chase-claypool,127.62812681008191,51,65
alec-pierce,125.47190437978341,52,62
darius-slayton,121.90655131278109,53,52
nico-collins,120.35476377039825,54,74
isaiah-hodgins,120.26408517205167,55,71
darnell-mooney,119.43330189192946,56,70
marquez-valdesscantling,116.91228441542219,57,54
richie-james,116.50061673379949,58,50
romeo-doubs,115.6084466487994,59,69
deebo-samuel,113.05547302738049,60,38
michael-gallup,112.38200958603457,61,64
elijah-moore,109.95728367313077,62,76
robert-woods,108.84141409769737,63,59
isaiah-mckenzie,105.5772438285666,64,55
marvin-jones,103.26141205476065,65,56
russell-gage,102.57620275201933,66,53
olamide-zaccheaus,101.81391838587527,67,63
dj-chark,100.60378200874439,68,72
noah-brown,96.29843067996947,69,60
josh-reynolds,95.5941592462049,70,66
rondale-moore,94.50853198901282,71,78
kendrick-bourne,92.83405197416724,72,75
terrace-marshall,92.7647644413046,73,83
greg-dortch,91.18542146996904,74,61
kalif-raymond,91.03026226054217,75,57
corey-davis,89.28019777980083,76,73
allen-robinson,87.7883835790191,77,79
devin-duvernay,87.098797056054,78,58
demarcus-robinson,85.41164459693212,79,67
devante-parker,85.3474246514069,80,68
jauan-jennings,82.62322508868968,81,85
trent-sherfield,82.1049033886799,82,82
nick-westbrook,81.13302358340209,83,84
hunter-renfrow,78.48203756795945,84,87
quez-watkins,77.80920421834017,85,80
nelson-agholor,68.05659900907122,86,88
tyquan-thornton,67.8029641369383,87,89
ben-skowronek,57.83076332934686,88,81
randall-cobb,55.2471475373899,89,86
