name,proj fpts,rank,last rank
aj-brown,18.127351379394533,1,6
amonra-stbrown,17.455703735351562,2,7
ceedee-lamb,17.292152404785156,3,5
justin-jefferson,17.195167541503906,4,1
davante-adams,17.09093475341797,5,3
stefon-diggs,16.6989013671875,6,4
jamarr-chase,16.364599609375,7,11
jaylen-waddle,16.192384338378908,8,8
tyreek-hill,15.688729858398437,9,2
devonta-smith,15.088681030273438,10,9
mike-evans,14.8097900390625,11,17
brandon-aiyuk,14.609051513671876,12,15
jerry-jeudy,14.589962768554688,13,22
christian-kirk,14.541938781738281,14,12
cooper-kupp,14.456094360351562,15,23
garrett-wilson,14.438316345214844,16,21
tee-higgins,14.396989440917968,17,18
terry-mclaurin,13.836259460449218,18,14
amari-cooper,13.746163940429687,19,10
michael-pittman,13.694456481933594,20,20
dj-moore-wr,13.68420867919922,21,24
dk-metcalf,13.621641540527344,22,16
tyler-lockett,13.475209045410157,23,13
chris-olave,13.460057067871094,24,25
zay-jones,13.399339294433593,25,26
mike-williams-wr,12.918309020996094,26,32
drake-london,12.876800537109375,27,31
deandre-hopkins,12.854962158203126,28,47
chris-godwin,12.83677978515625,29,19
keenan-allen,12.813424682617187,30,42
christian-watson,12.627775573730469,31,41
marquise-brown,12.312799835205078,32,44
juju-smith-schuster,11.807936096191407,33,27
jakobi-meyers,11.676058959960937,34,29
allen-lazard,11.376815032958984,35,35
gabriel-davis,11.375821685791015,36,36
jahan-dotson,11.356247711181641,37,51
treylon-burks,11.028079986572266,38,77
parris-campbell,10.78265609741211,39,48
tyler-boyd,10.750208282470703,40,34
deebo-samuel,10.656566619873047,41,38
josh-palmer,10.616210174560546,42,37
brandin-cooks,10.561992645263672,43,49
kj-osborn,10.481261444091796,44,45
courtland-sutton,10.466981506347656,45,43
darius-slayton,10.272982025146485,46,52
isaiah-hodgins,10.17513427734375,47,71
donovan-peoples-jones,10.133523559570312,48,39
romeo-doubs,10.004229736328124,49,69
adam-thielen,9.789379119873047,50,30
diontae-johnson,9.78900604248047,51,28
russell-gage,9.673190307617187,52,53
curtis-samuel,9.5359130859375,53,33
mack-hollins,9.396504211425782,54,46
rondale-moore,9.319199371337891,55,78
george-pickens,9.301205444335938,56,40
michael-gallup,9.279698181152344,57,64
nico-collins,9.19684295654297,58,74
darnell-mooney,9.068470764160157,59,70
dj-chark,8.958950805664063,60,72
richie-james,8.948756408691406,61,50
greg-dortch,8.824267578125,62,61
alec-pierce,8.50985336303711,63,62
josh-reynolds,8.405828094482422,64,66
hunter-renfrow,8.225645446777344,65,87
devante-parker,8.14880828857422,66,68
allen-robinson,7.980795288085938,67,79
robert-woods,7.977983093261718,68,59
olamide-zaccheaus,7.941152954101563,69,63
chase-claypool,7.849630737304688,70,65
noah-brown,7.7934814453125,71,60
demarcus-robinson,7.53869857788086,72,67
marquez-valdesscantling,7.5209495544433596,73,54
devin-duvernay,7.346884918212891,74,58
terrace-marshall,7.288874816894531,75,83
corey-davis,7.196215057373047,76,73
elijah-moore,7.170993804931641,77,76
jauan-jennings,7.042483520507813,78,85
kendrick-bourne,6.930958557128906,79,75
nick-westbrook,6.798839569091797,80,84
marvin-jones,6.76007080078125,81,56
isaiah-mckenzie,6.728817749023437,82,55
nelson-agholor,6.380900192260742,83,88
randall-cobb,5.977357864379883,84,86
quez-watkins,5.939129638671875,85,80
tyquan-thornton,5.282571792602539,86,89
trent-sherfield,4.965233612060547,87,82
kalif-raymond,4.8203857421875,88,57
ben-skowronek,4.48834342956543,89,81
