name,proj fpts,rank,last rank
jamarr-chase,251.849951171875,1,11
amonra-stbrown,248.35791015625,2,7
ceedee-lamb,247.090478515625,3,5
justin-jefferson,244.7833984375,4,1
davante-adams,244.5509765625,5,3
aj-brown,242.455029296875,6,6
stefon-diggs,232.4411865234375,7,4
jaylen-waddle,227.5602294921875,8,8
cooper-kupp,224.625390625,9,23
tyreek-hill,220.6716796875,10,2
devonta-smith,212.1004638671875,11,9
brandon-aiyuk,207.4021728515625,12,15
dj-moore-wr,205.347607421875,13,24
garrett-wilson,203.5199951171875,14,21
christian-kirk,202.33638916015624,15,12
tee-higgins,200.5802001953125,16,18
dk-metcalf,199.32607421875,17,16
jerry-jeudy,198.15770263671874,18,22
amari-cooper,197.2516845703125,19,10
michael-pittman,195.71478271484375,20,20
chris-olave,193.86495361328124,21,25
terry-mclaurin,191.2669921875,22,14
drake-london,188.55712890625,23,31
tyler-lockett,188.21595458984376,24,13
chris-godwin,186.547998046875,25,19
mike-evans,179.0786376953125,26,17
keenan-allen,175.2797119140625,27,42
zay-jones,174.82906494140624,28,26
gabriel-davis,174.1729248046875,29,36
deandre-hopkins,171.855126953125,30,47
jakobi-meyers,171.82967529296874,31,29
marquise-brown,171.6787841796875,32,44
diontae-johnson,166.16158447265624,33,28
parris-campbell,164.29437255859375,34,48
mike-williams-wr,162.596044921875,35,32
juju-smith-schuster,162.33775634765624,36,27
jahan-dotson,160.8182861328125,37,51
treylon-burks,160.6750732421875,38,77
allen-lazard,160.2830810546875,39,35
christian-watson,157.53275146484376,40,41
curtis-samuel,155.3924072265625,41,33
josh-palmer,154.0687744140625,42,37
kj-osborn,150.91640625,43,45
tyler-boyd,148.4659423828125,44,34
courtland-sutton,147.91412353515625,45,43
isaiah-hodgins,146.74959716796874,46,71
george-pickens,145.53123779296874,47,40
brandin-cooks,144.1489013671875,48,49
donovan-peoples-jones,143.4757568359375,49,39
romeo-doubs,142.25565185546876,50,69
rondale-moore,139.84530029296874,51,78
darnell-mooney,137.04189453125,52,70
nico-collins,135.23895263671875,53,74
adam-thielen,135.11357421875,54,30
deebo-samuel,132.1022705078125,55,38
darius-slayton,131.90650634765626,56,52
greg-dortch,131.44390869140625,57,61
chase-claypool,129.4249755859375,58,65
mack-hollins,128.03621826171874,59,46
alec-pierce,127.78011474609374,60,62
richie-james,124.92818603515624,61,50
russell-gage,123.73426513671875,62,53
michael-gallup,122.5919677734375,63,64
elijah-moore,118.0546630859375,64,76
dj-chark,113.10416259765626,65,72
olamide-zaccheaus,112.573876953125,66,63
robert-woods,112.0066650390625,67,59
hunter-renfrow,107.4073974609375,68,87
josh-reynolds,106.686767578125,69,66
terrace-marshall,104.714892578125,70,83
kendrick-bourne,104.66148681640625,71,75
marquez-valdesscantling,104.21273193359374,72,54
jauan-jennings,102.55081787109376,73,85
isaiah-mckenzie,101.85332641601562,74,55
devin-duvernay,101.15460815429688,75,58
corey-davis,100.24519653320313,76,73
trent-sherfield,99.32384033203125,77,82
noah-brown,98.53641357421876,78,60
allen-robinson,95.8072998046875,79,79
demarcus-robinson,92.66897583007812,80,67
quez-watkins,91.60881958007812,81,80
marvin-jones,91.43331909179688,82,56
devante-parker,89.80369262695312,83,68
kalif-raymond,89.53373413085937,84,57
nick-westbrook,87.99339599609375,85,84
nelson-agholor,83.74014892578126,86,88
tyquan-thornton,75.440234375,87,89
ben-skowronek,73.95205688476562,88,81
randall-cobb,71.1357421875,89,86
