Rank,name,MISC_FPTS/G
1,josh-allen-qb,24.6
2,justin-herbert,23.3
3,tom-brady,22.7
4,patrick-mahomes,22.0
5,matthew-stafford,20.4
6,aaron-rodgers,21.1
7,dak-prescott,20.7
8,joe-burrow,20.5
9,jalen-hurts,21.4
10,kyler-murray,22.2
11,kirk-cousins,19.2
12,ryan-tannehill,16.6
13,derek-carr,15.9
14,carson-wentz,15.6
15,lamar-jackson,21.1
16,russell-wilson,17.8
17,jimmy-garoppolo,16.0
18,mac-jones,14.0
19,taylor-heinicke,14.9
20,matt-ryan,13.8
21,ben-roethlisberger,14.3
22,trevor-lawrence,12.7
23,teddy-bridgewater,15.0
24,jared-goff,14.5
25,baker-mayfield,13.8
26,tua-tagovailoa,14.7
27,daniel-jones,15.9
28,sam-darnold,14.2
29,davis-mills,12.8
30,zach-wilson,12.5
31,justin-fields,11.4
32,jameis-winston,17.2
33,trevor-siemian,15.5
34,andy-dalton,11.6
35,cam-newton,11.4
36,tyrod-taylor,14.5
37,tyler-huntley,12.4
38,jacoby-brissett,6.9
39,trey-lance,11.2
40,geno-smith,13.8
41,drew-lock,9.0
42,mike-white,13.0
43,josh-johnson,12.1
44,colt-mccoy,5.3
45,mike-glennon,6.8
46,gardner-minshew,11.5
47,tim-boyle,7.6
48,case-keenum,5.9
49,cooper-rush,6.3
50,jordan-love,4.0
51,joe-flacco,11.9
52,mason-rudolph,9.7
53,nick-foles,16.8
54,phillip-walker,3.4
55,marcus-mariota,2.1
56,jake-fromm,4.6
57,brandon-allen,2.8
58,sean-mannion,13.0
59,brian-hoyer,2.5
60,nick-mullens,9.9
61,mitch-trubisky,1.8
62,kyle-allen,4.0
63,garrett-gilbert,7.8
64,ian-book,4.0
65,chad-henne,0.8
66,chris-streveler,1.0
67,blaine-gabbert,0.3
68,cj-beathard,0.8
69,sam-ehlinger,0.3
70,ryan-fitzpatrick,0.7
71,david-blough,0.6
72,kellen-mond,0.1
73,nathan-peterman,0.2
74,brett-rypien,0.0
75,jacob-eason,0.0
76,trace-mcsorley,0.0
77,kurt-benkert,-0.1
78,chase-daniel,-0.2
79,davis-webb,-0.3
80,feleipe-franks,-0.1
81,logan-woodside,-0.2
82,john-wolford,-0.5
83,josh-rosen,-0.4
