Rank,name,MISC_FPTS/G
1,cooper-kupp,25.9
2,davante-adams,21.5
3,deebo-samuel,21.2
4,justin-jefferson,19.4
5,jamarr-chase,17.9
6,tyreek-hill,17.4
7,stefon-diggs,16.8
8,diontae-johnson,17.2
9,mike-evans,16.4
10,hunter-renfrow,15.2
11,keenan-allen,16.1
12,mike-williams-wr,15.4
13,jaylen-waddle,15.4
14,dk-metcalf,14.4
15,chris-godwin,17.3
16,tyler-lockett,15.1
17,michael-pittman,14.0
18,dj-moore-wr,14.0
19,ceedee-lamb,14.6
20,brandin-cooks,14.5
21,amonra-stbrown,14.2
22,marquise-brown,14.1
23,darnell-mooney,12.9
24,tee-higgins,15.7
25,terry-mclaurin,12.6
26,christian-kirk,12.2
27,amari-cooper,13.5
28,adam-thielen,15.4
29,jakobi-meyers,11.6
30,devonta-smith,10.9
31,tyler-boyd,11.5
32,aj-brown,13.9
33,kendrick-bourne,10.6
34,marvin-jones,10.6
35,brandon-aiyuk,10.0
36,van-jefferson,9.9
37,chase-claypool,11.1
38,russell-gage,12.5
39,cole-beasley,10.0
40,kj-osborn,9.3
41,aj-green,9.8
42,tim-patrick,9.8
43,marquez-callaway,8.9
44,courtland-sutton,8.8
45,cedrick-wilson,10.6
46,deandre-hopkins,14.7
47,allen-lazard,10.2
48,mecole-hardman,8.3
49,robby-anderson,8.1
50,elijah-moore,12.6
51,robert-woods,15.2
52,jarvis-landry,11.1
53,kalif-raymond,8.3
54,emmanuel-sanders,9.4
55,odell-beckham,9.2
56,laviska-shenault,7.9
57,byron-pringle,7.9
58,gabriel-davis,8.4
59,antonio-brown,17.3
60,braxton-berrios,7.6
61,quez-watkins,6.8
62,deonte-harty,8.7
63,donovan-peoples-jones,7.8
64,jamison-crowder,9.1
65,bryan-edwards,6.8
66,rondale-moore,7.8
67,nick-westbrook,7.2
68,zay-jones,7.1
69,corey-davis,11.7
70,devante-parker,10.4
71,rashod-bateman,8.6
72,nelson-agholor,6.9
73,jalen-guyton,6.1
74,zach-pascal,5.9
75,randall-cobb,8.5
76,josh-palmer,6.2
77,michael-gallup,10.2
78,olamide-zaccheaus,6.0
79,kenny-golladay,6.4
80,trequan-smith,8.8
81,marquez-valdesscantling,7.9
82,allen-robinson,7.3
83,deandre-carter,5.1
84,freddie-swain,5.1
85,jerry-jeudy,8.5
86,henry-ruggs,12.1
87,nico-collins,6.0
88,laquon-treadwell,6.9
89,kadarius-toney,9.2
90,jauan-jennings,6.3
91,josh-reynolds,7.3
92,julio-jones,8.0
93,adam-humphries,4.7
94,keelan-cole,5.6
95,jalen-reagor,4.6
96,sterling-shepard,11.1
97,devin-duvernay,4.8
98,jamal-agnew,6.3
99,desean-jackson,5.4
100,ty-hilton,7.4
101,tyler-johnson,4.5
102,calvin-ridley,14.2
103,sammy-watkins,6.4
104,demarcus-robinson,4.6
105,danny-amendola,8.6
106,darius-slayton,5.3
107,ray-ray-mccloud-iii,4.1
108,james-washington,4.4
109,chester-rogers,4.1
110,damiere-byrd,5.9
111,chris-conley,4.6
112,mack-hollins,3.8
113,antoine-wesley,7.2
114,rashard-higgins,4.8
115,marquise-goodwin,4.1
116,chris-moore,5.6
117,isaiah-mckenzie,3.5
118,tavon-austin,4.3
119,liljordan-humphrey,6.2
120,quintez-cephus,9.9
121,brandon-zylstra,4.1
122,cam-sims,4.1
123,albert-wilson,4.8
124,tajae-sharpe,3.4
125,ashton-dulin,2.8
126,malik-turner,6.4
127,cyril-grayson,14.9
128,john-ross,4.6
129,isaiah-ford,4.5
