name,MISC_FPTS/G
travis-kelce,12.9
george-kittle,12.9
darren-waller,11.0
mark-andrews,11.7
zach-ertz,11.4
austin-hooper,11.9
jared-cook,10.4
tyler-higbee,8.4
hunter-henry,10.2
dallas-goedert,7.7
mike-gesicki,6.9
jason-witten,6.8
greg-olsen,7.0
kyle-rudolph,5.9
darren-fells,5.8
noah-fant,5.7
jack-doyle,5.6
evan-engram,10.9
jonnu-smith,5.5
tyler-eifert,5.3
jimmy-graham,5.1
ryan-griffin,6.2
jacob-hollister,6.7
cameron-brate,4.6
jordan-akins,4.5
gerald-everett,5.5
eric-ebron,6.5
blake-jarwin,4.4
oj-howard,4.8
dawson-knox,4.4
tj-hockenson,5.4
vance-mcdonald,4.6
will-dissly,10.4
hayden-hurst,3.9
irv-smith-jr,3.8
kaden-smith,6.7
nick-boyle,3.7
foster-moreau,4.5
josh-hill-te,3.3
ricky-seals-jones,3.7
cj-uzomah,3.1
delanie-walker,6.3
jeremy-sprinkle,2.7
demetrius-harris,2.8
charles-clay,2.6
james-oshaughnessy,6.9
maxx-williams,2.1
anthony-firkser,2.2
rhett-ellison,3.2
logan-thomas,2.0
marcedes-lewis,1.8
dan-arnold,4.8
ross-dwelley,1.8
ian-thomas,1.7
derek-carrier,1.6
benjamin-watson,2.6
matt-lacosse,2.1
jaeden-graham,1.6
nick-vannett,1.6
jeff-heuerman,1.7
nick-oleary,2.0
vernon-davis,5.8
jesse-james,1.4
robert-tonyan,1.9
ryan-izzo,3.4
hale-hentges,1.8
andrew-beck,1.3
seth-devalve,1.7
joshua-perkins,3.8
virgil-green,1.2
mycole-pruitt,1.1
daniel-brown,1.0
jesper-horsted,2.8
tyler-kroft,1.3
tommy-sweeney,2.6
trey-burton,1.7
ben-braunecker,1.4
stephen-carlson,1.5
mo-alie-cox,0.8
geoff-swaim,2.2
troy-fumagalli,1.2
jp-holtz,0.8
david-njoku,3.2
luke-willson,1.3
adam-shaheen,1.5
lee-smith,0.7
blake-bell,0.7
durham-smythe,0.6
tyler-conklin,0.6
luke-stocker,0.6
cethan-carter,0.6
clive-walford,1.0
deon-yelder,0.7
lance-kendricks,0.5
trevon-wesco,0.4
drew-sample,0.6
ross-travis,1.7
johnny-mundt,0.3
pharaoh-brown,0.4
tanner-hudson,0.4
codey-mcelroy,3.5
eric-saubert,1.6
josh-oliver,0.8
isaac-nauta,0.4
scott-simonson,0.4
levine-toilolo,0.2
sean-culkin,0.4
chris-manhertz,0.1
antony-auclair,0.2
ben-koyack,0.1
jordan-thomas,0.2
chris-herndon-iv,0.6
dalton-schultz,0.1
tyrone-swoopes,0.2
charles-jones,0.3
zach-gentry,0.2
darrell-daniels,0.1
xavier-grimble,0.3
eric-tomlinson,0.1
jace-sternberger,0.0
matthew-orzech,0.0
carson-meier,0.0
kendall-blanton,0.0
logan-paulsen,0.0
kelvin-benjamin,0.0
jordan-matthews,0.0
richard-rodgers,0.0
erik-swoope,0.0
garrett-celek,0.0
jordan-reed,0.0
dion-sims,0.0
antonio-gates,0.0
clark-harris,0.0
jermaine-gresham,0.0
ed-dickson,0.0
rob-gronkowski,0.0
brandon-dillon,0.0
jason-vander-laan,0.0
jake-butt,0.0
mason-schreck,0.0
jason-croom,0.0
evan-baylis,0.0
alex-ellis,0.0
zach-wood,0.0
cole-wick,0.0
alan-cross,0.0
mitchell-loewen,0.0
donnie-ernsberger,0.0
garrett-dickerson,0.0
jj-arcega-whiteside,0.0
taysom-hill,0.0
jordan-franks,0.0
james-looney,0.0
david-morgan-ii,0.0
jerome-cunningham,0.0
kyle-nelson,0.0
devin-funchess,0.0
david-grinnage,0.0
patrick-scales,0.0
beau-brinkley,0.0
james-winchester,0.0
tyler-ott,0.0
kevin-mcdermott,0.0
andrew-depaola,0.0
bronson-kaufusi,0.0
stephen-anderson,0.0
jerell-adams,0.0
matt-lengel,0.0
neal-sterling,0.0
khari-lee,0.0
brian-parker,0.0
