Rank,name,MISC_FPTS/G
1,jonathan-taylor,21.9
2,austin-ekeler,21.5
3,najee-harris-rb,17.7
4,joe-mixon,18.0
5,james-conner,17.2
6,leonard-fournette,18.3
7,ezekiel-elliott,14.8
8,alvin-kamara,18.1
9,cordarrelle-patterson,14.7
10,antonio-gibson,14.3
11,aaron-jones,15.3
12,josh-jacobs,15.1
13,nick-chubb,15.4
14,damien-harris-rb,14.0
15,dandre-swift,16.1
16,dalvin-cook,15.9
17,javonte-williams,12.1
18,devin-singletary,11.6
19,darrel-williams,11.5
20,david-montgomery,14.0
21,melvin-gordon,12.2
22,derrick-henry,24.2
23,aj-dillon,10.9
24,james-robinson,12.4
25,myles-gaskin,10.2
26,elijah-mitchell-rb,13.8
27,darrell-henderson,13.6
28,tony-pollard,10.8
29,michael-carter-rb,11.0
30,saquon-barkley,10.6
31,devonta-freeman,9.2
32,sony-michel,8.6
33,devontae-booker,9.0
34,chase-edmonds,11.9
35,mike-davis-rb,8.1
36,chuba-hubbard,8.6
37,jd-mckissic,11.6
38,christian-mccaffrey,18.2
39,alexander-mattison,7.9
40,brandon-bolden,7.8
41,kenneth-gainwell,7.7
42,rashaad-penny,12.2
43,jamaal-williams,9.2
44,miles-sanders,9.8
45,ty-johnson,7.8
46,clyde-edwards-helaire,11.7
47,rhamondre-stevenson,9.6
48,nyheim-hines,6.6
49,kareem-hunt,13.8
50,mark-ingram,7.8
51,zack-moss,8.1
52,rex-burkhead,7.0
53,dernest-johnson,8.0
54,latavius-murray,7.4
55,kenyan-drake,8.5
56,boston-scott,9.0
57,donta-foreman,10.4
58,ameer-abdullah,5.3
59,justin-jackson-rb,6.2
60,samaje-perine,5.5
61,david-johnson-rb,6.3
62,ronald-jones-ii,5.3
63,khalil-herbert,4.9
64,kyle-juszczyk,4.9
65,jeremy-mcnichols,5.7
66,dontrell-hilliard,9.1
67,alex-collins,6.3
68,jordan-howard,8.9
69,travis-homer,4.4
70,damien-williams,5.1
71,deejay-dallas,3.5
72,duke-johnson,11.8
73,giovani-bernard,5.9
74,derrick-gore,7.0
75,jaret-patterson,4.0
76,tevin-coleman,4.7
77,jeffery-wilson,5.7
78,demetric-felton,3.4
79,dare-ogunbowale,3.9
80,peyton-barber,5.0
81,chris-evans,5.5
82,jamycal-hasty,4.5
83,chris-carson,12.0
84,carlos-hyde,3.8
85,phillip-lindsay,3.2
86,matt-breida,6.1
87,tyson-williams,5.2
88,salvon-ahmed,3.5
89,leveon-bell,4.8
90,keshawn-vaughn,6.1
91,jerick-mckinnon,4.0
92,elijhaa-penny,2.8
93,craig-reynolds,7.0
94,royce-freeman,2.9
95,cj-ham,2.2
96,james-white,10.4
97,ty-montgomery,2.1
98,corey-clement,2.6
99,trey-sermon,4.7
100,eno-benjamin,3.5
101,adrian-peterson-min,6.7
102,jermar-jefferson,5.1
103,alec-ingold,3.5
104,jalen-richard,2.6
105,kene-nwangwu,2.6
106,malcolm-brown,3.8
107,tony-jones,2.2
108,patrick-ricard,2.6
109,jonathan-williams,4.1
110,qadree-ollison,3.3
111,austin-walter,4.8
112,jj-taylor,3.7
113,godwin-igwebuike,1.2
114,keith-smith,1.4
115,patrick-taylor,3.4
116,joshua-kelley,2.1
117,larry-rountree-iii,1.6
118,michael-burton,1.5
119,wayne-gallman,1.5
120,benjamin-snell-jr,0.8
121,marlon-mack,2.2
122,ryquell-armstead,6.3
123,andy-janovich,2.0
124,rodney-smith-rb,9.8
125,jonathan-ward,1.1
126,alex-armah,0.9
127,johnny-stanton-iv,3.1
128,deon-jackson,1.8
129,jaquan-hardy,4.5
130,wendell-smallwood,4.4
131,jakob-johnson,1.2
132,mike-boone,2.6
133,trayveon-williams,1.6
134,ito-smith,6.4
135,kalen-ballage,0.7
136,reggie-gilliam,0.7
137,gabriel-nabers,0.8
138,jaylen-samuels,1.8
139,jason-huntley,5.1
140,adam-prentice,1.0
141,patrick-laird,1.7
142,dwayne-washington,0.6
143,derek-watt,0.4
144,cam-akers,2.2
145,scottie-phillips,1.4
146,kylin-hill,0.5
147,darrynton-evans,1.9
148,reggie-bonnafon,3.6
149,trey-ragas,3.5
150,lamical-perine,1.6
151,nick-bawden,3.0
152,anthony-mcfarland,0.8
153,gary-brightwell,0.3
154,raheem-mostert,2.0
155,ryan-nall,0.4
156,devine-ozigbo,0.7
157,john-kelly,1.3
158,jacques-patrick,1.2
159,mekhi-sargent,0.2
160,buddy-howell,0.2
161,khari-blasingame,0.2
162,damarea-crockett,0.7
163,jake-funk,0.1
164,nathan-cottrell,0.1
165,darius-bradwell,0.0
166,artavis-pierce,0.0
167,levante-bellamy,0.0
168,sewo-olonilua,0.0
169,jk-dobbins,0.0
170,cullen-gillaspia,0.0
171,sutton-smith,0.0
172,andrew-beck,0.0
173,darwin-thompson,0.0
174,chris-myarick,0.0
175,pooka-williams,0.0
176,sandro-platzgummer,0.0
177,josh-johnson,0.0
178,bj-emmons,0.0
179,nick-ralston,0.0
180,tory-carter,0.0
181,gerrid-doaks,0.0
182,avery-williams-cb,0.0
183,spencer-brown,0.0
184,nick-bellore,0.0
185,taiwan-jones,0.0
186,kenjon-barner,0.0
187,elijah-mcguire,0.0
188,tarik-cohen,0.0
189,brian-hill,0.0
190,brandin-bryant,0.0
191,jp-holtz,0.0
192,trey-edmunds,0.0
193,jordan-wilkins,0.0
194,jason-cabinda,0.0
195,nate-mccrary,-0.1
196,trenton-cannon,-0.2
