name,MISC_FPTS/G
josh-allen-qb,24.6
justin-herbert,23.3
tom-brady,22.7
patrick-mahomes,22.0
matthew-stafford,20.4
aaron-rodgers,21.1
dak-prescott,20.7
joe-burrow,20.5
jalen-hurts,21.4
kyler-murray,22.2
kirk-cousins,19.2
ryan-tannehill,16.6
derek-carr,15.9
carson-wentz,15.6
lamar-jackson,21.1
russell-wilson,17.8
jimmy-garoppolo,16.0
mac-jones,14.0
taylor-heinicke,14.9
matt-ryan,13.8
ben-roethlisberger,14.3
trevor-lawrence,12.7
teddy-bridgewater,15.0
jared-goff,14.5
baker-mayfield,13.8
tua-tagovailoa,14.7
daniel-jones,15.9
sam-darnold,14.2
davis-mills,12.8
zach-wilson,12.5
justin-fields,11.4
jameis-winston,17.2
trevor-siemian,15.5
andy-dalton,11.6
cam-newton,11.4
tyrod-taylor,14.5
tyler-huntley,12.4
jacoby-brissett,6.9
trey-lance,11.2
geno-smith,13.8
drew-lock,9.0
mike-white,13.0
josh-johnson,12.1
colt-mccoy,5.3
mike-glennon,6.8
gardner-minshew,11.5
tim-boyle,7.6
case-keenum,5.9
cooper-rush,6.3
jordan-love,4.0
joe-flacco,11.9
mason-rudolph,9.7
nick-foles,16.8
phillip-walker,3.4
marcus-mariota,2.1
jake-fromm,4.6
brandon-allen,2.8
sean-mannion,13.0
brian-hoyer,2.5
nick-mullens,9.9
mitch-trubisky,1.8
kyle-allen,4.0
garrett-gilbert,7.8
ian-book,4.0
chad-henne,0.8
chris-streveler,1.0
blaine-gabbert,0.3
cj-beathard,0.8
sam-ehlinger,0.3
ryan-fitzpatrick,0.7
david-blough,0.6
kellen-mond,0.1
nathan-peterman,0.2
brett-rypien,0.0
jacob-eason,0.0
trace-mcsorley,0.0
kurt-benkert,-0.1
chase-daniel,-0.2
davis-webb,-0.3
feleipe-franks,-0.1
logan-woodside,-0.2
john-wolford,-0.5
josh-rosen,-0.4
