name,MISC_FPTS/G
mark-andrews,17.7
travis-kelce,16.4
dalton-schultz,12.3
george-kittle,14.1
zach-ertz,10.6
kyle-pitts,10.4
rob-gronkowski,14.3
dallas-goedert,11.0
mike-gesicki,9.7
hunter-henry,10.3
dawson-knox,10.9
noah-fant,9.9
pat-freiermuth,9.5
tyler-higbee,9.8
tj-hockenson,12.1
tyler-conklin,8.1
darren-waller,12.1
jared-cook,8.3
cj-uzomah,8.0
cole-kmet,7.1
gerald-everett,7.9
david-njoku,7.2
evan-engram,6.8
austin-hooper,6.2
foster-moreau,5.7
mo-alie-cox,4.7
jack-doyle,5.3
cameron-brate,4.9
albert-okwuegbunam,5.4
dan-arnold,6.9
anthony-firkser,4.9
durham-smythe,4.4
geoff-swaim,4.4
ricky-seals-jones,6.3
jonnu-smith,4.2
ryan-griffin,4.7
hayden-hurst,5.3
adam-trautman,5.8
harrison-bryant,4.2
josiah-deguara,4.4
kyle-rudolph,4.0
donald-parham,4.2
brevin-jordan,7.0
logan-thomas,10.7
tommy-tremble,3.5
juwan-johnson,4.1
john-bates,3.9
jimmy-graham,4.6
james-oshaughnessy,7.2
robert-tonyan,6.3
will-dissly,3.9
mycole-pruitt,3.7
marcedes-lewis,3.4
jordan-akins,3.5
maxx-williams,8.3
tyler-kroft,4.4
stephen-anderson,2.8
pharaoh-brown,2.9
ian-thomas,2.6
zach-gentry,3.6
brock-wright,4.5
oj-howard,3.0
blake-jarwin,4.1
eric-ebron,4.1
nick-vannett,4.0
adam-shaheen,2.6
kylen-granson,2.2
lee-smith,2.2
jacob-hollister,2.9
tommy-sweeney,2.8
jesse-james,3.8
drew-sample,1.9
chris-manhertz,1.9
blake-bell,1.6
eric-saubert,1.9
noah-gray,2.4
jesper-horsted,4.0
antony-auclair,3.9
josh-oliver,1.4
ross-dwelley,3.8
chris-herndon-iv,2.3
sean-mckeon,2.5
luke-farrell,1.4
tyree-jackson,3.7
chris-myarick,2.1
tre-mckitty,1.8
charlie-woerner,1.3
parker-hesse,2.3
colby-parkinson,1.4
darren-fells,2.8
garrett-griffin,1.6
kendall-blanton,1.9
tyler-davis,0.9
trevon-wesco,0.8
shane-zylstra,2.1
kaden-smith,1.6
jack-stoll,1.0
jeremy-sprinkle,1.0
tommy-hudson,1.5
kenny-yeboah,1.9
dominique-dafney,0.9
daniel-brown,1.6
mitchell-wilcox,1.2
demetrius-harris,0.4
cethan-carter,0.5
derek-carrier,1.7
luke-stocker,0.5
richard-rodgers,3.1
ethan-wolf,2.8
kevin-rader,0.9
johnny-mundt,0.6
brycen-hopkins,1.9
hunter-long,0.6
eric-tomlinson,0.2
nick-boyle,0.6
deon-yelder,0.5
darrell-daniels,0.1
daniel-helm,0.3
matthew-orzech,0.0
jared-pinkney,0.0
antonio-gandy-golden,0.0
jj-arcega-whiteside,0.0
andrew-beck,0.0
jody-fortson,0.0
farrod-green,0.0
feleipe-franks,0.0
stephen-sullivan,0.0
noah-togiai,0.0
ben-ellefson,0.0
giovanni-ricci,0.0
reggie-gilliam,0.0
rashod-berry,0.0
miller-forristall,0.0
jake-hausmann,0.0
nick-ralston,0.0
briley-moore,0.0
jacob-harris,0.0
sammis-reyes,0.0
clark-harris,0.0
jp-holtz,0.0
codey-mcelroy,0.0
taysom-hill,0.0
colin-thompson,0.0
james-winchester,0.0
patrick-scales,0.0
andrew-depaola,0.0
