name,MISC_FPTS/G
austin-ekeler,18.8
christian-mccaffrey,18.5
josh-jacobs,17.8
derrick-henry,17.9
nick-chubb,15.8
saquon-barkley,16.0
tony-pollard,14.3
jamaal-williams,12.9
aaron-jones,12.9
dalvin-cook,12.8
rhamondre-stevenson,12.6
joe-mixon,14.0
miles-sanders,12.2
najee-harris-rb,11.9
leonard-fournette,11.9
kenneth-walker-rb,12.6
travis-etienne,11.0
alvin-kamara,12.2
ezekiel-elliott,11.8
james-conner,13.6
jerick-mckinnon,9.9
dandre-swift,11.9
david-montgomery,10.0
devin-singletary,9.4
aj-dillon,9.0
raheem-mostert,9.6
dameon-pierce,11.6
tyler-allgeier,9.5
jeffery-wilson,9.2
cordarrelle-patterson,11.1
antonio-gibson,9.5
latavius-murray,10.1
cam-akers,9.0
jonathan-taylor,11.0
donta-foreman,8.0
isiah-pacheco,7.6
samaje-perine,7.7
rachaad-white,6.7
khalil-herbert,8.7
kareem-hunt,6.4
brian-robinson-jr,9.0
breece-hall,15.1
michael-carter-rb,6.6
james-cook,5.7
kenyan-drake,8.0
clyde-edwards-helaire,9.0
james-robinson,7.6
damien-harris-rb,7.5
alexander-mattison,4.8
chuba-hubbard,5.8
jaylen-warren,5.0
jk-dobbins,9.7
eno-benjamin,5.9
kenneth-gainwell,4.5
melvin-gordon,7.5
deon-jackson,5.8
dontrell-hilliard,5.6
nyheim-hines,4.2
chase-edmonds,5.1
darrell-henderson,6.5
jamycal-hasty,4.3
gus-edwards,6.6
zack-moss,4.5
joshua-kelley,4.8
rex-burkhead,3.5
zonovan-bam-knight,7.5
rashaad-penny,10.0
matt-breida,2.9
justin-jackson-rb,3.0
kyle-juszczyk,3.4
caleb-huntley,3.7
boston-scott,2.9
jd-mckissic,4.7
elijah-mitchell-rb,8.4
mark-ingram,4.2
ameer-abdullah,2.6
deejay-dallas,2.6
dare-ogunbowale,2.6
raheem-blackshear,2.9
ty-johnson,3.1
justice-hill,2.4
travis-homer,2.9
marlon-mack,4.3
javonte-williams,8.5
jordan-mason,2.7
malik-davis,5.2
alec-ingold,2.6
gary-brightwell,1.8
cj-ham,2.4
craig-reynolds,3.8
kyren-williams,3.3
avery-williams-cb,1.5
mike-boone,3.0
brandon-bolden,2.0
pierre-strong-jr,2.4
jonathan-williams,2.5
hassan-haskins,1.5
tevin-coleman,6.8
sony-michel,2.0
malcolm-brown,2.9
corey-clement,3.9
darrel-williams,3.8
reggie-gilliam,2.3
benjamin-snell-jr,2.0
derek-watt,1.5
zander-horvath,2.0
keaontay-ingram,1.5
royce-freeman,3.2
ronald-jones-ii,3.1
patrick-ricard,1.1
salvon-ahmed,2.0
phillip-lindsay,3.9
jordan-wilkins,2.9
chris-evans,1.1
kevin-harris,2.2
kene-nwangwu,0.8
snoop-conner,2.0
darrynton-evans,3.4
tyrion-davis-price,2.0
tyler-badie,8.9
ty-montgomery,8.8
keshawn-vaughn,1.0
tony-jones,2.6
jaret-patterson,3.9
ronnie-rivers,3.8
myles-gaskin,3.7
david-johnson-rb,1.8
trayveon-williams,0.8
zamir-white,0.6
isaiah-spiller,1.4
julius-chestnut,1.1
spencer-brown,3.2
patrick-taylor,0.8
trestan-ebner,0.5
anthony-mcfarland,5.1
dwayne-washington,0.7
larry-rountree-iii,1.4
jonathan-ward,1.1
dernest-johnson,0.4
giovani-bernard,0.9
jakob-johnson,0.3
adam-prentice,0.6
mike-davis-rb,0.6
michael-burton,0.2
jj-taylor,2.2
ty-chandler,1.0
trey-sermon,1.9
keith-smith,0.2
demetric-felton,0.2
devine-ozigbo,0.4
jerome-ford,0.1
godwin-igwebuike,0.2
tyson-williams,1.0
reggie-bonnafon,0.8
kylin-hill,0.7
duke-johnson,0.4
damien-williams,0.2
jordan-howard,0.1
lamical-perine,0.0
chris-myarick,0.0
