name,MISC_FPTS/G
austin-ekeler,21.9
christian-mccaffrey,21.0
josh-jacobs,19.3
derrick-henry,18.9
saquon-barkley,17.8
nick-chubb,16.6
rhamondre-stevenson,14.7
tony-pollard,15.6
aaron-jones,14.6
joe-mixon,16.0
dalvin-cook,14.0
leonard-fournette,14.2
jamaal-williams,13.3
najee-harris-rb,13.1
miles-sanders,12.7
alvin-kamara,14.1
travis-etienne,12.1
kenneth-walker-rb,13.5
james-conner,15.4
jerick-mckinnon,11.5
dandre-swift,13.7
ezekiel-elliott,12.4
devin-singletary,10.5
david-montgomery,11.1
raheem-mostert,10.5
aj-dillon,9.9
dameon-pierce,12.8
antonio-gibson,11.1
tyler-allgeier,10.0
jeffery-wilson,9.9
cordarrelle-patterson,11.9
latavius-murray,11.0
jonathan-taylor,12.2
samaje-perine,8.9
cam-akers,9.4
rachaad-white,8.2
isiah-pacheco,7.9
donta-foreman,8.2
kareem-hunt,7.5
michael-carter-rb,7.9
khalil-herbert,9.1
breece-hall,16.4
brian-robinson-jr,9.4
james-cook,6.3
kenyan-drake,8.7
clyde-edwards-helaire,9.8
jaylen-warren,5.8
damien-harris-rb,8.3
eno-benjamin,6.9
james-robinson,8.1
alexander-mattison,5.2
kenneth-gainwell,5.2
chuba-hubbard,6.3
melvin-gordon,8.7
deon-jackson,7.0
nyheim-hines,5.1
jk-dobbins,10.2
dontrell-hilliard,6.4
chase-edmonds,5.7
darrell-henderson,7.4
rex-burkhead,4.8
jamycal-hasty,5.0
joshua-kelley,5.4
zack-moss,5.0
matt-breida,3.5
gus-edwards,6.6
zonovan-bam-knight,8.4
jd-mckissic,6.2
ameer-abdullah,3.4
kyle-juszczyk,4.1
rashaad-penny,10.4
justin-jackson-rb,3.4
mark-ingram,5.0
dare-ogunbowale,3.2
deejay-dallas,3.1
boston-scott,3.1
caleb-huntley,3.7
elijah-mitchell-rb,8.7
travis-homer,3.6
raheem-blackshear,3.3
ty-johnson,3.6
javonte-williams,10.5
justice-hill,2.8
marlon-mack,4.8
alec-ingold,3.2
malik-davis,5.7
jordan-mason,2.7
avery-williams-cb,1.9
cj-ham,2.8
craig-reynolds,4.4
kyren-williams,3.8
gary-brightwell,1.9
brandon-bolden,2.4
mike-boone,3.6
pierre-strong-jr,2.7
jonathan-williams,2.9
hassan-haskins,1.9
sony-michel,2.5
malcolm-brown,3.3
reggie-gilliam,2.8
tevin-coleman,7.3
corey-clement,4.4
darrel-williams,4.2
derek-watt,1.7
patrick-ricard,1.5
royce-freeman,3.8
benjamin-snell-jr,2.1
zander-horvath,2.3
keaontay-ingram,1.6
ronald-jones-ii,3.2
phillip-lindsay,4.9
jordan-wilkins,3.7
salvon-ahmed,2.0
chris-evans,1.3
kene-nwangwu,0.8
kevin-harris,2.2
darrynton-evans,3.6
tony-jones,3.5
ty-montgomery,10.3
snoop-conner,2.0
keshawn-vaughn,1.1
ronnie-rivers,5.0
tyrion-davis-price,2.0
myles-gaskin,4.7
tyler-badie,9.4
david-johnson-rb,2.3
isaiah-spiller,1.7
julius-chestnut,1.4
trayveon-williams,0.9
jaret-patterson,3.9
spencer-brown,3.7
zamir-white,0.6
trestan-ebner,0.6
anthony-mcfarland,6.1
jakob-johnson,0.5
patrick-taylor,0.8
dwayne-washington,0.8
dernest-johnson,0.5
larry-rountree-iii,1.8
jonathan-ward,1.3
adam-prentice,0.8
giovani-bernard,1.2
mike-davis-rb,0.8
michael-burton,0.3
jj-taylor,2.7
demetric-felton,0.4
keith-smith,0.2
ty-chandler,1.0
trey-sermon,1.9
devine-ozigbo,0.6
godwin-igwebuike,0.3
tyson-williams,1.5
jerome-ford,0.1
reggie-bonnafon,0.8
kylin-hill,0.7
duke-johnson,0.4
damien-williams,0.2
jordan-howard,0.1
lamical-perine,0.0
chris-myarick,0.0
austin-walter,0.0
rico-dowdle,0.0
mike-weber,0.0
qadree-ollison,0.0
khari-blasingame,0.0
john-lovett,0.0
andrew-beck,0.0
cullen-gillaspia,0.0
sandro-platzgummer,0.0
kennedy-brooks,0.0
mohamed-ibrahim,0.0
jason-huntley,0.0
jermar-jefferson,0.0
jake-bargas,0.0
john-lovett,0.0
brittain-brown,0.0
troy-hairston-ii,0.0
dewayne-mcbride,0.0
sean-tucker,0.0
clint-ratkovich,0.0
kendre-miller,0.0
israel-abanikanda,0.0
bryant-koback,0.0
greg-bell,0.0
roschon-johnson,0.0
ronnie-brown,0.0
hunter-luepke,0.0
zach-ojile,0.0
ellis-merriweather,0.0
alfonzo-graham,0.0
emanuel-wilson,0.0
jaleel-mclaughlin,0.0
owen-wright,0.0
chris-brooks,0.0
jordan-mims,0.0
deneric-prince,0.0
travis-dye,0.0
darius-hagans,0.0
robert-burns,0.0
hassan-hall,0.0
jacob-saylors,0.0
calvin-tyler,0.0
henry-pearson,0.0
tyjae-spears,0.0
keaton-mitchell,0.0
xazavian-valladay,0.0
camerun-peoples,0.0
kenny-mcintosh,0.0
tiyon-evans,0.0
evan-hull,0.0
chase-brown,0.0
emari-demercado,0.0
derek-parish,0.0
carlos-washington,0.0
ronald-awatt,0.0
khalan-laborn,0.0
jack-colletto,0.0
chuck-mcclelland,0.0
tyler-hoosman,0.0
elijah-dotson,0.0
jordan-byrd,0.0
monte-pottebaum,0.0
lew-nichols-iii,0.0
javian-hawkins,0.0
zach-charbonnet,0.0
devon-achane,0.0
bijan-robinson,0.0
zach-evans,0.0
sincere-mccormick,0.0
nate-mccrary,0.0
ben-mason,0.0
gerrid-doaks,0.0
jake-funk,0.0
chris-rodriguez,0.0
deuce-vaughn,0.0
tyler-goodson,0.0
jahmyr-gibbs,0.0
jashaun-corbin,0.0
tank-bigsby,0.0
eric-gray,0.0
jerrion-ealy,0.0
patrick-laird,0.0
nick-bellore,0.0
chad-spann,0.0
jay-finley,0.0
shane-bannon,0.0
garrett-mills,0.0
kenjon-barner,0.0
kenny-irons,0.0
anthony-alridge,0.0
dantrell-savage,0.0
chad-simpson,0.0
samkon-gado,0.0
xavier-omon,0.0
madison-hedgecock,0.0
taquan-mizzell,0.0
alex-armah,0.0
brandin-bryant,0.0
jp-holtz,0.0
jason-cabinda,0.0
nick-bawden,0.0
trenton-cannon,0.0
john-kelly,0.0
tim-flanders,0.0
willie-carter,0.0
brennan-clay,0.0
taiwan-jones,-0.3
