name,MISC_FPTS/G
justin-jefferson,17.9
davante-adams,16.8
tyreek-hill,16.6
stefon-diggs,15.7
aj-brown,15.0
ceedee-lamb,14.6
jaylen-waddle,13.0
amonra-stbrown,13.4
amari-cooper,12.2
devonta-smith,12.2
christian-kirk,11.8
jamarr-chase,15.3
tyler-lockett,12.2
terry-mclaurin,11.2
brandon-aiyuk,11.1
mike-evans,12.5
tee-higgins,12.4
dk-metcalf,10.7
garrett-wilson,10.2
chris-godwin,11.4
jerry-jeudy,11.4
dj-moore-wr,9.9
michael-pittman,10.4
cooper-kupp,18.2
chris-olave,10.8
zay-jones,9.8
gabriel-davis,9.8
jakobi-meyers,10.5
juju-smith-schuster,9.1
tyler-boyd,8.6
mike-williams-wr,11.2
adam-thielen,8.5
allen-lazard,9.7
curtis-samuel,8.5
christian-watson,10.3
drake-london,8.4
george-pickens,8.3
deebo-samuel,10.8
diontae-johnson,8.1
donovan-peoples-jones,8.0
josh-palmer,8.3
keenan-allen,13.1
courtland-sutton,8.5
mack-hollins,7.4
kj-osborn,7.4
marquise-brown,10.2
deandre-hopkins,13.3
parris-campbell,6.9
brandin-cooks,9.0
jahan-dotson,9.4
darius-slayton,8.1
richie-james,6.5
marquez-valdesscantling,6.0
isaiah-mckenzie,6.2
russell-gage,7.5
devin-duvernay,7.0
marvin-jones,5.9
noah-brown,5.8
kalif-raymond,5.5
alec-pierce,5.7
chris-moore,6.1
olamide-zaccheaus,5.3
deandre-carter,5.3
robert-woods,5.2
devante-parker,6.7
greg-dortch,5.4
rashid-shaheed,7.2
michael-gallup,6.1
josh-reynolds,7.1
dj-chark,7.6
chase-claypool,5.5
isaiah-hodgins,9.1
corey-davis,6.3
darnell-mooney,7.4
mecole-hardman,10.2
romeo-doubs,6.2
demarcus-robinson,5.0
nico-collins,7.9
marquise-goodwin,5.9
treylon-burks,6.5
kendrick-bourne,4.4
nick-westbrook,4.4
elijah-moore,4.4
terrace-marshall,5.3
trent-sherfield,4.3
allen-robinson,6.8
quez-watkins,4.0
rondale-moore,8.4
van-jefferson,6.7
jauan-jennings,4.1
ben-skowronek,4.6
randall-cobb,5.0
hunter-renfrow,6.1
jamal-agnew,4.1
nelson-agholor,4.0
laviska-shenault,4.6
julio-jones,5.8
trenton-irwin,6.2
dante-pettis,3.3
tyquan-thornton,4.6
equanimeous-st-brown,3.4
tutu-atwell,4.5
ray-ray-mccloud-iii,3.0
justin-watson,3.0
shi-smith,3.0
aj-green,3.8
kadarius-toney,5.5
braxton-berrios,2.9
jarvis-landry,5.3
rashod-bateman,7.7
damiere-byrd,3.8
kendall-hinton,4.0
trequan-smith,4.3
michael-thomas-wr,14.4
robby-anderson,3.5
phillip-dorsett,2.8
wandale-robinson,6.7
sammy-watkins,4.3
brandon-powell,2.1
ashton-dulin,3.5
khadarel-hodge,2.7
david-bell,2.2
skyy-moore,2.0
amari-rodgers,2.1
scott-miller,2.6
velus-jones,2.8
byron-pringle,3.1
dyami-brown,3.4
marquez-callaway,3.0
khalil-shakir,2.9
zach-pascal,1.9
jalen-nailor,3.6
sterling-shepard,9.3
river-cracraft,3.3
keelan-cole,2.1
steven-sims,2.0
lawrence-cager,4.1
denzel-mims,2.7
jalen-reagor,1.3
kj-hamler,3.2
nkeal-harry,3.5
cedrick-wilson,1.6
desean-jackson,2.8
breshad-perriman,2.4
tom-kennedy,2.6
jeff-smith,2.5
kenny-golladay,2.9
anthony-schwartz,2.4
samori-toure,4.2
david-sills-v,2.3
ty-hilton,5.2
jameson-williams,2.4
marcus-johnson,1.8
michael-bandy,1.7
cam-sims,1.0
dax-milne,0.8
jalen-virgil,1.8
brandon-johnson,2.2
john-brown,5.4
dee-eskridge,1.1
gunner-olszewski,0.6
freddie-swain,3.1
james-proche-ii,0.8
jamison-crowder,2.3
trent-taylor,0.5
jake-kumerow,1.7
kevin-white,1.4
deven-thompkins,1.7
andre-baccellia,1.6
kyle-philips,2.0
mike-strachan,1.2
jalen-guyton,3.7
laquon-treadwell,2.4
cody-hollister,1.2
mike-thomas,1.4
chris-conley,1.7
michael-woods-ii,0.8
