name,MISC_FPTS/G
justin-jefferson,21.7
tyreek-hill,20.1
davante-adams,19.7
stefon-diggs,18.9
ceedee-lamb,17.7
aj-brown,17.6
amonra-stbrown,16.7
jaylen-waddle,15.2
devonta-smith,15.0
amari-cooper,14.5
jamarr-chase,18.6
christian-kirk,14.2
tyler-lockett,14.8
terry-mclaurin,13.5
brandon-aiyuk,13.4
dk-metcalf,13.3
mike-evans,15.0
tee-higgins,14.9
chris-godwin,14.9
michael-pittman,13.5
garrett-wilson,12.7
jerry-jeudy,13.6
cooper-kupp,22.4
dj-moore-wr,11.7
chris-olave,13.2
zay-jones,12.4
juju-smith-schuster,11.6
diontae-johnson,10.6
jakobi-meyers,12.9
adam-thielen,10.6
drake-london,10.5
mike-williams-wr,13.6
curtis-samuel,10.4
tyler-boyd,10.3
allen-lazard,11.7
gabriel-davis,11.4
josh-palmer,10.6
deebo-samuel,13.0
donovan-peoples-jones,9.8
george-pickens,9.8
christian-watson,11.7
keenan-allen,16.4
courtland-sutton,10.6
marquise-brown,13.0
kj-osborn,9.2
mack-hollins,9.1
deandre-hopkins,16.9
parris-campbell,8.8
brandin-cooks,11.2
richie-james,8.3
jahan-dotson,10.9
darius-slayton,9.9
russell-gage,9.5
marquez-valdesscantling,7.2
isaiah-mckenzie,7.5
marvin-jones,7.3
kalif-raymond,6.8
devin-duvernay,8.3
robert-woods,6.8
chris-moore,7.7
noah-brown,7.2
greg-dortch,7.1
deandre-carter,6.6
alec-pierce,7.0
olamide-zaccheaus,6.5
michael-gallup,7.5
chase-claypool,7.0
josh-reynolds,8.7
demarcus-robinson,6.5
devante-parker,7.9
romeo-doubs,7.8
darnell-mooney,9.2
rashid-shaheed,8.4
isaiah-hodgins,11.1
dj-chark,8.9
corey-davis,7.5
nico-collins,9.7
mecole-hardman,11.7
marquise-goodwin,6.9
kendrick-bourne,5.5
elijah-moore,5.5
treylon-burks,8.0
rondale-moore,11.0
allen-robinson,8.5
quez-watkins,5.0
ben-skowronek,6.0
trent-sherfield,5.2
terrace-marshall,6.4
nick-westbrook,5.2
jauan-jennings,5.2
randall-cobb,6.3
hunter-renfrow,7.9
van-jefferson,7.9
nelson-agholor,5.0
laviska-shenault,5.6
jamal-agnew,4.8
julio-jones,7.0
tyquan-thornton,5.5
dante-pettis,3.8
equanimeous-st-brown,4.0
trenton-irwin,7.0
tutu-atwell,5.3
aj-green,4.7
shi-smith,3.6
jarvis-landry,6.7
justin-watson,3.4
ray-ray-mccloud-iii,3.4
braxton-berrios,3.4
kadarius-toney,6.4
kendall-hinton,5.1
rashod-bateman,8.9
trequan-smith,5.3
robby-anderson,4.4
damiere-byrd,4.3
phillip-dorsett,3.4
wandale-robinson,8.6
michael-thomas-wr,17.0
brandon-powell,2.8
sammy-watkins,5.2
david-bell,3.0
skyy-moore,2.7
ashton-dulin,4.3
scott-miller,3.5
khadarel-hodge,3.2
amari-rodgers,2.6
marquez-callaway,3.8
zach-pascal,2.4
byron-pringle,3.6
sterling-shepard,11.5
khalil-shakir,3.4
velus-jones,3.1
jalen-nailor,4.1
dyami-brown,3.6
steven-sims,2.6
river-cracraft,3.9
lawrence-cager,5.1
keelan-cole,2.5
denzel-mims,3.3
jalen-reagor,1.6
cedrick-wilson,2.0
kj-hamler,3.7
nkeal-harry,4.1
desean-jackson,3.5
breshad-perriman,2.9
tom-kennedy,3.2
david-sills-v,3.1
jeff-smith,3.1
kenny-golladay,3.4
samori-toure,4.8
ty-hilton,6.4
marcus-johnson,2.4
michael-bandy,2.4
anthony-schwartz,2.7
cam-sims,1.3
dax-milne,1.0
jameson-williams,2.5
brandon-johnson,2.8
dee-eskridge,1.5
jalen-virgil,1.9
james-proche-ii,1.1
gunner-olszewski,0.8
jamison-crowder,3.0
kyle-philips,3.0
trent-taylor,0.7
andre-baccellia,2.3
freddie-swain,3.8
john-brown,5.6
deven-thompkins,2.2
jake-kumerow,2.1
laquon-treadwell,3.4
cole-beasley,1.9
kevin-white,1.6
michael-woods-ii,1.1
mike-strachan,1.5
chris-conley,2.2
jalen-guyton,4.2
cody-hollister,1.4
mike-thomas,1.6
tylan-wallace,1.2
racey-mcmath,1.6
tim-jones,0.9
simi-fehoko,1.8
montrell-washington,0.3
penny-hart,1.7
tyrie-cleveland,1.0
jaelon-darden,0.3
bryan-edwards,1.1
daylen-baldwin,4.5
dezmon-patmon,4.4
dareke-young,0.6
andy-isabella,1.1
pharoh-cooper,0.8
cade-johnson,2.1
liljordan-humphrey,1.0
keith-kirkwood,1.3
dennis-houston,1.8
quintez-cephus,1.2
nsimba-webster,3.4
austin-trammell,1.7
jalen-tolbert,1.1
miles-boykin,0.3
danny-gray,0.4
juwann-winfree,0.9
dj-turner,0.4
frank-darby,2.5
tyron-johnson,0.9
