NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM TGT %,Catches,Catch %,TD
"Davante Adams","WR","GB",1,17,3,"","","",10,16,12,12,12,8,9,12,10,10,12,6,149,10.6,34.5,115,77.2,18
"DeAndre Hopkins","WR","ARI",1,16,9,12,9,7,8,12,"",3,12,8,7,13,11,11,12,10,160,10,27.8,115,71.9,6
"Amari Cooper","WR","DAL",1,14,9,12,16,4,10,7,5,6,"",7,8,9,5,3,6,9,130,8.1,20.3,92,70.8,5
"Cam Sims","WR","WAS",2,13,"","",2,"",1,1,"",4,5,2,"",9,2,8,9,5,48,3,2.2,32,66.7,1
"Jamison Crowder","WR","NYJ",3,13,"","",10,10,13,"","",2,"",3,5,7,5,8,9,4,89,7.4,17.8,59,66.3,6
"Calvin Ridley","WR","ATL",1,12,10,13,5,10,7,7,4,"","",9,9,10,12,14,9,12,143,9.5,22.8,90,62.9,9
"Julio Jones","WR","ATL",1,12,4,"",4,"",10,9,10,7,"",2,"",10,"","","","",68,7.6,10.8,51,75,3
"Russell Gage","WR","ATL",1,12,9,3,3,5,4,7,3,6,"",12,5,8,7,10,5,11,109,6.8,17.4,72,66.1,4
"Diontae Johnson","WR","PIT",1,10,13,2,"",1,"",15,3,10,11,16,13,12,"","","","",144,9.6,2,88,61.1,7
"John Brown","WR","BUF",3,10,6,2,5,"",4,"",2,11,8,"","","","","","",4,52,5.8,2.5,33,63.5,3
"Odell Beckham Jr.","WR","CLE",1,10,6,6,8,9,4,1,"","","","","","","","","","",43,6.1,8.6,23,53.5,3
"Quintez Cephus","WR","DET",1,10,3,"","","","","","",2,2,2,2,4,2,3,2,3,35,2.7,6,20,57.1,2
"William Fuller V","WR","HOU",4,10,"",5,7,8,11,6,"",5,8,8,7,"","","","","",75,6.8,13.7,53,70.7,8
"A.J. Green","WR","CIN",1,9,13,6,5,1,11,13,5,"",5,9,3,1,7,3,7,6,104,6.5,17.9,47,45.2,2
"Allen Robinson II","WR","CHI",1,9,9,13,10,16,9,4,7,9,9,"",13,7,13,5,13,5,151,9.4,1.1,102,67.5,6
"Dallas Goedert","TE","PHI",1,9,8,1,"","","","",1,"",6,6,10,7,6,8,3,"",65,5.9,10.9,46,70.8,3
"Darius Slayton","WR","NYG",1,9,6,7,7,11,4,4,9,1,7,"",2,1,8,9,8,4,96,6,18.6,50,52.1,3
"DJ Moore","WR","CAR",1,9,13,4,6,5,11,5,6,3,7,11,9,"","",8,10,11,118,7.9,21.5,66,55.9,4
"Mike Williams","WR","LAC",1,9,4,1,"",8,"",3,8,7,5,7,5,9,"",2,10,7,85,5.7,13.6,48,56.5,5
"Parris Campbell","WR","IND",1,9,"","","","","","","","","","","","","","","","",9,4.5,1.6,6,66.7,0
"Sammy Watkins","WR","KC",1,9,3,8,7,2,"","","","","","",7,6,3,6,4,"",55,3.4,8.7,37,67.3,2
"Saquon Barkley","RB","NYG",1,9,"","","","","","","","","","","","","","","","",9,4.5,1.7,6,66.7,0
"Stefon Diggs","WR","BUF",1,9,13,6,7,16,8,11,9,12,11,"",9,11,14,13,11,8,166,10.4,3.4,127,76.5,8
"T.Y. Hilton","WR","IND",3,9,5,3,5,10,5,"",2,"",5,6,5,11,7,6,7,7,93,6.2,0.9,56,60.2,5
"Adam Thielen","WR","MIN",1,8,8,5,10,13,5,"",4,5,7,11,"",11,4,3,9,5,108,7.2,20.9,74,68.5,14
"A.J. Brown","WR","TEN",1,8,"","","",9,7,8,7,9,4,7,6,7,9,6,8,11,106,7.6,22.9,70,66,11
"Alvin Kamara","RB","NO",1,8,9,14,4,10,"",8,13,6,8,1,2,3,10,6,5,"",107,6.7,20.5,83,77.6,5
"Corey Davis","WR","TEN",1,8,5,6,"","","",10,10,3,6,7,3,12,3,6,2,11,92,6.6,0.4,65,70.7,5
"Curtis Samuel","WR","CAR",1,8,2,4,4,5,"",6,5,9,5,10,5,"",9,9,5,11,97,6.5,17.6,77,79.4,3
"Darren Waller","TE","OAK",1,8,16,4,12,7,"",9,6,10,5,7,7,17,10,12,6,10,145,9.1,26.3,107,73.8,9
"DK Metcalf","WR","SEA",1,8,6,8,6,11,"",5,15,9,4,5,13,8,8,6,8,9,129,8.1,23.9,83,64.3,10
"Hunter Henry","TE","LAC",2,8,8,7,3,8,"",7,4,7,6,7,10,2,8,7,"","",93,6.6,14.8,60,64.5,4
"Jerry Jeudy","WR","DEN",1,8,7,9,4,"",5,4,10,14,8,8,1,4,4,5,15,7,113,7.1,20.3,52,46,3
"Keenan Allen","WR","LAC",1,8,10,19,12,2,"",13,11,11,7,19,10,11,11,3,"","",147,10.5,23.4,100,68,8
"Logan Thomas","TE","WAS",1,8,9,7,4,4,4,4,"",6,6,5,4,9,7,15,12,6,110,6.9,19.3,72,65.5,6
"Marvin Jones Jr.","WR","DET",1,8,6,3,2,"",5,6,7,4,10,6,12,12,8,12,3,11,115,7.2,19.8,76,66.1,9
"Nyheim Hines","RB","IND",2,8,1,5,3,4,6,"",5,3,6,4,10,3,4,3,5,7,76,4.8,0.5,63,82.9,4
"Robby Anderson","WR","CAR",1,8,10,6,11,12,5,8,8,13,6,9,7,"",12,5,10,7,136,8.5,24.7,95,69.9,3
"Robert Woods","WR","LAR",1,8,5,6,7,5,10,5,8,"",6,15,12,11,8,8,9,7,129,8.1,3.1,90,69.8,6
"Tyler Lockett","WR","SEA",1,8,8,13,4,5,"",20,5,7,9,9,4,9,5,7,5,14,132,8.2,24.6,100,75.8,10
"Adam Humphries","WR","TEN",1,7,6,7,"","",6,3,2,"","","","",4,"","","","",35,5,7.2,23,65.7,2
"Chris Godwin","WR","TB",1,7,"",6,"","",7,9,"",6,6,10,9,"",3,5,9,7,84,7,13.9,65,77.4,7
"Chris Herndon","TE","NYJ",2,7,4,5,3,3,"",1,2,"","",3,"","",1,4,4,9,45,2.8,9,31,68.9,3
"Cole Beasley","WR","BUF",1,7,6,7,4,6,7,12,2,3,13,"",4,11,10,10,5,"",107,7.1,1.5,82,76.6,4
"Danny Amendola","WR","DET",2,7,7,4,3,"",2,4,4,10,3,"","",5,7,4,7,2,69,4.9,11.9,46,66.7,0
"DeSean Jackson","WR","PHI",1,7,9,4,"","","",5,"","","","","","","","",1,"",26,5.2,4.3,14,53.8,1
"Devin Singletary","RB","BUF",2,7,3,5,6,1,2,5,1,3,5,"",3,4,1,3,2,1,50,3.1,1,38,76,0
"Evan Engram","TE","NYG",1,7,8,5,10,2,3,9,10,10,3,"",9,8,4,7,10,4,109,6.8,21.1,63,57.8,1
"Greg Ward","WR","PHI",2,7,1,11,7,5,3,6,5,"",6,4,3,5,5,5,3,3,79,4.9,13.2,53,67.1,6
"Jared Cook","TE","NO",1,7,5,3,"",3,"",4,7,3,2,1,2,5,4,5,4,5,60,3.8,11.5,37,61.7,7
"Jimmy Graham","TE","CHI",2,7,1,10,5,5,8,6,7,6,2,"",4,1,4,3,5,2,76,4.8,0.3,50,65.8,8
"Jonnu Smith","TE","TEN",1,7,5,8,"",7,2,4,2,2,6,6,"","",2,5,7,2,65,4.3,0.6,41,63.1,8
"Julian Edelman","WR","NE",1,7,11,6,6,"",6,3,"","","","","","","","","","",39,6.5,8.9,21,53.8,0
"Preston Williams","WR","MIA",2,7,5,2,3,5,3,"",5,5,"","","","","","","","",35,4.4,6.3,18,51.4,4
"Terry McLaurin","WR","WAS",1,7,10,8,14,7,12,11,"",8,9,7,9,6,6,12,"",8,134,8.9,1.2,87,64.9,4
"Zach Ertz","TE","PHI",2,7,7,10,5,6,10,"","","","","","",4,3,7,7,6,72,6.5,12,36,50,1
"Aaron Jones","RB","GB",1,6,8,4,5,"",5,"","",5,6,4,2,3,3,4,3,5,63,4.5,12.4,47,74.6,2
"Anthony Miller","WR","CHI",2,6,3,5,5,4,3,5,11,8,7,"",6,5,2,1,3,2,76,4.8,0.5,49,64.5,2
"CeeDee Lamb","WR","DAL",1,6,9,6,7,11,10,5,5,7,"",6,7,9,2,7,5,7,111,6.9,17.4,74,66.7,5
"Chris Carson","RB","SEA",1,6,3,3,4,7,"",2,"","","","",2,6,5,3,3,2,46,3.8,0.4,37,80.4,4
"Demarcus Robinson","WR","KC",1,6,4,1,"",4,6,1,5,3,"",8,6,2,1,3,2,7,59,3.7,9.4,45,76.3,3
"Jarvis Landry","WR","CLE",1,6,3,4,6,9,5,6,11,"",5,2,11,10,9,8,"",6,101,6.7,3.6,72,71.3,3
"Jonathan Taylor","RB","IND",1,6,2,1,1,3,4,"",3,2,2,4,"",3,2,5,1,2,39,2.6,0.7,36,92.3,1
"Josh Jacobs","RB","OAK",1,6,3,4,4,3,"",4,1,1,4,1,3,"",5,3,2,1,45,3,8.2,33,73.3,0
"JuJu Smith-Schuster","WR","PIT",1,6,8,5,"",5,4,14,8,7,13,5,9,10,7,6,13,8,128,8,2.9,97,75.8,9
"Kareem Hunt","RB","CLE",2,6,2,3,"",4,3,4,3,"",4,1,2,3,7,3,5,1,51,3.2,10.9,38,74.5,5
"Mark Andrews","TE","BAL",1,6,3,8,3,9,4,"",6,5,9,7,"","",6,5,11,7,88,6.3,4.2,58,65.9,7
"Marquez Valdes-Scantling","WR","GB",1,6,7,4,8,"",5,4,1,4,6,6,"",2,6,1,"",3,63,3.9,1.5,33,52.4,6
"Marquise Brown","WR","BAL",1,6,6,6,8,10,6,"",2,5,6,3,8,8,6,7,4,8,100,6.2,3.9,58,58,8
"N'Keal Harry","WR","NE",2,6,12,4,6,"",2,2,"","","",8,3,3,4,2,4,2,57,4.1,13,33,57.9,2
"Noah Fant","TE","DEN",1,6,5,10,6,"","",7,9,3,7,5,2,7,"",11,9,6,93,6.2,16.7,62,66.7,3
"O.J. Howard","TE","TB",2,6,3,4,6,"","","","","","","","","","","","","",19,4.8,3,11,57.9,2
"Scotty Miller","WR","TB",2,6,3,5,7,"",2,9,6,3,1,"",1,"",2,3,2,3,53,3.3,0.5,33,62.3,3
"Sterling Shepard","WR","NYG",1,6,4,"","","","",8,10,8,6,"",8,6,5,7,12,10,90,7.5,17.4,66,73.3,3
"Travis Kelce","TE","KC",1,6,14,7,6,12,7,3,12,12,"",10,8,13,10,12,13,"",145,9.1,23,105,72.4,11
"Tyreek Hill","WR","KC",1,6,11,6,6,6,3,10,6,18,"",14,15,10,7,10,6,"",134,8.4,21.3,87,64.9,15
"Brandin Cooks","WR","HOU",1,5,8,5,3,12,9,9,"",9,8,5,5,8,"",7,10,16,119,7.9,21.8,81,68.1,6
"Breshad Perriman","WR","NYJ",2,5,2,"","","",8,2,"",7,"",4,8,4,6,1,6,6,60,5,12,30,50,3
"Chase Edmonds","RB","ARI",1,5,4,2,6,6,2,7,"",3,3,4,5,6,5,5,3,2,67,4.2,11.7,53,79.1,4
"Christian Kirk","WR","ARI",2,5,4,"",5,7,3,8,"",8,6,6,6,3,4,4,10,"",79,5.6,13.7,48,60.8,6
"C.J. Uzomah","TE","CIN",1,5,6,"","","","","","","","","","","","","","","",11,5.5,1.9,8,72.7,1
"Cooper Kupp","WR","LAR",1,5,6,10,7,8,9,6,21,"",7,13,5,9,5,5,9,"",124,8.3,22.1,92,74.2,3
"D'Andre Swift","RB","DET",1,5,5,2,4,"",4,5,4,5,5,"","","",5,5,5,3,57,4.4,9.8,46,80.7,2
"Dontrelle Inman","WR","WAS",3,5,5,6,5,1,5,"","","","","",1,"","","","","",28,2.8,0,18,64.3,2
"Emmanuel Sanders","WR","NO",1,5,3,5,9,14,"","","",5,1,5,1,6,5,5,5,13,82,5.1,15.7,61,74.4,5
"George Kittle","TE","SF",1,5,"","",15,8,10,7,4,"","","","","","","",5,9,63,7.9,11.1,48,76.2,2
"Giovani Bernard","RB","CIN",3,5,7,3,"",2,3,5,4,"",7,5,3,2,3,1,8,1,59,3.7,10.2,47,79.7,3
"Hayden Hurst","TE","ATL",2,5,8,3,6,6,4,7,7,8,"",2,8,4,3,5,5,6,88,5.5,14,56,63.6,6
"Henry Ruggs III","WR","OAK",1,5,3,"","",3,"",3,4,3,4,1,5,4,3,"",2,3,43,3.3,7.8,26,60.5,2
"Isaiah Ford","WR","MIA",3,5,9,2,10,2,"","",1,"","","","","","",3,5,7,44,4.4,7.9,28,63.6,0
"J.D. McKissic","RB","WAS",2,5,"",4,8,8,6,2,"",14,15,4,2,10,4,10,10,8,110,6.9,0.5,80,72.7,2
"Jerick McKinnon","RB","SF",3,5,1,4,8,4,3,"",4,4,3,"",3,"","",2,4,1,46,2.9,8.1,33,71.7,1
"John Ross","WR","CIN",3,5,2,"","","","","","","","","","","","","","","",7,2.3,1.2,2,28.6,0
"Keelan Cole","WR","JAX",1,5,7,5,5,6,9,2,"",2,7,5,6,2,12,2,4,7,88,5.5,14.3,55,62.5,5
"Kendrick Bourne","WR","SF",1,5,5,6,6,4,3,1,10,"",5,"",5,6,7,4,1,6,74,4.9,13,49,66.2,2
"Larry Fitzgerald","WR","ARI","",5,7,3,3,7,4,8,"",5,5,10,"","",3,4,8,"",72,5.5,12.5,54,75,1
"Michael Gallup","WR","DAL",1,5,5,9,5,4,6,2,12,7,"",5,8,11,6,5,8,8,105,6.6,16.4,59,56.2,5
"Michael Thomas","WR","NO",3,5,"","","","","","","",6,7,12,6,11,8,"","","",55,4.2,10.5,40,72.7,0
"Mike Gesicki","TE","MIA",1,5,11,3,3,6,2,"",2,4,5,5,5,11,6,"",7,10,85,5.7,15.2,53,62.4,6
"Raheem Mostert","RB","SF",1,5,2,"","",3,2,"","","","","",2,1,4,"","","",19,2.4,3.3,16,84.2,1
"Tim Patrick","WR","DEN",2,5,5,4,7,"",8,4,"",9,"",8,2,4,5,4,4,4,79,5.3,14.2,51,64.6,6
"T.J. Hockenson","TE","DET",1,5,4,7,4,"",5,6,10,8,4,7,8,9,11,4,6,3,101,6.3,17.4,67,66.3,6
"Todd Gurley II","RB","ATL","",5,"",2,1,5,4,3,"",2,"",2,"",1,3,2,3,1,35,2.3,5.6,25,71.4,0
"Trent Taylor","WR","SF",3,5,3,1,1,"",2,"",4,4,"","","","","","","","",21,1.8,3.7,10,47.6,0
"Tyler Boyd","WR","CIN",1,5,8,13,8,6,8,13,7,"",8,11,6,4,9,1,"",3,110,7.3,18.9,79,71.8,4
"Alexander Mattison","RB","MIN",2,4,2,"","",3,2,"","","","","","","","",1,"",3,15,1.2,2.9,13,86.7,1
"Allen Lazard","WR","GB",2,4,5,8,"","","","","","","",4,6,4,3,6,2,4,46,4.6,1.5,33,71.7,3
"Chris Hogan","WR","NYJ",2,4,8,3,8,3,"","","","","","","","","","","","",26,5.2,5.2,14,53.8,0
"Christian McCaffrey","RB","CAR",1,4,5,"","","","","","",10,"","","","","","","","",19,6.3,3.5,17,89.5,1
"Dalton Schultz","TE","DAL",2,4,10,6,8,3,5,4,8,7,"",6,5,4,3,2,4,10,89,5.6,13.9,63,70.8,4
"David Johnson","RB","HOU",2,4,4,3,3,4,2,4,"",1,"","","",2,"","","","",46,3.8,8.4,33,71.7,2
"DeVante Parker","WR","MIA",1,4,8,5,12,3,8,"",2,7,7,9,14,8,2,"","",14,103,7.4,18.4,63,61.2,4
"Ezekiel Elliott","RB","DAL",1,4,7,12,8,2,11,2,2,3,"",2,3,6,3,"",4,4,71,4.7,11.1,52,73.2,2
"Greg Olsen","TE","SEA","",4,1,6,7,1,"",3,4,3,4,2,"","","","",2,"",37,3.4,0,24,64.9,1
"Jack Doyle","TE","IND",2,4,"","",1,2,3,"",3,2,"",2,1,1,3,2,6,3,33,2.4,1.6,23,69.7,3
"Jalen Reagor","WR","PHI",1,4,4,"","","","","",6,"",7,5,7,1,4,8,7,1,54,4.9,9,31,57.4,1
"Jamaal Williams","RB","GB",2,4,"",1,8,"",1,5,6,"",4,2,"",2,"",2,"","",35,2.5,0,31,88.6,1
"James Conner","RB","PIT",2,4,2,5,"",3,1,5,3,2,2,3,"","","","",5,8,43,3.3,0.8,35,81.4,0
"John Hightower","WR","PHI",3,4,"",3,2,6,4,2,3,"","","",1,2,"","","",2,29,2.2,4.8,10,34.5,0
"Laviska Shenault Jr.","WR","JAX",1,4,4,6,6,8,7,3,"",1,"","",4,3,11,6,7,9,79,5.6,12.8,58,73.4,5
"Malcolm Brown","RB","LAR",2,4,"",2,6,2,4,1,2,"",2,1,3,1,1,1,3,1,33,2.1,0.3,23,69.7,0
"Mike Evans","WR","TB",1,4,10,4,8,9,2,2,7,6,11,9,9,"",5,7,12,4,109,6.8,2.1,70,64.2,13
"Miles Boykin","WR","BAL",3,4,5,2,4,2,2,"",3,1,"","","",3,1,2,2,2,33,2.1,1.2,19,57.6,4
"Myles Gaskin","RB","MIA",1,4,7,5,4,5,4,"",6,"","","","",2,"","",5,5,47,4.7,8.4,41,87.2,2
"Bisi Johnson","WR","MIN",2,4,3,"",1,1,"","","","",1,1,7,"","","",1,"",19,1.2,3.7,14,73.7,0
"Tyler Higbee","TE","LAR",1,4,5,2,4,2,4,"",4,"",6,4,2,6,2,5,6,4,60,4,0.8,44,73.3,5
"Willie Snead IV","WR","BAL",2,4,2,2,2,3,2,"",7,4,7,7,"","",5,1,2,"",48,3.7,1.7,33,68.8,3
"Zack Moss","RB","BUF",1,4,"","","","","",3,1,2,2,"",2,1,1,"",1,1,18,1.4,0.7,14,77.8,1
"Adam Trautman","TE","NO",2,3,1,2,"","","",1,"",3,"",1,1,3,1,"",2,1,19,1.2,3.6,16,84.2,1
"Adrian Peterson","RB","DET","",3,"",1,2,"",1,1,1,5,1,1,"",1,1,"","","",18,1.1,3.1,12,66.7,0
"DaeSean Hamilton","WR","DEN",3,3,3,"",3,"",2,3,5,2,"","",1,"",1,"",9,6,44,2.8,7.9,23,52.3,2
"Darnell Mooney","WR","CHI",1,3,3,5,9,5,5,7,6,11,2,"",9,6,2,5,7,13,98,6.1,0,61,62.2,4
"David Montgomery","RB","CHI",1,3,3,3,6,8,5,5,5,3,"","",6,4,4,2,2,9,68,4.5,0.2,54,79.4,2
"David Moore","WR","SEA",2,3,3,1,4,3,"",3,3,6,3,2,3,2,5,4,1,1,47,2.9,0.2,35,74.5,6
"David Njoku","TE","CLE",2,3,"","","",1,3,3,3,"","",1,"",1,4,1,4,5,29,2.2,1.2,19,65.5,2
"Dawson Knox","TE","BUF",1,3,3,"",3,3,"","","","",3,"",1,4,7,4,4,8,44,3.7,0.8,24,54.5,3
"Derrick Henry","RB","TEN",1,3,2,3,"",2,5,2,1,"",2,2,4,1,2,2,"","",31,1.9,0.6,19,61.3,0
"Devontae Booker","RB","OAK",2,3,1,"","",1,"",2,1,"",1,1,4,2,3,"",2,"",21,1.3,3.8,17,81,0
"DJ Chark Jr.","WR","JAX",1,3,4,"",9,4,14,7,"",12,5,8,"",7,9,5,7,"",93,7.2,15.1,53,57,5
"Isaiah McKenzie","WR","BUF",2,3,2,2,1,4,1,2,"",1,1,"","",2,1,1,4,9,34,2.1,0.3,30,88.2,5
"Ito Smith","RB","ATL",15,3,"",2,3,"",1,1,"","","","",5,2,1,3,1,4,26,1.9,4.1,17,65.4,0
"Jakeem Grant Sr.","WR","MIA",2,3,1,1,4,3,4,"",2,5,5,6,2,6,5,"",6,"",54,3.9,9.7,36,66.7,1
"James Washington","WR","PIT",2,3,5,7,"",4,7,1,1,2,2,3,3,4,6,3,3,2,56,3.5,0.9,30,53.6,5
"James White","RB","NE",2,3,"","",8,"",9,1,4,5,2,9,1,4,2,4,3,7,62,4.4,14.1,49,79,1
"Justin Jefferson","WR","MIN",1,3,3,9,5,5,11,"",4,4,10,5,13,12,8,11,10,12,125,7.8,24.2,88,70.4,7
"KhaDarel Hodge","WR","CLE",3,3,2,1,"","","","","","",1,5,3,"","","","",2,17,1.9,0,11,64.7,0
"Marlon Mack","RB","IND",3,3,"","","","","","","","","","","","","","","","",3,3,0.5,3,100,0
"Melvin Gordon III","RB","DEN",1,3,3,6,3,"","",4,7,1,2,"","",2,3,4,"",6,44,2.9,7.9,32,72.7,1
"Mike Thomas","WR","CIN",2,3,4,2,1,1,3,3,"","",2,"","","",1,"",1,"",21,1.5,3.6,13,61.9,1
"Nick Boyle","TE","BAL",3,3,1,1,1,2,3,"",1,4,1,"","","","","","","",17,1.9,4.2,14,82.4,2
"Randall Cobb","WR","HOU",1,3,6,4,5,6,4,10,"",3,5,2,"","","","","","",48,4.8,8.8,38,79.2,3
"Rob Gronkowski","TE","TB",1,3,1,7,3,6,8,8,4,6,3,6,7,"",2,7,2,4,77,4.8,1,45,58.4,7
"Ronald Jones II","RB","TB",1,3,2,4,9,5,2,2,4,4,2,1,2,"",2,"","","",42,3,0.2,28,66.7,1
"Steven Sims","WR","WAS",2,3,5,"","","","","","","","","","","","","","","",37,3.1,0,27,73,1
"Tony Pollard","RB","DAL",2,3,1,1,2,3,4,1,2,2,"","",2,1,2,9,2,5,40,2.5,6.3,28,70,1
"Van Jefferson","WR","LAR",2,3,5,1,1,"",1,1,2,"",1,1,"",5,"",1,1,8,31,1.9,1.2,19,61.3,1
"Zach Pascal","WR","IND",1,3,4,4,8,2,7,"",6,6,5,3,4,1,2,6,6,4,71,4.4,0.9,44,62,5
"Anthony Firkser","TE","TEN",1,2,4,"","",5,9,2,3,6,3,5,1,7,1,1,2,2,53,3.3,0.4,39,73.6,1
"Antonio Gibson","RB","WAS",1,2,2,3,5,5,5,1,"",3,4,2,7,"","","",4,1,44,3.1,0.5,36,81.8,0
"Austin Hooper","TE","CLE",1,2,4,4,7,10,6,"","","",2,5,2,2,"",6,15,5,70,5.4,2.8,46,65.7,4
"Boston Scott","RB","PHI",2,2,3,1,"","",4,5,2,"",1,3,6,2,1,1,"",5,36,2.2,6,25,69.4,1
"Brian Hill","RB","ATL",11,2,2,3,2,2,2,3,3,1,"","",1,"",1,2,3,3,30,1.9,4.8,25,83.3,0
"Chase Claypool","WR","PIT",1,2,3,4,"",11,4,1,9,13,10,8,9,4,6,8,6,11,109,6.8,1.1,62,56.9,9
"Chris Thompson","RB","JAX","",2,4,6,"",3,4,"","",4,"","","","","","","","",23,2.9,3.7,20,87,1
"C.J. Board","WR","NYG",2,2,3,2,1,"",3,"","",1,"","",1,1,"","",2,"",16,1.1,3.1,11,68.8,0
