NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM TGT %,Catches,Catch %,TD
"Davante Adams","WR","OAK",1,17,7,10,13,7,"",9,5,17,14,13,11,12,7,9,9,11,9,180,10.6,30.7,100,55.6,14
"Ja'Marr Chase","WR","CIN",1,16,9,10,6,12,10,11,"","","","","",8,15,13,11,"",13,134,11.2,22,87,64.9,9
"Cooper Kupp","WR","LAR",1,15,14,6,19,10,8,"",12,9,5,"","","","","","","","",98,10.9,18.5,75,76.5,6
"A.J. Brown","WR","PHI",1,13,8,10,7,7,8,"",11,6,4,7,6,10,6,16,8,9,10,146,8.6,27.2,88,60.3,11
"Michael Pittman Jr.","WR","IND",1,13,"",9,6,8,16,9,9,6,9,7,11,4,"",14,7,8,5,141,8.8,23.3,99,70.2,4
"Amon-Ra St. Brown","WR","DET",2,12,12,9,"",6,"",1,10,9,11,8,10,12,9,10,13,5,9,146,9.1,24.8,106,72.6,6
"Brandin Cooks","WR","HOU",1,12,10,7,7,6,"",5,6,"",7,6,5,"","","",9,7,6,93,7.2,16.1,57,61.3,3
"Christian Kirk","WR","JAX",1,12,6,9,9,3,5,10,7,9,12,"",9,8,7,10,6,3,8,133,7.8,22.3,84,63.2,8
"Diontae Johnson","WR","PIT",1,12,10,11,4,13,7,10,9,"",5,5,8,11,8,10,7,7,10,147,8.6,25.7,86,58.5,
"Javonte Williams","RB","DEN",1,12,4,5,1,"","","","","","","","","","","","","","",22,5.5,3.9,16,72.7,
"Tyreek Hill","WR","MIA",1,12,13,4,14,7,15,13,14,8,6,"",9,14,10,13,6,7,5,170,10,29.1,119,70,7
"CeeDee Lamb","WR","DAL",1,11,11,12,8,8,10,6,7,"",15,5,11,7,6,7,11,14,7,156,9.2,28.1,107,68.6,9
"Curtis Samuel","WR","WAS",1,11,9,10,7,8,5,8,4,4,4,2,"",7,"",5,5,2,1,92,5.4,16.6,64,69.6,4
"Donovan Peoples-Jones","WR","CLE",2,11,1,3,9,7,5,6,4,"",9,6,4,3,12,4,5,3,4,96,5.6,17.8,61,63.5,3
"Justin Jefferson","WR","MIN",1,11,12,6,13,13,8,"",8,13,16,5,11,11,15,16,16,5,5,184,10.8,27.4,128,69.6,8
"Tyler Higbee","TE","LAR",1,11,9,4,14,10,2,"",6,1,8,8,"",5,3,5,11,4,7,108,6.4,20.3,72,66.7,3
"Breece Hall","RB","NYJ",1,10,1,11,6,2,2,"","","","","","","","","","","","",32,4.4,4.9,19,61.3,1
"Pat Freiermuth","TE","PIT",1,10,7,4,9,2,"",9,7,"",7,12,4,5,6,"",8,6,2,98,6.1,17.2,63,64.3,2
"Corey Davis","WR","NYJ",2,9,4,5,7,4,4,1,"","","","",3,10,1,"",7,6,3,64,4.9,10.2,32,50,2
"Dalton Schultz","TE","DAL",1,9,4,"",3,1,"",5,7,"",8,5,4,6,10,4,4,10,9,89,5.9,16,57,64,5
"Greg Dortch","WR","ARI",1,9,4,10,1,"","",1,3,1,"",10,"","","","",11,10,4,64,4,9.6,52,81.2,2
"Jarvis Landry","WR","NO","",9,5,5,2,"","","","","",6,4,4,3,"",1,"","","",39,4.3,7.6,25,64.1,1
"Joe Mixon","RB","CIN",1,9,4,7,4,3,5,3,9,5,"",3,"","",2,6,9,"",5,74,5.4,12.3,60,80,2
"Kyle Philips","WR","TEN",1,9,1,"",1,2,"","","","","","","","","","","","","",13,3.2,2.9,8,61.5,
"Michael Carter","RB","NYJ",2,9,5,2,3,2,1,2,7,1,"",2,2,"",6,1,5,3,3,54,3.4,8.6,41,75.9,
"Noah Brown","WR","DAL",2,9,5,7,6,2,3,7,"","",3,2,"",2,6,9,2,4,6,73,4.6,13.1,43,58.9,3
"Stefon Diggs","WR","BUF",1,9,14,11,6,11,13,"",8,10,16,5,15,9,5,9,2,"",10,153,9.6,26.8,108,70.1,11
"Travis Kelce","TE","KC",1,9,7,8,10,8,10,8,"",17,7,10,8,6,9,10,8,10,7,152,8.9,23.3,110,72.4,12
"Zay Jones","WR","JAX",1,9,4,11,"",8,5,10,3,5,10,"",14,7,12,8,4,5,6,121,7.6,20.3,82,67.8,5
"Antonio Gibson","RB","WAS",1,8,4,1,3,4,4,4,7,3,3,3,3,4,"",4,3,"","",58,3.9,10.5,46,79.3,2
"DJ Chark Jr.","WR","DET",1,8,4,6,"","","","","","","",1,5,6,7,2,5,4,4,52,4.7,8.8,30,57.7,3
"Deebo Samuel","WR","SF",1,8,6,8,7,9,10,7,"","",6,9,7,10,5,"","","",3,95,7.2,18.4,56,59.6,2
"Garrett Wilson","WR","NYJ",1,8,14,10,6,4,5,5,7,9,"",3,8,15,7,9,9,11,17,147,8.6,23.4,83,56.5,4
"Hayden Hurst","TE","CIN",1,8,7,2,4,7,3,8,4,5,"",3,9,3,"","","","",5,68,5.2,11.1,52,76.5,2
