name,MISC_FPTS
davante-adams,300.9
tyreek-hill,285.4
stefon-diggs,265.1
calvin-ridley,236.5
deandre-hopkins,230.3
justin-jefferson,230.2
dk-metcalf,229.8
adam-thielen,217.0
tyler-lockett,215.4
mike-evans,213.6
aj-brown,212.5
allen-robinson,211.9
robert-woods,200.1
keenan-allen,195.1
brandin-cooks,191.5
amari-cooper,190.8
marvin-jones,189.8
juju-smith-schuster,185.6
chase-claypool,183.9
ceedee-lamb,180.7
terry-mclaurin,180.3
dj-moore-wr,178.5
diontae-johnson,177.8
robbie-robby,176.6
curtis-samuel,173.6
cole-beasley,166.5
cooper-kupp,162.7
will-fuller,162.4
nelson-agholor,161.6
tee-higgins,161.1
corey-davis,158.9
chris-godwin,158.5
brandon-aiyuk,154.5
marquise-brown,154.0
tyler-boyd,153.1
jarvis-landry,152.0
russell-gage,145.1
michael-gallup,143.8
jamison-crowder,142.5
ty-hilton,136.2
tim-patrick,135.7
devante-parker,134.8
emmanuel-sanders,134.3
jerry-jeudy,131.6
mike-williams-wr,129.7
sterling-shepard,129.5
laviska-shenault,128.1
keelan-cole,127.9
dj-chark,127.1
christian-kirk,122.4
darnell-mooney,121.6
marquez-valdesscantling,120.8
julio-jones,120.6
gabriel-davis,119.4
darius-slayton,116.0
zach-pascal,114.9
jakobi-meyers,113.1
mecole-hardman,107.6
greg-ward,106.6
kendrick-bourne,105.2
hunter-renfrow,103.6
rashard-higgins,102.4
david-moore,101.3
josh-reynolds,98.3
travis-fulgham,96.9
antonio-brown,94.6
damiere-byrd,91.4
aj-green,87.8
trequan-smith,86.1
scott-miller,86.0
demarcus-robinson,85.1
isaiah-mckenzie,84.6
anthony-miller,84.2
james-washington,84.2
breshad-perriman,84.1
danny-amendola,83.4
jalen-guyton,83.1
allen-lazard,81.3
randall-cobb,81.1
john-brown,80.3
michael-pittman,78.9
braxton-berrios,78.8
willie-snead,77.7
chris-conley,77.1
odell-beckham,75.3
kj-hamler,75.1
larry-fitzgerald,73.9
jalen-reagor,71.7
henry-ruggs,71.1
keke-coutee,70.5
cam-sims,70.2
sammy-watkins,69.9
tyron-johnson,69.5
jakeem-grant,69.3
golden-tate,69.0
preston-williams,65.8
deebo-samuel,64.2
michael-thomas-wr,63.9
miles-boykin,60.1
nkeal-harry,57.4
quintez-cephus,56.9
kenny-golladay,55.8
richie-james,52.9
donovan-peoples-jones,51.4
marvin-hall,51.3
daesean-hamilton,50.8
collin-johnson,50.2
denzel-mims,49.2
adam-humphries,46.3
julian-edelman,45.7
andy-isabella,44.3
steven-sims,43.8
olamide-zaccheaus,43.4
devin-duvernay,43.1
cedrick-wilson,43.1
isaiah-ford,41.6
chad-beebe,40.1
lynn-bowden,39.6
chad-hansen,38.1
desean-jackson,37.8
deonte-harty,37.7
van-jefferson,37.4
dontrelle-inman,37.3
mohamed-sanu,35.5
tyler-johnson,34.9
byron-pringle,34.5
freddie-swain,34.4
isaiah-wright,32.8
marcus-johnson,32.5
marquez-callaway,31.8
bryan-edwards,30.8
zay-jones,29.6
mack-hollins,29.6
olabisi-johnson,27.9
kenny-stills,25.9
jeff-smith,25.2
keesean-johnson,24.8
cameron-batson,24.0
mike-thomas,23.8
john-hightower,23.8
brandon-powell,23.6
khadarel-hodge,23.5
gunner-olszewski,23.0
kalif-raymond,22.9
noah-brown,22.8
jamal-agnew,22.7
ray-ray-mccloud-iii,22.2
auden-tate,22.0
equanimeous-st-brown,21.9
christian-blake,20.6
alshon-jeffery,20.5
malcolm-perry,20.2
quez-watkins,20.1
laquon-treadwell,19.9
dez-bryant,19.7
chris-hogan,18.8
demichael-harris,17.5
alex-erickson,16.6
malik-taylor,16.0
cj-board,15.9
javon-wims,14.0
trent-taylor,13.6
dante-pettis,13.6
justin-watson,12.9
austin-mack,12.6
jj-arcega-whiteside,12.5
liljordan-humphrey,12.1
diontae-spencer,12.0
parris-campbell,11.7
austin-carr,10.2
pharoh-cooper,9.8
tyrie-cleveland,9.3
jaydon-mickens,9.3
joe-reed,8.9
kj-hill,8.8
jake-kumerow,8.7
jamarcus-bradley,8.5
steven-mitchell,8.5
damion-ratley,8.3
courtland-sutton,8.1
ashton-dulin,7.9
trent-sherfield,7.5
river-cracraft,7.1
nick-westbrook,6.8
isaiah-zuber,6.0
riley-ridley,5.9
ted-ginn-jr,5.5
darrius-shepherd,5.1
seth-roberts,5.1
brandon-zylstra,5.1
terry-godwin,5.0
josh-malone,4.8
robert-foster,4.7
lawrence-cager,4.5
deontay-burnett,3.4
daurice-fountain,3.3
antonio-callaway,3.0
antonio-gandy-golden,3.0
penny-hart,2.7
john-ross,2.7
tavon-austin,2.5
tommylee-lewis,2.4
donte-moncrief,2.4
jaleel-scott,2.1
bennie-fowler,2.1
james-proche-ii,1.9
keith-kirkwood,1.8
vyncint-smith,1.8
cody-hollister,1.7
marcus-kemp,1.6
gehrig-dieter,1.5
andre-roberts,1.1
trenton-irwin,1.0
jojo-natson,0.3
hakeem-butler,0.0
kj-osborn,0.0
dezmon-patmon,0.0
stanley-morgan,0.0
juwann-winfree,0.0
isaiah-coulter,0.0
kirk-merritt,0.0
