name,MISC_FPTS
davante-adams,358.4
tyreek-hill,328.9
stefon-diggs,328.6
deandre-hopkins,287.8
calvin-ridley,281.5
justin-jefferson,274.2
dk-metcalf,271.3
tyler-lockett,265.4
allen-robinson,262.9
adam-thielen,254.0
mike-evans,248.6
aj-brown,247.5
robert-woods,245.1
keenan-allen,245.1
amari-cooper,236.8
juju-smith-schuster,234.1
brandin-cooks,232.0
marvin-jones,227.8
robbie-robby,224.1
terry-mclaurin,223.8
diontae-johnson,221.8
ceedee-lamb,217.7
chase-claypool,214.9
curtis-samuel,212.1
dj-moore-wr,211.5
cooper-kupp,208.7
cole-beasley,207.5
tee-higgins,194.6
tyler-boyd,192.6
corey-davis,191.4
chris-godwin,191.0
will-fuller,188.9
jarvis-landry,188.0
nelson-agholor,185.6
brandon-aiyuk,184.5
marquise-brown,183.0
russell-gage,181.1
michael-gallup,173.3
jamison-crowder,172.0
devante-parker,166.3
emmanuel-sanders,164.8
ty-hilton,164.2
sterling-shepard,162.5
tim-patrick,161.2
jerry-jeudy,157.6
laviska-shenault,157.1
keelan-cole,155.4
mike-williams-wr,153.7
dj-chark,153.6
darnell-mooney,152.1
christian-kirk,146.4
julio-jones,146.1
jakobi-meyers,142.6
darius-slayton,141.0
marquez-valdesscantling,137.3
gabriel-davis,136.9
zach-pascal,136.9
greg-ward,133.1
hunter-renfrow,131.6
kendrick-bourne,129.7
mecole-hardman,128.1
josh-reynolds,124.3
rashard-higgins,120.9
david-moore,118.8
antonio-brown,117.1
travis-fulgham,115.9
damiere-byrd,114.9
aj-green,111.3
anthony-miller,108.7
demarcus-robinson,107.6
danny-amendola,106.4
trequan-smith,103.1
scott-miller,102.5
larry-fitzgerald,100.9
randall-cobb,100.1
isaiah-mckenzie,99.6
james-washington,99.2
breshad-perriman,99.1
michael-pittman,98.9
allen-lazard,97.8
braxton-berrios,97.3
chris-conley,97.1
jalen-guyton,97.1
john-brown,96.8
willie-snead,94.2
kj-hamler,90.1
sammy-watkins,88.4
jakeem-grant,87.3
jalen-reagor,87.2
keke-coutee,87.0
odell-beckham,86.8
golden-tate,86.5
cam-sims,86.2
henry-ruggs,84.1
michael-thomas-wr,83.9
deebo-samuel,80.7
tyron-johnson,79.5
preston-williams,74.8
nkeal-harry,73.9
miles-boykin,69.6
quintez-cephus,66.9
kenny-golladay,65.8
richie-james,64.4
daesean-hamilton,62.3
denzel-mims,60.7
marvin-hall,60.3
collin-johnson,59.2
donovan-peoples-jones,58.4
adam-humphries,57.8
steven-sims,57.3
julian-edelman,56.2
isaiah-ford,55.6
andy-isabella,54.8
lynn-bowden,53.6
olamide-zaccheaus,53.4
devin-duvernay,53.1
cedrick-wilson,51.6
chad-beebe,50.1
deonte-harty,47.7
van-jefferson,46.9
