name,MISC_FPTS
josh-allen-qb,417.7
justin-herbert,395.6
tom-brady,386.7
patrick-mahomes,374.2
matthew-stafford,346.8
aaron-rodgers,337.3
dak-prescott,330.4
joe-burrow,328.1
jalen-hurts,321.2
kyler-murray,310.5
kirk-cousins,307.3
ryan-tannehill,282.3
derek-carr,270.6
carson-wentz,264.9
lamar-jackson,253.0
russell-wilson,248.7
jimmy-garoppolo,239.5
mac-jones,238.0
taylor-heinicke,237.7
matt-ryan,234.8
ben-roethlisberger,228.0
trevor-lawrence,216.0
teddy-bridgewater,209.8
jared-goff,202.4
baker-mayfield,193.8
tua-tagovailoa,190.9
daniel-jones,174.6
sam-darnold,170.5
davis-mills,167.0
zach-wilson,162.9
justin-fields,136.9
jameis-winston,120.3
trevor-siemian,93.2
andy-dalton,93.1
cam-newton,91.3
tyrod-taylor,86.7
tyler-huntley,86.7
jacoby-brissett,76.4
trey-lance,67.0
geno-smith,55.3
drew-lock,53.8
mike-white,52.0
josh-johnson,48.4
colt-mccoy,42.3
mike-glennon,40.9
gardner-minshew,34.6
tim-boyle,30.4
case-keenum,29.6
cooper-rush,25.1
jordan-love,24.2
joe-flacco,23.8
mason-rudolph,19.4
nick-foles,16.8
phillip-walker,16.8
marcus-mariota,14.9
jake-fromm,13.9
brandon-allen,13.8
sean-mannion,13.0
brian-hoyer,12.3
nick-mullens,9.9
mitch-trubisky,9.1
kyle-allen,7.9
garrett-gilbert,7.8
ian-book,4.0
chad-henne,3.3
chris-streveler,2.0
blaine-gabbert,1.9
cj-beathard,1.5
sam-ehlinger,0.9
ryan-fitzpatrick,0.7
david-blough,0.6
kellen-mond,0.2
nathan-peterman,0.2
brett-rypien,0.0
jacob-eason,0.0
trace-mcsorley,0.0
kurt-benkert,-0.1
chase-daniel,-0.2
davis-webb,-0.3
feleipe-franks,-0.4
logan-woodside,-0.6
john-wolford,-0.9
josh-rosen,-1.2
