name,MISC_FPTS
mark-andrews,301.1
travis-kelce,262.8
dalton-schultz,208.8
george-kittle,198.0
zach-ertz,180.7
kyle-pitts,176.6
rob-gronkowski,171.2
mike-gesicki,165.0
dallas-goedert,165.0
hunter-henry,164.3
dawson-knox,164.1
noah-fant,159.0
pat-freiermuth,151.7
tyler-higbee,147.0
tj-hockenson,145.3
tyler-conklin,138.3
darren-waller,133.5
jared-cook,132.4
cj-uzomah,128.3
cole-kmet,121.2
gerald-everett,117.8
david-njoku,107.6
evan-engram,102.5
austin-hooper,92.5
foster-moreau,85.3
mo-alie-cox,79.6
jack-doyle,79.2
cameron-brate,78.5
albert-okwuegbunam,76.0
dan-arnold,75.8
anthony-firkser,73.1
durham-smythe,70.0
geoff-swaim,70.0
ricky-seals-jones,69.1
jonnu-smith,67.4
ryan-griffin,65.1
hayden-hurst,64.1
adam-trautman,63.3
harrison-bryant,62.3
josiah-deguara,61.5
kyle-rudolph,59.7
donald-parham,59.0
brevin-jordan,55.8
logan-thomas,53.6
tommy-tremble,53.1
juwan-johnson,52.9
john-bates,50.9
jimmy-graham,50.7
james-oshaughnessy,50.4
robert-tonyan,50.4
will-dissly,50.1
mycole-pruitt,48.5
marcedes-lewis,44.4
jordan-akins,41.7
maxx-williams,41.3
tyler-kroft,39.3
stephen-anderson,38.5
pharaoh-brown,38.1
ian-thomas,36.8
zach-gentry,35.7
brock-wright,35.7
oj-howard,33.5
blake-jarwin,32.6
eric-ebron,32.5
nick-vannett,28.3
adam-shaheen,23.0
kylen-granson,21.6
lee-smith,21.5
jacob-hollister,20.5
tommy-sweeney,19.4
jesse-james,19.2
drew-sample,19.1
chris-manhertz,19.1
blake-bell,18.7
eric-saubert,18.7
noah-gray,16.6
jesper-horsted,16.1
antony-auclair,15.7
josh-oliver,15.6
ross-dwelley,15.1
chris-herndon-iv,14.0
sean-mckeon,12.7
luke-farrell,12.6
tyree-jackson,11.2
chris-myarick,10.7
tre-mckitty,10.5
charlie-woerner,10.2
parker-hesse,9.3
colby-parkinson,8.3
darren-fells,8.3
garrett-griffin,7.9
kendall-blanton,7.7
tyler-davis,7.5
trevon-wesco,6.5
shane-zylstra,6.4
kaden-smith,6.3
jack-stoll,6.2
jeremy-sprinkle,6.1
tommy-hudson,6.1
kenny-yeboah,5.6
dominique-dafney,5.4
daniel-brown,4.9
mitchell-wilcox,4.6
demetrius-harris,4.0
cethan-carter,3.6
derek-carrier,3.3
luke-stocker,3.2
richard-rodgers,3.1
kevin-rader,2.8
ethan-wolf,2.8
johnny-mundt,1.9
brycen-hopkins,1.9
hunter-long,1.8
eric-tomlinson,1.7
nick-boyle,1.2
deon-yelder,1.0
darrell-daniels,1.0
daniel-helm,0.9
andrew-beck,0.0
jody-fortson,0.0
giovanni-ricci,0.0
matthew-orzech,0.0
reggie-gilliam,0.0
rashod-berry,0.0
ben-ellefson,0.0
antonio-gandy-golden,0.0
jared-pinkney,0.0
noah-togiai,0.0
stephen-sullivan,0.0
farrod-green,0.0
feleipe-franks,0.0
miller-forristall,0.0
jake-hausmann,0.0
nick-ralston,0.0
jacob-harris,0.0
briley-moore,0.0
sammis-reyes,0.0
clark-harris,0.0
jp-holtz,0.0
codey-mcelroy,0.0
taysom-hill,0.0
colin-thompson,0.0
james-winchester,0.0
patrick-scales,0.0
andrew-depaola,0.0
