name,MISC_FPTS
austin-ekeler,372.7
christian-mccaffrey,356.4
josh-jacobs,328.3
derrick-henry,302.8
saquon-barkley,284.0
nick-chubb,281.4
rhamondre-stevenson,249.1
tony-pollard,248.8
aaron-jones,248.6
joe-mixon,240.7
dalvin-cook,237.8
leonard-fournette,227.1
jamaal-williams,225.9
najee-harris-rb,223.5
miles-sanders,216.7
alvin-kamara,211.7
travis-etienne,205.1
kenneth-walker-rb,202.5
james-conner,200.2
jerick-mckinnon,196.3
dandre-swift,191.1
ezekiel-elliott,185.8
devin-singletary,178.2
david-montgomery,177.7
raheem-mostert,168.3
aj-dillon,167.6
dameon-pierce,166.4
antonio-gibson,165.9
tyler-allgeier,159.4
jeffery-wilson,158.5
cordarrelle-patterson,154.7
latavius-murray,154.2
jonathan-taylor,146.4
samaje-perine,142.1
cam-akers,141.3
rachaad-white,139.1
isiah-pacheco,135.0
donta-foreman,131.0
kareem-hunt,126.8
michael-carter-rb,126.0
khalil-herbert,117.8
breece-hall,115.1
brian-robinson-jr,112.7
james-cook,107.5
kenyan-drake,104.1
clyde-edwards-helaire,98.3
jaylen-warren,93.3
damien-harris-rb,90.9
eno-benjamin,89.6
james-robinson,88.6
alexander-mattison,88.4
kenneth-gainwell,87.9
chuba-hubbard,87.7
melvin-gordon,87.1
deon-jackson,84.5
nyheim-hines,81.4
jk-dobbins,81.2
dontrell-hilliard,77.2
chase-edmonds,74.2
darrell-henderson,73.5
rex-burkhead,71.4
jamycal-hasty,70.5
joshua-kelley,64.8
zack-moss,64.5
matt-breida,59.8
gus-edwards,59.3
zonovan-bam-knight,59.0
jd-mckissic,55.8
ameer-abdullah,54.1
kyle-juszczyk,53.6
rashaad-penny,52.2
justin-jackson-rb,51.1
mark-ingram,50.1
dare-ogunbowale,48.7
deejay-dallas,47.2
boston-scott,46.2
caleb-huntley,44.9
elijah-mitchell-rb,43.6
travis-homer,43.1
raheem-blackshear,43.0
ty-johnson,42.8
justice-hill,42.0
javonte-williams,42.0
alec-ingold,38.3
marlon-mack,38.3
malik-davis,34.4
jordan-mason,31.8
avery-williams-cb,31.5
cj-ham,31.3
craig-reynolds,30.8
kyren-williams,30.5
gary-brightwell,29.0
mike-boone,28.8
brandon-bolden,28.8
pierre-strong-jr,27.2
jonathan-williams,26.2
hassan-haskins,26.0
sony-michel,24.9
malcolm-brown,22.8
reggie-gilliam,22.6
tevin-coleman,22.0
corey-clement,21.9
darrel-williams,21.1
derek-watt,20.2
patrick-ricard,20.0
royce-freeman,19.0
benjamin-snell-jr,18.7
zander-horvath,18.6
keaontay-ingram,18.1
ronald-jones-ii,16.2
phillip-lindsay,14.8
jordan-wilkins,14.7
salvon-ahmed,14.2
chris-evans,12.8
kene-nwangwu,11.5
kevin-harris,11.2
darrynton-evans,10.7
tony-jones,10.4
ty-montgomery,10.3
snoop-conner,10.2
keshawn-vaughn,10.2
ronnie-rivers,10.0
tyrion-davis-price,9.9
myles-gaskin,9.4
tyler-badie,9.4
david-johnson-rb,9.1
isaiah-spiller,8.4
julius-chestnut,8.3
trayveon-williams,8.0
jaret-patterson,7.8
spencer-brown,7.3
zamir-white,7.0
trestan-ebner,6.2
anthony-mcfarland,6.1
jakob-johnson,6.0
patrick-taylor,5.8
dwayne-washington,5.5
dernest-johnson,5.4
larry-rountree-iii,5.3
jonathan-ward,5.2
adam-prentice,4.8
giovani-bernard,4.7
mike-davis-rb,4.2
michael-burton,3.8
jj-taylor,2.7
demetric-felton,2.4
ty-chandler,2.0
keith-smith,2.0
trey-sermon,1.9
godwin-igwebuike,1.7
devine-ozigbo,1.7
tyson-williams,1.5
jerome-ford,1.2
reggie-bonnafon,0.8
kylin-hill,0.7
duke-johnson,0.4
damien-williams,0.2
jordan-howard,0.1
darwin-thompson,0.0
mike-weber,0.0
qadree-ollison,0.0
lamical-perine,0.0
derrick-gore,0.0
jake-bargas,0.0
chris-myarick,0.0
jermar-jefferson,0.0
jason-huntley,0.0
kirk-merritt,0.0
rico-dowdle,0.0
austin-walter,0.0
cullen-gillaspia,0.0
andrew-beck,0.0
kennedy-brooks,0.0
sandro-platzgummer,0.0
mohamed-ibrahim,0.0
khari-blasingame,0.0
john-lovett,0.0
brittain-brown,0.0
troy-hairston-ii,0.0
aaron-shampklin,0.0
tyjae-spears,0.0
roschon-johnson,0.0
dewayne-mcbride,0.0
evan-hull,0.0
abram-smith,0.0
clint-ratkovich,0.0
sean-tucker,0.0
greg-bell,0.0
kendre-miller,0.0
israel-abanikanda,0.0
bryant-koback,0.0
chase-brown,0.0
emanuel-wilson,0.0
hunter-luepke,0.0
ellis-merriweather,0.0
jaleel-mclaughlin,0.0
ronnie-brown,0.0
owen-wright,0.0
chris-brooks,0.0
jordan-mims,0.0
deneric-prince,0.0
levi-bell,0.0
travis-dye,0.0
darius-hagans,0.0
hassan-hall,0.0
robert-burns,0.0
keaton-mitchell,0.0
xazavian-valladay,0.0
camerun-peoples,0.0
kenny-mcintosh,0.0
jacob-saylors,0.0
elijah-dotson,0.0
calvin-tyler,0.0
henry-pearson,0.0
emari-demercado,0.0
carlos-washington,0.0
khalan-laborn,0.0
jack-colletto,0.0
tyler-hoosman,0.0
jordan-byrd,0.0
sarodorick-thompson,0.0
derek-parish,0.0
lew-nichols-iii,0.0
javian-hawkins,0.0
cj-marable,0.0
tank-bigsby,0.0
sincere-mccormick,0.0
zach-charbonnet,0.0
devon-achane,0.0
bijan-robinson,0.0
zach-evans,0.0
nate-mccrary,0.0
ben-mason,0.0
gerrid-doaks,0.0
jake-funk,0.0
chris-rodriguez,0.0
deuce-vaughn,0.0
tyler-goodson,0.0
jahmyr-gibbs,0.0
jashaun-corbin,0.0
eric-gray,0.0
jerrion-ealy,0.0
jacques-patrick,0.0
nick-bellore,0.0
chad-spann,0.0
jay-finley,0.0
shane-bannon,0.0
garrett-mills,0.0
kenjon-barner,0.0
kenny-irons,0.0
anthony-alridge,0.0
dantrell-savage,0.0
chad-simpson,0.0
samkon-gado,0.0
xavier-omon,0.0
madison-hedgecock,0.0
jeremy-mcnichols,0.0
brandin-bryant,0.0
taquan-mizzell,0.0
alex-armah,0.0
jp-holtz,0.0
patrick-laird,0.0
nick-bawden,0.0
trenton-cannon,0.0
jason-cabinda,0.0
john-kelly,0.0
tim-flanders,0.0
willie-carter,0.0
brennan-clay,0.0
aaron-dykes,0.0
taiwan-jones,-2.0
