name,MISC_FPTS
travis-kelce,261.3
tj-hockenson,172.4
george-kittle,170.5
mark-andrews,154.0
taysom-hill,141.3
evan-engram,140.4
cole-kmet,122.3
pat-freiermuth,116.7
tyler-higbee,116.0
dalton-schultz,114.2
juwan-johnson,113.8
dallas-goedert,113.7
david-njoku,113.0
dawson-knox,111.7
gerald-everett,110.5
tyler-conklin,102.5
jordan-akins,98.0
noah-fant,97.6
zach-ertz,92.1
robert-tonyan,85.5
hunter-henry,83.4
hayden-hurst,82.9
mike-gesicki,82.2
chigoziem-okonkwo,81.2
austin-hooper,76.9
isaiah-likely,73.3
cade-otton,72.1
darren-waller,70.8
will-dissly,69.9
greg-dulcich,69.6
foster-moreau,68.7
jelani-woods,61.7
kyle-pitts,61.6
daniel-bellinger,60.0
logan-thomas,57.8
colby-parkinson,56.7
noah-gray,56.0
brock-wright,54.6
mycole-pruitt,47.0
trey-mcbride,47.0
harrison-bryant,46.2
kylen-granson,45.7
cj-uzomah,45.7
mo-alie-cox,44.4
tommy-tremble,42.9
irv-smith-jr,42.7
jake-ferguson,38.9
jonnu-smith,38.5
adam-trautman,35.7
shane-zylstra,35.5
peyton-hendershot,34.0
josh-oliver,33.9
durham-smythe,32.5
oj-howard,31.5
ian-thomas,30.2
connor-heyward,29.8
johnny-mundt,29.5
mitchell-wilcox,28.4
eric-saubert,28.3
cameron-brate,27.4
teagan-quitoriano,26.8
jody-fortson,25.3
eric-tomlinson,24.4
donald-parham,24.0
john-bates,23.8
marcedes-lewis,23.6
james-mitchell,22.8
zach-gentry,22.7
albert-okwuegbunam,20.5
brevin-jordan,19.8
tanner-hudson,18.2
dan-arnold,18.0
ross-dwelley,18.0
josiah-deguara,17.9
jack-stoll,17.8
geoff-swaim,17.8
pharaoh-brown,17.7
ko-kieft,17.5
quintin-morris,16.4
chris-myarick,16.0
anthony-firkser,14.5
brycen-hopkins,14.4
giovanni-ricci,14.0
parker-hesse,13.4
tre-mckitty,12.2
armani-rogers,11.5
grant-calcaterra,10.6
kyle-rudolph,10.3
andrew-beck,9.4
blake-bell,9.0
nick-vannett,8.5
tyler-kroft,7.7
tyler-mabry,7.2
chris-manhertz,7.2
charlie-kolar,6.9
luke-farrell,6.0
trevon-wesco,5.6
stephen-sullivan,5.6
ryan-griffin,4.6
tyler-davis,4.6
kendall-blanton,4.5
ben-ellefson,4.1
stone-smartt,3.7
jesper-horsted,3.4
maxx-williams,3.3
cole-turner,3.3
stephen-anderson,2.4
sean-mckeon,2.1
mason-schreck,1.6
devin-asiasi,1.5
jeremy-ruckert,1.3
tommy-sweeney,1.2
jacob-harris,1.1
richard-rodgers,0.9
drew-sample,0.8
mitchell-fraboni,0.0
matt-sokol,0.0
matthew-orzech,0.0
stephen-carlson,0.0
jace-sternberger,0.0
hakeem-butler,0.0
kaden-smith,0.0
daniel-helm,0.0
brandon-dillon,0.0
tyree-jackson,0.0
alize-mack,0.0
jake-bargas,0.0
tommy-hudson,0.0
nick-bowers,0.0
feleipe-franks,0.0
dalton-keene,0.0
jared-pinkney,0.0
scotty-washington,0.0
charlie-woerner,0.0
noah-togiai,0.0
lawrence-cager,0.0
reggie-gilliam,0.0
rashod-berry,0.0
chris-pierce,0.0
leroy-watson,0.0
jake-tonges,0.0
rodney-williams,0.0
dre-miller,0.0
justin-rigg,0.0
zaire-mitchell-paden,0.0
cole-fotheringham,0.0
tucker-fisk,0.0
curtis-hodges,0.0
nikola-kalinic,0.0
john-fitzpatrick,0.0
tanner-conner,0.0
gerrit-prince,0.0
nick-muse,0.0
lucas-krull,0.0
cameron-latu,0.0
andrew-ogletree,0.0
seth-green,0.0
travis-vokolek,0.0
julian-hill,0.0
johnny-lumpkin,0.0
ryan-miller,0.0
tanner-taula,0.0
nate-adkins,0.0
john-samuel-shenker,0.0
jordan-murray,0.0
princeton-fant,0.0
izaiah-gathings,0.0
ej-jenkins,0.0
thomas-greaney,0.0
brady-russell,0.0
thomas-odukoya,0.0
dalton-kincaid,0.0
luke-schoonmaker,0.0
luke-musgrave,0.0
tucker-kraft,0.0
brenton-strange,0.0
payne-durham,0.0
zack-kuntz,0.0
ben-sims,0.0
ryan-jones,0.0
leonard-taylor,0.0
joel-honigford,0.0
christian-trahan,0.0
griffin-hebert,0.0
camren-mcdonald,0.0
henry-pearson,0.0
blake-whiteheart,0.0
christian-sims,0.0
michael-ezeike,0.0
joel-wilson,0.0
derek-parish,0.0
brayden-willis,0.0
dominique-dafney,0.0
hunter-long,0.0
kenny-yeboah,0.0
nick-eubanks,0.0
miller-forristall,0.0
matt-bushman,0.0
josh-whyle,0.0
hunter-kampmoyer,0.0
zach-davidson,0.0
bernhard-seikovits,0.0
michael-jacobson,0.0
davis-allen,0.0
austin-allen,0.0
will-mallory,0.0
ben-mason,0.0
darnell-washington,0.0
sam-laporta,0.0
michael-mayer,0.0
josh-pederson,0.0
elijah-higgins,0.0
dominique-curry,0.0
drake-dunsmore,0.0
james-dearth,0.0
darnell-dinkins,0.0
derek-fine,0.0
jp-foschi,0.0
brad-cottam,0.0
jimmy-graham,0.0
marquez-branson,0.0
joey-haynos,0.0
justin-snow,0.0
keith-zinger,0.0
jacob-hollister,0.0
darrell-daniels,0.0
jp-holtz,0.0
zach-wood,0.0
troy-fumagalli,0.0
jordan-thomas,0.0
david-wells,0.0
kevin-rader,0.0
ricky-seals-jones,0.0
colin-thompson,0.0
beau-brinkley,0.0
james-winchester,0.0
